country,year,uhc,norm_uhc,uhc_log16,country_c
Sri Lanka,2021.0,66.73998,0.6218041099837083,9.948865759739332,Sri Lanka
Bosnia and Herzegovina,2021.0,66.47112,0.617619321191334,9.881909139061344,Bosnia and Herzegovina
Azerbaijan,2021.0,65.65727,0.6049517977268033,9.679228763628853,Azerbaijan
Mauritius,2021.0,65.65095,0.6048534273289463,9.677654837263141,Mauritius
Bolivia,2021.0,65.06229,0.5956909718855224,9.53105555016836,Bolivia
Mongolia,2021.0,64.95104,0.5939593727143865,9.503349963430184,Mongolia
Jordan,2021.0,64.90748,0.5932813640861196,9.492501825377914,Jordan
Palau,2021.0,64.77206,0.5911735604029263,9.458776966446822,Palau
Honduras,2021.0,64.30881,0.5839631036296341,9.343409658074146,Honduras
Syria,2021.0,64.12852,0.5811569012515297,9.298510420024476,Syria
Albania,2021.0,63.76895,0.5755602170810544,9.20896347329687,Albania
India,2021.0,63.33427,0.5687944505398463,9.100711208637541,India
Suriname,2021.0,62.66269,0.5583413505726418,8.933461609162269,Suriname
Namibia,2021.0,62.63717,0.5579441333964855,8.927106134343768,Namibia
Libya,2021.0,62.11962,0.5498885005783152,8.798216009253043,Libya
Maldives,2021.0,61.41676,0.5389485294014643,8.623176470423429,Maldives
Bhutan,2021.0,60.42171,0.5234606394667327,8.375370231467723,Bhutan
Nauru,2021.0,60.35399,0.5224065819757725,8.35850531161236,Nauru
Marshall Islands,2021.0,58.94324,0.5004483479921311,8.007173567874098,Marshall Islands
Sao Tome and Principe,2021.0,58.78933,0.4980527486354609,7.968843978167374,Sao Tome and Principe
Guatemala,2021.0,58.68237,0.49638792304135115,7.9422067686616185,Guatemala
Iraq,2021.0,58.50789,0.4936721529435552,7.898754447096883,Iraq
Fiji,2021.0,58.24706,0.4896123505902301,7.833797609443682,Fiji
Philippines,2021.0,58.21226,0.48907069080456245,7.825131052872999,Philippines
Cambodia,2021.0,57.98489,0.48553169122216966,7.7685070595547145,Cambodia
Tonga,2021.0,56.68787,0.46534365745186107,7.445498519229777,Tonga
Eswatini,2021.0,55.86385,0.45251783858444994,7.240285417351199,Eswatini
Zambia,2021.0,55.83556,0.4520775065345494,7.233240104552791,Zambia
Botswana,2021.0,55.17985,0.4418714221075329,7.069942753720526,Botswana
