country,crime_rate,safety,norm_crime_rate,norm_crime_rate_log16,country_c
Hungary,33.7,66.3,0.695461201,11.12737921,Hungary
Romania,33.7,66.3,0.695461201,11.12737921,Romania
Cuba,33.4,66.6,0.699853587,11.19765739,Cuba
Kuwait,32.8,67.2,0.70863836,11.33821376,Kuwait
Lithuania,32.8,67.2,0.70863836,11.33821376,Lithuania
Norway,32.6,67.4,0.711566618,11.38506589,Norway
Cyprus,32.4,67.6,0.714494876,11.43191801,Cyprus
Israel,32.4,67.6,0.714494876,11.43191801,Israel
Azerbaijan,31.6,68.4,0.726207906,11.6193265,Azerbaijan
Portugal,31.2,68.8,0.732064422,11.71303075,Portugal
Slovakia,31.1,68.9,0.733528551,11.73645681,Slovakia
Poland,30.7,69.3,0.739385066,11.83016105,Poland
Uzbekistan,30.5,69.5,0.742313324,11.87701318,Uzbekistan
Brunei,29.5,70.5,0.756954612,12.11127379,Brunei Darussalam
Austria,29.3,70.7,0.75988287,12.15812592,Austria
Saudi Arabia,26.9,73.1,0.795021962,12.72035139,Saudi Arabia
Czech Republic,26.8,73.2,0.796486091,12.74377745,Czechia
Rwanda,26.8,73.2,0.796486091,12.74377745,Rwanda
Denmark,26.3,73.7,0.803806735,12.86090776,Denmark
Finland,26.3,73.7,0.803806735,12.86090776,Finland
Netherlands,26.3,73.7,0.803806735,12.86090776,Netherlands
Georgia,26.1,73.9,0.806734993,12.90775988,Georgia
Croatia,26,74,0.808199122,12.93118594,Croatia
Iceland,25.4,74.6,0.816983895,13.07174231,Iceland
Switzerland,25.3,74.7,0.818448023,13.09516837,Switzerland
China,24.9,75.1,0.824304539,13.18887262,China
South Korea,24.9,75.1,0.824304539,13.18887262,South Korea
Slovenia,24.2,75.8,0.834553441,13.35285505,Slovenia
Bahrain,23.9,76.1,0.838945827,13.42313324,Bahrain
Estonia,23.8,76.2,0.840409956,13.4465593,Estonia
Monaco,23.6,76.4,0.843338214,13.49341142,Monaco
Singapore,23.5,76.5,0.844802343,13.51683748,Singapore
Japan,22.6,77.4,0.857979502,13.72767204,Japan
Armenia,22.4,77.6,0.86090776,13.77452416,Armenia
Oman,19,81,0.910688141,14.57101025,Oman
Taiwan,16.7,83.3,0.944363104,15.10980966,Taiwan
Qatar,16,84,0.954612006,15.27379209,Qatar
United Arab Emirates,15.6,84.4,0.960468521,15.36749634,United Arab Emirates
Andorra,12.9,87.1,1,16,Andorra
