country,year,gov,country_c,norm_gov,func_gov_pts
Guatemala,2021.5,4.048333333,Guatemala,0.419951591,6.71922545
Kuwait,2021.5,3.87,Kuwait,0.401452282,6.423236515
Oman,2021.5,3.87,Oman,0.401452282,6.423236515
Nigeria,2021.5,3.81,Nigeria,0.395228216,6.323651452
China,2021.5,3.81,China,0.395228216,6.323651452
El Salvador,2021.5,3.808333333,El Salvador,0.395055325,6.320885201
Hong Kong,2021.5,3.761666667,Hong Kong,0.390214385,6.243430152
Madagascar,2021.5,3.63,Madagascar,0.376556017,6.024896266
Jordan,2021.5,3.571666667,Jordan,0.370504841,5.928077455
Mauritania,2021.5,3.51,Mauritania,0.364107884,5.825726141
Bosnia and Herzegovina,2021.5,3.465,Bosnia and Herzegovina,0.359439834,5.751037344
Vietnam,2021.5,3.453333333,Vietnam,0.358229599,5.731673582
Saudi Arabia,2021.5,3.451666667,Saudi Arabia,0.358056708,5.728907331
Uganda,2021.5,3.45,Uganda,0.357883817,5.726141079
Georgia,2021.5,3.45,Georgia,0.357883817,5.726141079
Cambodia,2021.5,3.426666667,Cambodia,0.355463347,5.687413555
Zambia,2021.5,3.345,Zambia,0.346991701,5.55186722
Cuba,2021.5,3.271666667,Cuba,0.339384509,5.430152144
Ethiopia,2021.5,3.213333333,Ethiopia,0.333333333,5.333333333
Egypt,2021.5,3.151666667,Egypt,0.326936376,5.230982019
Kazakhstan,2021.5,3.031666667,Kazakhstan,0.314488243,5.031811895
Angola,2021.5,2.976666667,Angola,0.308782849,4.940525588
Laos,2021.5,2.86,Laos,0.296680498,4.746887967
Sierra Leone,2021.5,2.86,Sierra Leone,0.296680498,4.746887967
Cote d'Ivoire,2021.5,2.86,Cote d'Ivoire,0.296680498,4.746887967
Liberia,2021.5,2.77,Liberia,0.287344398,4.597510373
Azerbaijan,2021.5,2.738333333,Azerbaijan,0.284059474,4.544951591
Ukraine,2021.5,2.711666667,Ukraine,0.281293223,4.500691563
Bahrain,2021.5,2.651666667,Bahrain,0.275069156,4.401106501
Algeria,2021.5,2.56,Algeria,0.265560166,4.248962656
Iran,2021.5,2.56,Iran,0.265560166,4.248962656
North Korea,2021.5,2.5,North Korea,0.2593361,4.149377593
Congo,2021.5,2.5,Congo Republic,0.2593361,4.149377593
Zimbabwe,2021.5,2.5,Zimbabwe,0.2593361,4.149377593
Nicaragua,2021.5,2.44,Nicaragua,0.253112033,4.049792531
Burkina Faso,2021.5,2.428333333,Burkina Faso,0.251901798,4.030428769
Eswatini,2021.5,2.393333333,Eswatini,0.248271093,3.972337483
Comoros,2021.5,2.21,Comoros,0.229253112,3.668049793
Cameroon,2021.5,2.2,Cameroon,0.228215768,3.651452282
Eritrea,2021.5,2.14,Eritrea,0.221991701,3.55186722
Kyrgyzstan,2021.5,2.096666667,Kyrgyz Republic,0.217496542,3.479944675
Russia,2021.5,2.081666667,Russia,0.215940526,3.455048409
Tajikistan,2021.5,1.973333333,Tajikistan,0.204702628,3.275242047
Togo,2021.5,1.965,Togo,0.203838174,3.261410788
Uzbekistan,2021.5,1.86,Uzbekistan,0.192946058,3.087136929
Gabon,2021.5,1.678333333,Gabon,0.174100968,2.785615491
Mozambique,2021.5,1.548333333,Mozambique,0.160615491,2.569847856
Venezuela,2021.5,1.43,Venezuela,0.148340249,2.373443983
Djibouti,2021.5,1.406666667,Djibouti,0.145919779,2.334716459
Belarus,2021.5,1.395,Belarus,0.144709544,2.315352697
Myanmar,2021.5,1.31,Myanmar,0.135892116,2.174273859
Niger,2021.5,1.2,Niger,0.124481328,1.991701245
Sudan,2021.5,1.085,Sudan,0.112551867,1.800829876
Lebanon,2021.5,1.085,Lebanon,0.112551867,1.800829876
Turkmenistan,2021.5,0.79,Turkmenistan,0.081950207,1.31120332
Haiti,2021.5,0.678333333,Haiti,0.070366528,1.125864454
Mali,2021.5,0.511666667,Mali,0.053077455,0.849239281
Equatorial Guinea,2021.5,0.43,Equatorial Guinea,0.044605809,0.713692946
Guinea,2021.5,0.43,Guinea,0.044605809,0.713692946
Afghanistan,2021.5,0.248333333,Afghanistan,0.025760719,0.412171508
Democratic Republic of Congo,2021.5,0.143333333,DR Congo,0.014868603,0.237897649
Palestine,2021.5,0.116666667,Palestine,0.012102351,0.193637621
Burundi,2021.5,0.011666667,Burundi,0.001210235,0.019363762
Chad,2021.5,0,Chad,0,0
Central African Republic,2021.5,0,Central African Republic,0,0
Iraq,2021.5,0,Iraq,0,0
Libya,2021.5,0,Libya,0,0
Yemen,2021.5,0,Yemen,0,0
Syria,2021.5,0,Syria,0,0
Guinea-Bissau,2021.5,0,Guinea-Bissau,0,0
