country,year,unem,norm_unemploy,unemploy_log16_n,country_c
Qatar,2021.0,0.128,1.0,15.988133079042171,Qatar
Cambodia,2021.0,0.23479999999999998,0.9969281391656504,15.942869251960161,Cambodia
Niger,2021.0,0.617,0.9859350192135116,15.780885780885779,Niger
Thailand,2021.0,0.9766,0.975591937228192,15.62848061029879,Thailand
Burundi,2021.0,1.0084,0.974677282035942,15.615003178639544,Burundi
Solomon Islands,2021.0,1.1176,0.9715363906210451,15.568722186904006,Solomon Islands
Moldova,2021.0,1.2067999999999999,0.9689707540440415,15.530917567281204,Moldova
Cuba,2021.0,1.278,0.9669228468211417,15.500741682559866,Cuba
Chad,2021.0,1.2942,0.9664568904024483,15.49387582114855,Chad
Bahrain,2021.0,1.406,0.9632412158586253,15.446492901038354,Bahrain
Benin,2021.0,1.5172,0.9600427989599393,15.399364272091546,Benin
Laos,2021.0,1.8458,0.9505913619733541,15.260097478279297,Laos
Vietnam,2021.0,1.8612000000000002,0.9501484157481764,15.25357067175249,Vietnam
Oman,2021.0,1.9731999999999998,0.9469269886559746,15.20610298792117,Oman
Togo,2021.0,2.133,0.942330702501208,15.138376774740411,Togo
Macao,2021.0,2.2578,0.9387411123127546,15.085484212756942,Macau
East Timor,2021.0,2.2649999999999997,0.938534020571113,15.082432718796355,Timor-Leste
Tonga,2021.0,2.3213999999999997,0.9369118019282543,15.058529349438441,Tonga
Myanmar,2021.0,2.3788,0.9352608205435008,15.034202161474889,Myanmar
Czechia,2021.0,2.4372,0.9335810764168526,15.009451154905701,Czechia
Cote d'Ivoire,2021.0,2.4774000000000003,0.9324248141926874,14.992413646959102,Cote d'Ivoire
Kuwait,2021.0,2.5942,0.9290653259393912,14.942911633820724,Kuwait
Philippines,2021.0,2.5976,0.9289675326169493,14.941470650561559,Philippines
Guatemala,2021.0,2.6152,0.9284613083596033,14.934011443102353,Guatemala
Japan,2021.0,2.6326,0.9279608366506362,14.926636999364272,Japan
Tanzania,2021.0,2.6642,0.927051934006765,14.913244331426151,Tanzania
Papua New Guinea,2021.0,2.7318000000000002,0.925107572654686,14.884594193685103,Papua New Guinea
Mali,2021.0,2.866,0.9212476126924227,14.827717736808646,Mali
North Korea,2021.0,2.9939999999999998,0.9175659817299063,14.773468955287138,North Korea
United Arab Emirates,2021.0,3.0618,0.9156158678294485,14.744734053824962,United Arab Emirates
Madagascar,2021.0,3.0736,0.9152764674750915,14.73973299427845,Madagascar
Senegal,2021.0,3.1068,0.9143215444441888,14.725662216571308,Senegal
Poland,2021.0,3.1186,0.9139821440898318,14.720661157024793,Poland
Ghana,2021.0,3.1884,0.9119745047055846,14.691078618351346,Ghana
Uganda,2021.0,3.2564,0.9100186382567478,14.662258953168044,Uganda
Sierra Leone,2021.0,3.3146,0.9083446466784786,14.637592710319984,Sierra Leone
Germany,2021.0,3.3619999999999997,0.9069812927126717,14.617503708412801,Germany
South Korea,2021.0,3.3630000000000004,0.906952529970777,14.617079889807163,South Korea
Guinea-Bissau,2021.0,3.3695999999999997,0.9067626958742723,14.614282687009958,Guinea-Bissau
Liberia,2021.0,3.377,0.9065498515842518,14.611146429328247,Liberia
Malta,2021.0,3.4882,0.9033514346855657,14.564017800381436,Malta
Ethiopia,2021.0,3.5787999999999998,0.9007455302699096,14.525619834710744,Ethiopia
Mexico,2021.0,3.601,0.9001069973998481,14.516211061665606,Mexico
Netherlands,2021.0,3.6988,0.8972940012425504,14.474761602034329,Netherlands
Indonesia,2021.0,3.7102000000000004,0.8969661059849513,14.469930069930069,Indonesia
Mozambique,2021.0,3.7298,0.896402356243816,14.46162322525959,Mozambique
Cameroon,2021.0,3.7592,0.895556731632113,14.449162958253869,Cameroon
Singapore,2021.0,3.7805999999999997,0.8949412089555673,14.440093240093239,Singapore
El Salvador,2021.0,3.8524000000000003,0.8928760440875307,14.40966306420852,El Salvador
Belarus,2021.0,3.8524000000000003,0.8928760440875307,14.40966306420852,Belarus
Norway,2021.0,3.8583999999999996,0.8927034676361628,14.407120152574697,Norway
Hungary,2021.0,3.8898,0.8918003175406706,14.393812248357701,Hungary
New Zealand,2021.0,3.9028,0.8914264018960399,14.388302606484425,New Zealand
Israel,2021.0,3.9592,0.8898041832531811,14.36439923712651,Israel
Malaysia,2021.0,4.045,0.8873363399986194,14.328035600762874,Malaysia
Trinidad and Tobago,2021.0,4.1528,0.8842357164223751,14.282347955075227,Trinidad and Tobago
United Kingdom,2021.0,4.164,0.8839135737131549,14.277601186692095,United Kingdom
Kyrgyzstan,2021.0,4.2142,0.882469684070043,14.256325492689129,Kyrgyz Republic
Turkmenistan,2021.0,4.247400000000001,0.8815147610391403,14.242254714981987,Turkmenistan
Ecuador,2021.0,4.3238,0.8793172875583883,14.209874973511337,Ecuador
Slovenia,2021.0,4.361800000000001,0.8782243033663913,14.193769866497139,Slovenia
Russia,2021.0,4.3984000000000005,0.8771715870130468,14.178258105530833,Russia
Hong Kong,2021.0,4.4296,0.8762741894659334,14.165034965034966,Hong Kong
Iceland,2021.0,4.473000000000001,0.8750258864677052,14.14664123755033,Iceland
Fiji,2021.0,4.4978,0.8743125704687177,14.136130536130537,Fiji
Switzerland,2021.0,4.5316,0.8733403897926781,14.121805467260012,Switzerland
Bulgaria,2021.0,4.6370000000000005,0.870308796796981,14.077134986225895,Bulgaria
Nigeria,2021.0,4.6424,0.8701534779907499,14.074846365755457,Nigeria
Bolivia,2021.0,4.6613999999999995,0.8696069858947514,14.066793812248358,Bolivia
Maldives,2021.0,4.7076,0.8682781472192181,14.047213392667938,Maldives
China,2021.0,4.752,0.8670010814790953,14.028395846577663,China
Australia,2021.0,4.8198,0.8650509675786373,13.99966094511549,Australia
Bhutan,2021.0,4.8308,0.8647345774177961,13.994998940453485,Bhutan
Peru,2021.0,4.865,0.8637508916449987,13.980504344140707,Peru
United States,2021.0,4.8696,0.8636185830322833,13.978554778554777,United States
Democratic Republic of Congo,2021.0,4.8826,0.8632446673876527,13.9730451366815,DR Congo
Vanuatu,2021.0,4.899,0.8627729584205803,13.966094511549056,Vanuatu
Uzbekistan,2021.0,4.9288,0.8619158287121195,13.95346471710108,Uzbekistan
Kazakhstan,2021.0,4.9906,0.8601382912630295,13.927272727272728,Kazakhstan
Jamaica,2021.0,5.035200000000001,0.8588554729745277,13.908370417461327,Jamaica
Denmark,2021.0,5.0548,0.8582917232333924,13.900063572790845,Denmark
Burkina Faso,2021.0,5.087400000000001,0.8573540578476265,13.886247086247085,Burkina Faso
Ireland,2021.0,5.1171999999999995,0.8564969281391657,13.87361729179911,Ireland
Romania,2021.0,5.1491999999999996,0.8555765203985366,13.860055096418733,Romania
Malawi,2021.0,5.262,0.8523320831128189,13.812248357702902,Malawi
Austria,2021.0,5.2909999999999995,0.8514979635978739,13.799957618139436,Austria
