country,year,male_unemploy,female_unemploy,m_f_unemploy,norm_unemploy,unemploy_norm_withpts,unemploy_norm_withpts_log5
Israel,2023,3.435,3.338,6.773,0.915854325,4.579271627,14.6536692
Italy,2023,6.795,8.72,15.515,0.799277227,3.996386137,12.78843564
Jamaica,2023,3.308,5.745,9.053,0.885449866,4.42724933,14.16719786
Japan,2023,2.767,2.342,5.109,0.938044246,4.690221232,15.00870794
Jordan,2023,16.167,26.588,42.755,0.43602395,2.180119751,6.976383203
Kazakhstan,2023,4.241,5.476,9.717,0.876595234,4.38297617,14.02552374
Kenya,2023,3.812,7.568,11.38,0.854418648,4.27209324,13.67069837
Kuwait,2023,0.866,5.709,6.575,0.918494713,4.592473563,14.6959154
Kyrgyzstan,2023,3.847,4.3,8.147,0.897531638,4.48765819,14.36050621
Laos,2023,1.457,0.869,2.326,0.975156356,4.875781781,15.6025017
Latvia,2023,7.601,5.443,13.044,0.832228727,4.161143634,13.31565963
Lebanon,2023,10.087,14.735,24.822,0.675165691,3.375828455,10.80265106
Lesotho,2023,14.661,18.647,33.308,0.562002427,2.810012135,8.992038832
Liberia,2023,3.559,2.261,5.82,0.928562856,4.642814279,14.85700569
Libya,2023,15.407,24.698,40.105,0.471362466,2.356812332,7.541799464
Lithuania,2023,7.446,6.467,13.913,0.820640361,4.103201803,13.13024577
Luxembourg,2023,4.97,5.441,10.411,0.867340543,4.336702716,13.87744869
Macao,2023,2.528,1.968,4.496,0.946218779,4.731093894,15.13950046
Madagascar,2023,2.813,3.323,6.136,0.924348905,4.621744523,14.78958247
Malawi,2023,4.16,5.983,10.143,0.870914401,4.354572004,13.93463041
Malaysia,2023,3.743,4.03,7.773,0.902519036,4.512595181,14.44030458
Maldives,2023,4.318,3.622,7.94,0.900292043,4.501460214,14.40467269
Mali,2023,3.082,2.887,5.969,0.926575898,4.632879489,14.82521436
Malta,2023,3.248,2.952,6.2,0.923495446,4.61747723,14.77592714
Mauritania,2023,8.139,15.245,23.384,0.694341837,3.471709184,11.10946939
Mauritius,2023,4.697,8.14,12.837,0.834989132,4.174945659,13.35982611
Mexico,2023,2.778,2.863,5.641,0.930949873,4.654749363,14.89519796
Moldova,2023,2.116,1.18,3.296,0.962221126,4.811105629,15.39553801
Mongolia,2023,6.845,5.267,12.112,0.844657216,4.223286082,13.51451546
Montenegro,2023,15.716,14.701,30.417,0.600554748,3.00277374,9.608875968
Morocco,2023,8.643,10.734,19.377,0.747776341,3.738881703,11.96442145
Mozambique,2023,3.248,3.806,7.054,0.912107109,4.560535545,14.59371374
Myanmar,2023,2.493,3.41,5.903,0.927456027,4.637280134,14.83929643
Namibia,2023,20.599,18.216,38.815,0.48856499,2.442824948,7.817039833
Nepal,2023,9.736,12.248,21.984,0.713011242,3.565056208,11.40817987
Netherlands,2023,3.401,3.739,7.14,0.910960274,4.554801371,14.57536439
New Caledonia,2023,10.606,11.913,22.519,0.705876862,3.52938431,11.29402979
New Zealand,2023,3.533,3.962,7.495,0.906226247,4.531131233,14.49961994
Nicaragua,2023,4.711,4.927,9.638,0.877648722,4.388243609,14.04237955
Niger,2023,0.605,0.473,1.078,0.991798797,4.958993986,15.86878075
Nigeria,2023,2.164,4.243,6.407,0.920735041,4.603675206,14.73176066
North Korea,2023,2.865,3.158,6.023,0.925855792,4.629278961,14.81369267
North Macedonia,2023,14.015,11.722,25.737,0.662963901,3.314819507,10.60742242
Norway,2023,3.675,3.475,7.15,0.910826921,4.554134606,14.57323074
Oman,2023,0.78,4.841,5.621,0.931216578,4.656082892,14.89946525
Pakistan,2023,4.867,7.593,12.46,0.840016536,4.200082679,13.44026457
Panama,2023,5.365,8.691,14.056,0.818733414,4.093667071,13.09973463
Papua New Guinea,2023,3.099,2.16,5.259,0.936043953,4.680219766,14.97670325
Paraguay,2023,4.664,7.308,11.972,0.846524157,4.232620784,13.54438651
Peru,2023,4.142,5.607,9.749,0.876168505,4.380842524,14.01869608
Philippines,2023,2.049,2.522,4.571,0.945218632,4.72609316,15.12349811
Poland,2023,2.916,2.893,5.809,0.928709544,4.64354772,14.85935271
Portugal,2023,6.128,6.856,12.984,0.833028844,4.165144221,13.32846151
Puerto Rico,2023,6.771,4.81,11.581,0.851738255,4.258691275,13.62781208
Qatar,2023,0.077,0.386,0.463,1,5,16
Romania,2023,5.95,5.121,11.071,0.858539252,4.292696262,13.73662804
Russia,2023,3.311,3.339,6.65,0.917494566,4.587472829,14.67991305
Rwanda,2023,13.567,16.455,30.022,0.605822187,3.029110936,9.693154996
Saint Lucia,2023,10.141,12.17,22.311,0.708650602,3.54325301,11.33840963
Saint Vincent and the Grenadines,2023,20.094,16.665,36.759,0.515982344,2.57991172,8.255717505
Samoa,2023,6.557,15.027,21.584,0.718345357,3.591726787,11.49352572
