country,index,year,1_yr_all_hepB,1_yr_1stpolio,1_yr_1stmeasles,1_yr_1rubella,1_yr_dtap,all_vac_avg,norm,norm_vac_withpts_log16
Saudi Arabia,6808.0,2018,97.27272727,97.11111111,97.27272727,97.27272727,97.18181818,97.22222222,0.968947934822684,15.503166957162945
Senegal,6838.0,2018,90.90909091,74.44444444,82.45454545,82.45454545,91.36363636,84.325252522,0.7436793167999265,11.898869068798824
Serbia,6876.0,2018,91.54545455,97.44444444,84.45454545,84.45454545,93.72727273,90.32525252399999,0.8484800366773007,13.57568058683681
Seychelles,6917.0,2018,97.27272727,91.44444444,97.0,97.0,97.27272727,95.99797979600001,0.9475643536065418,15.161029657704669
Sierra Leone,6948.0,2018,89.81818182,85.0,85.63636364,88.5,89.81818182,87.754545456,0.8035780448055592,12.857248716888947
Singapore,6990.0,2018,96.45454545,98.22222222,95.81818182,95.81818182,97.0,96.662626262,0.959173591619464,15.346777465911424
Slovakia,7024.0,2018,96.63636364,98.11111111,95.72727273,95.72727273,96.63636364,96.56767676999999,0.9575151291010848,15.320242065617357
Slovenia,7049.727273,2018,88.0,95.88888889,94.0,94.0,92.72727273,92.923232324,0.8938583955399874,14.301734328639798
Solomon Islands,7093.0,2018,87.0,73.33333333,79.36363636,79.36363636,87.0,81.21212120999999,0.6893029163896528,11.028846662234445
South Korea,7264.0,2018,98.0,98.0,97.90909091,97.90909091,98.09090909,97.98181818200001,0.9822156354238527,15.715450166781643
Spain,7364.0,2018,94.72727273,97.88888889,96.45454545,96.45454545,95.0,96.105050504,0.949434534818615,15.19095255709784
Sri Lanka,7400.0,2018,98.36363636,92.44444444,98.54545455,98.54545455,98.36363636,97.252525252,0.9694772314171853,15.511635702674965
Suriname,7486.0,2018,72.18181818,79.66666667,69.81818182,69.81818182,72.18181818,72.733333334,0.541205737590293,8.659291801444688
Sweden,7524.0,2018,76.81818182,98.0,96.27272727,96.27272727,96.90909091,92.854545454,0.8926586566367002,14.282538506187203
Switzerland,7571.454545,2018,72.57142857,97.22222222,94.81818182,94.81818182,95.90909091,91.06782106800001,0.8614503230012266,13.783205168019625
Syria,7625.0,2018,61.72727273,68.55555556,69.54545455,69.54545455,59.54545455,65.78383838799999,0.4198203921099257,6.7171262737588115
Tajikistan,7659.0,2018,96.54545455,89.16666667,97.63636364,97.63636364,96.45454545,95.48787879,0.9386545281696826,15.018472450714922
Tanzania,7691.0,2018,91.72727273,85.0,89.81818182,88.9,91.72727273,89.434545456,0.8329222463614424,13.326755941783079
Thailand,7745.0,2018,96.54545455,91.71428571,96.54545455,96.54545455,96.54545455,95.579220782,0.9402499792552563,15.043999668084101
Togo,7773.0,2018,82.90909091,72.66666667,72.90909091,71.33333333,82.90909091,76.545454546,0.607791245447666,9.724659927162657
Tonga,7834.0,2018,98.36363636,91.44444444,98.90909091,98.90909091,98.36363636,97.197979796,0.9685244975750297,15.496391961200475
Trinidad and Tobago,7866.0,2018,93.72727273,85.22222222,91.81818182,91.81818182,94.27272727,91.371717172,0.8667584114106452,13.868134582570324
Tunisia,7916.0,2018,97.54545455,96.55555556,96.54545455,96.54545455,97.54545455,96.94747475199999,0.9641489794191358,15.426383670706173
Turkey,7954.0,2018,97.54545455,98.33333333,96.09090909,96.09090909,97.54545455,97.12121212199999,0.9671836129923912,15.47493780787826
Turkmenistan,7996.0,2018,98.27272727,98.0,98.63636364,98.63636364,98.27272727,98.36363636400002,0.9888847721442748,15.822156354308397
Tuvalu,8036.0,2018,92.54545455,99.0,93.90909091,93.90909091,92.72727273,94.41818182,0.9199703594248031,14.71952575079685
Uganda,8072.0,2018,90.09090909,81.875,86.0,91.0,90.09090909,87.81136363599998,0.804570475832915,12.87312761332664
Ukraine,8117.0,2018,55.45454545,75.66666667,76.54545455,76.54545455,59.54545455,68.75151515399999,0.4716561689993401,7.546498703989442
United Arab Emirates,8156.0,2018,97.0,97.0,98.72727273,98.72727273,97.09090909,97.70909090999999,0.9774519663528081,15.639231461644929
United Kingdom,8190.909091,2018,92.6,97.44444444,91.63636364,91.63636364,93.63636364,93.39070707200001,0.9020236772230816,14.432378835569306
United States,8244.0,2018,91.81818182,96.77777778,91.63636364,91.63636364,94.18181818,93.21010101200001,0.898869069707097,14.381905115313552
Uruguay,8326.0,2018,93.54545455,97.77777778,95.63636364,95.63636364,93.54545455,95.228282832,0.9341202209585848,14.945923535337357
Uzbekistan,8367.0,2018,98.18181818,89.33333333,98.45454545,98.45454545,98.18181818,96.52121211800001,0.9567035409382804,15.307256655012486
Vanuatu,8410.0,2018,79.09090909,65.0,76.09090909,73.66666667,79.18181818,74.606060606,0.5739162652859882,9.18266024457581
Venezuela,8443.0,2018,66.18181818,59.125,80.09090909,80.09090909,66.18181818,70.334090908,0.49929868203673905,7.988778912587825
Vietnam,8484.0,2018,85.27272727,72.33333333,94.18181818,89.66666667,85.27272727,85.345454544,0.7614989678483122,12.183983485572995
Yemen,8662.0,2018,59.72727273,50.66666667,56.36363636,54.22222222,59.72727273,56.141414141999995,0.25139822510875853,4.0223716017401365
Zambia,8700.0,2018,87.18181818,69.0,91.0,92.71428571,87.18181818,85.415584414,0.7627239113247215,12.203582581195544
Zimbabwe,8751.0,2018,89.54545455,83.8,89.27272727,88.875,89.54545455,88.207727274,0.8114936749298769,12.98389879887803
