country,year,terror,norm_terror,norm_terror_withpts_log16
Gabon,2019.0,1.0,0.9994478188845941,15.991165102153506
Taiwan,2019.0,1.0,0.9994478188845941,15.991165102153506
Djibouti,2019.0,1.0,0.9994478188845941,15.991165102153506
Kyrgyzstan,2019.0,1.2,0.999337382661513,15.989398122584207
Austria,2019.0,1.2,0.999337382661513,15.989398122584207
Norway,2019.0,1.2,0.999337382661513,15.989398122584207
Switzerland,2019.0,1.2,0.999337382661513,15.989398122584207
Guatemala,2019.0,1.2,0.999337382661513,15.989398122584207
Eritrea,2019.0,1.4,0.9992269464384318,15.987631143014909
Guyana,2019.0,1.4,0.9992269464384318,15.987631143014909
Finland,2019.0,1.4,0.9992269464384318,15.987631143014909
Tajikistan,2019.0,1.4,0.9992269464384318,15.987631143014909
Papua New Guinea,2019.0,1.6,0.9991165102153506,15.98586416344561
Zimbabwe,2019.0,1.6,0.9991165102153506,15.98586416344561
Angola,2019.0,1.6,0.9991165102153506,15.98586416344561
Maldives,2019.0,1.6,0.9991165102153506,15.98586416344561
Honduras,2019.0,1.6,0.9991165102153506,15.98586416344561
Malawi,2019.0,1.6,0.9991165102153506,15.98586416344561
Haiti,2019.0,2.2,0.9987852015461072,15.980563224737715
Cyprus,2019.0,2.2,0.9987852015461072,15.980563224737715
Spain,2019.0,2.4,0.9986747653230259,15.978796245168414
Belgium,2019.0,2.4,0.9986747653230259,15.978796245168414
Rwanda,2019.0,2.4,0.9986747653230259,15.978796245168414
Bolivia,2019.0,2.4,0.9986747653230259,15.978796245168414
Nicaragua,2019.0,2.6,0.9985643290999447,15.977029265599116
Jordan,2019.0,2.8,0.9984538928768636,15.975262286029817
Malaysia,2019.0,2.8,0.9984538928768636,15.975262286029817
New Zealand,2019.0,2.8,0.9984538928768636,15.975262286029817
Kosovo,2019.0,2.8,0.9984538928768636,15.975262286029817
Australia,2019.0,3.0,0.9983434566537824,15.973495306460519
Ghana,2019.0,3.2,0.9982330204307013,15.97172832689122
Argentina,2019.0,3.2,0.9982330204307013,15.97172832689122
Tanzania,2019.0,3.6,0.998012147984539,15.968194367752623
Paraguay,2019.0,3.8,0.9979017117614578,15.966427388183325
Peru,2019.0,4.2,0.9976808393152954,15.962893429044726
Ecuador,2019.0,4.4,0.9975704030922142,15.961126449475428
Bahrain,2019.0,4.4,0.9975704030922142,15.961126449475428
New Caledonia,2019.0,4.8,0.9973495306460519,15.95759249033683
Algeria,2019.0,5.2,0.9971286581998896,15.954058531198234
Brazil,2019.0,5.4,0.9970182219768083,15.952291551628933
Cote d'Ivoire,2019.0,6.0,0.9966869133075649,15.946990612921038
Sweden,2019.0,6.8,0.9962451684152402,15.939922694643844
Iran,2019.0,8.6,0.9952512424075096,15.924019878520154
Uganda,2019.0,8.6,0.9952512424075096,15.924019878520154
Ireland,2019.0,9.2,0.9949199337382661,15.918718939812258
China,2019.0,9.4,0.994809497515185,15.91695196024296
