level_0,index,country,year,one_pct_value,country_c,norm_one_pct,one_pct_log16
163,33,Cambodia,2022.5,18.9,Cambodia,0.3958436417615042,6.3334982681840675
164,64,Eswatini,2022.5,19.215001,Eswatini,0.38025724888668966,6.0841159821870345
165,181,South Africa,2022.5,19.215001,South Africa,0.38025724888668966,6.0841159821870345
166,52,Democratic Republic of Congo,2022.5,19.230001,DR Congo,0.3795150420583868,6.072240672934189
167,200,Turkmenistan,2022.5,19.655,Turkmenistan,0.3584858980702622,5.735774369124195
168,163,Rwanda,2022.5,19.68,Rwanda,0.3572488866897575,5.71598218703612
169,148,Oman,2022.5,19.7649995,Oman,0.3530430727362692,5.648689163780308
170,100,Jordan,2022.5,20.025,Jordan,0.3401781296387927,5.442850074220683
171,109,Lebanon,2022.5,20.13,Lebanon,0.3349826818406729,5.359722909450767
172,107,Laos,2022.5,20.215,Laos,0.3307768431469569,5.29242949035131
173,44,Congo,2022.5,20.395,Congo Republic,0.32187036120732315,5.14992577931717
174,194,Thailand,2022.5,20.5549995,Thailand,0.31395351311232056,5.023256209797129
175,207,United States,2022.5,20.730001,United States,0.3052943592281048,4.884709747649676
176,191,Taiwan,2022.5,20.7649995,Taiwan,0.30356261751608116,4.8570018802572985
177,46,Cote d'Ivoire,2022.5,20.890001,Cote d'Ivoire,0.29737748639287476,4.758039782285996
178,185,Sri Lanka,2022.5,20.935,Sri Lanka,0.29515091538842164,4.722414646214746
179,190,Syria,2022.5,20.99,Syria,0.29242949035131127,4.67887184562098
180,27,Brazil,2022.5,21.13,Brazil,0.28550222662048497,4.5680356259277595
197,132,Montserrat,2022.5,21.199999,Montserrat,0.28203864423552705,4.512618307768433
196,176,Sint Maarten (Dutch part),2022.5,21.199999,Sint Maarten,0.28203864423552705,4.512618307768433
195,28,British Virgin Islands,2022.5,21.199999,British Virgin Islands,0.28203864423552705,4.512618307768433
194,49,Curacao,2022.5,21.199999,Curacao,0.28203864423552705,4.512618307768433
193,165,Saint Lucia,2022.5,21.199999,St. Lucia,0.28203864423552705,4.512618307768433
192,166,Saint Vincent and the Grenadines,2022.5,21.199999,St. Vincent and the Grenadines,0.28203864423552705,4.512618307768433
189,78,Grenada,2022.5,21.199999,Grenada,0.28203864423552705,4.512618307768433
190,16,Barbados,2022.5,21.199999,Barbados,0.28203864423552705,4.512618307768433
191,159,Puerto Rico,2022.5,21.199999,Puerto Rico,0.28203864423552705,4.512618307768433
188,37,Cayman Islands,2022.5,21.199999,Cayman Islands,0.28203864423552705,4.512618307768433
187,55,Dominica,2022.5,21.199999,Dominica,0.28203864423552705,4.512618307768433
186,164,Saint Kitts and Nevis,2022.5,21.199999,St. Kitts and Nevis,0.28203864423552705,4.512618307768433
185,24,Bonaire Sint Eustatius and Saba,2022.5,21.199999,"Bonaire, Saint Eustatius and Saba",0.28203864423552705,4.512618307768433
184,9,Aruba,2022.5,21.199999,Aruba,0.28203864423552705,4.512618307768433
183,201,Turks and Caicos Islands,2022.5,21.199999,Turks and Caicos Islands,0.28203864423552705,4.512618307768433
182,6,Antigua and Barbuda,2022.5,21.199999,Antigua and Barbuda,0.28203864423552705,4.512618307768433
181,5,Anguilla,2022.5,21.199999,Anguilla,0.28203864423552705,4.512618307768433
198,173,Seychelles,2022.5,21.255,Seychelles,0.2793171697179614,4.469074715487382
199,203,Uganda,2022.5,21.29,Uganda,0.27758535378525484,4.4413656605640774
200,136,Namibia,2022.5,21.5099995,Namibia,0.2666996783770411,4.267194854032658
201,126,Mexico,2022.5,21.58,Mexico,0.2632360217714004,4.211776348342406
202,40,Chile,2022.5,22.04,Chile,0.24047501237011382,3.847600197921821
203,198,Tunisia,2022.5,22.4950005,Tunisia,0.2179613805047006,3.4873820880752096
204,26,Botswana,2022.5,22.635,Botswana,0.21103414151410183,3.376546264225629
205,199,Turkey,2022.5,23.105,Türkiye,0.18777832756061352,3.0044532409698164
206,2,Algeria,2022.5,23.19,Algeria,0.18357248886689748,2.9371598218703596
207,160,Qatar,2022.5,24.1250005,Qatar,0.1373082384957942,2.1969318159327074
208,162,Russia,2022.5,24.33,Russia,0.1271647699158832,2.0346363186541314
209,134,Mozambique,2022.5,24.65,Mozambique,0.11133102424542307,1.7812963879267691
210,89,India,2022.5,24.805,India,0.10366155368629382,1.658584858980701
211,213,Yemen,2022.5,25.035001,Yemen,0.0922809995051953,1.4764959920831249
212,170,Saudi Arabia,2022.5,25.105,Saudi Arabia,0.08881741712023739,1.4210786739237982
213,14,Bahrain,2022.5,25.33,Bahrain,0.07768431469569526,1.242949035131124
214,4,Angola,2022.5,25.865,Angola,0.05121227115289462,0.8193963384463139
215,155,Peru,2022.5,26.9,Peru,0.0,0.0
