country,year,basicw,country_c,norm_water,water_log32_n
Trinidad and Tobago,2019.0,98.82430142857142,Trinidad and Tobago,0.9817267060970096,31.415254595104308
Bhutan,2019.0,98.81765057142857,Bhutan,0.9816233351563354,31.411946725002732
Egypt,2019.0,98.75609071428572,Egypt,0.9806665411365633,31.381329316370024
Turks and Caicos Islands,2019.0,98.74971642857143,Turks and Caicos Islands,0.9805674688070484,31.378159001825548
Latvia,2019.0,98.73789571428571,Latvia,0.9803837453667589,31.372279851736284
United States Virgin Islands,2018.0,98.71827,United States Virgin Islands,0.9800787127215604,31.362518807089934
Tonga,2019.0,98.70054871428572,Tonga,0.9798032796555812,31.3537049489786
Saudi Arabia,2019.0,98.66033771428572,Saudi Arabia,0.9791783002271889,31.333705607270044
Belarus,2019.0,98.64077857142857,Belarus,0.9788743022683541,31.323977672587333
Saint Kitts and Nevis,2016.5,98.611855,St. Kitts and Nevis,0.9784247576875555,31.309592246001777
Barbados,2019.0,98.50587657142857,Barbados,0.9767775880645545,31.256882818065744
Montenegro,2019.0,98.46999628571429,Montenegro,0.976219918758736,31.239037400279553
Antigua and Barbuda,2019.0,98.36506585714287,Antigua and Barbuda,0.9745890376747159,31.18684920559091
Belize,2019.0,98.22680857142858,Belize,0.9724401739459652,31.118085566270885
Montserrat,2019.0,98.07558028571428,Montserrat,0.9700897084623294,31.042870670794542
Aruba,2016.0,97.869026,Aruba,0.9668793386775019,30.94013883768006
Lithuania,2019.0,97.81236228571429,Lithuania,0.965998642953325,30.9119565745064
Bangladesh,2019.0,97.80159842857142,Bangladesh,0.9658313457141506,30.90660306285282
Saint Vincent and the Grenadines,2017.0,97.72246799999999,St. Vincent and the Grenadines,0.9646014611050383,30.867246755361226
North Macedonia,2019.0,97.71926714285713,North Macedonia,0.9645517117860084,30.86565477715227
Palestine,2019.0,97.57817357142858,Palestine,0.9623587650893022,30.79548048285767
El Salvador,2019.0,97.57616885714286,El Salvador,0.9623276068194662,30.794483418222917
Anguilla,2016.5,97.48228,Anguilla,0.9608683393486359,30.74778685915635
Suriname,2019.0,97.34974571428572,Suriname,0.9588084253418192,30.681869610938215
Iran,2019.0,97.31673471428572,Iran,0.9582953519064245,30.665451261005582
Iraq,2019.0,97.27894157142858,Iraq,0.9577079520203234,30.64665446465035
Niue,2019.0,97.13843428571428,Niue,0.9555241176687609,30.57677176540035
Malaysia,2019.0,97.09568442857143,Malaysia,0.9548596780556949,30.555509697782238
Nauru,2017.5,97.00336,Nauru,0.9534247257144146,30.509591222861268
Colombia,2019.0,96.91836842857143,Colombia,0.9521037442981455,30.467319817540655
Turkey,2019.0,96.804819,Türkiye,0.9503389024150077,30.410844877280248
Russia,2019.0,96.79614128571428,Russia,0.9502040290491617,30.406528929573174
Saint Lucia,2019.0,96.69932271428571,St. Lucia,0.9486992264968951,30.358375247900643
Mayotte,2019.0,96.47117142857142,Mayotte,0.9451531853605717,30.244901931538294
Samoa,2019.0,96.31137128571429,Samoa,0.94266949179563,30.16542373746016
Seychelles,2019.0,96.2396377142857,Seychelles,0.9415545728314666,30.12974633060693
Dominican Republic,2019.0,96.17566685714284,Dominican Republic,0.9405603058465392,30.097929787089253
Bosnia and Herzegovina,2019.0,96.12309785714285,Bosnia and Herzegovina,0.9397432522151659,30.071784070885307
Tunisia,2019.0,96.07825285714286,Tunisia,0.9390462488462804,30.049479963080973
Ireland,2019.0,96.03188928571429,Ireland,0.9383256430824433,30.026420578638184
Vietnam,2019.0,95.80466785714285,Vietnam,0.9347940542498583,29.913409735995465
Grenada,2016.5,95.62865,Grenada,0.9320582968764035,29.825865500044912
Cayman Islands,2019.0,95.61104257142857,Cayman Islands,0.9317846334349565,29.81710826991861
Azerbaijan,2019.0,95.58092714285715,Azerbaijan,0.9313165644156742,29.802130061301575
Uzbekistan,2019.0,95.56222357142858,Uzbekistan,0.931025864174936,29.792827653597953
Dominica,2016.5,95.420654,Dominica,0.9288255192486924,29.722416615958156
Kazakhstan,2018.5,95.39357833333334,Kazakhstan,0.9284046957258585,29.70895026322747
China,2019.0,95.39253842857144,China,0.9283885330071081,29.70843305622746
Fiji,2019.0,95.3834242857143,Fiji,0.928246876450615,29.70390004641968
Sint Maarten (Dutch part),2016.5,95.31118,Sint Maarten,0.9271240197101625,29.6679686307252
Falkland Islands,2018.0,95.1194718,Falkland Islands,0.9241443951981104,29.572620646339534
Ecuador,2019.0,94.92816485714286,Ecuador,0.9211710072248109,29.47747223119395
Guyana,2019.0,94.91614857142858,Guyana,0.9209842441157833,29.471495811705065
Serbia,2019.0,94.85876071428571,Serbia,0.9200922934019534,29.44295338886251
Albania,2019.0,94.61367271428571,Albania,0.9162830134003165,29.321056428810127
Honduras,2019.0,94.58961428571429,Honduras,0.9159090852976434,29.309090729524588
Georgia,2019.0,94.399145,Georgia,0.912948716609672,29.214358931509505
Algeria,2019.0,94.20887642857143,Algeria,0.9099914675232912,29.119726960745318
Cuba,2019.0,94.19502142857142,Cuba,0.9097761261992658,29.112836038376507
Channel Islands,2016.5,94.15,Channel Islands,0.9090763806894807,29.090444182063383
French Guiana,2019.0,94.14455071428571,French Guiana,0.9089916851715661,29.087733925490117
North Korea,2019.0,94.13728,North Korea,0.9088786801018517,29.084117763259254
Panama,2019.0,94.07778385714286,Panama,0.9079539613593581,29.05452676349946
Venezuela,2019.0,93.862895,Venezuela,0.9046140515062077,28.947649648198645
Syria,2019.0,93.83011,Syria,0.9041044906755932,28.93134370161898
Philippines,2019.0,93.63607785714285,Philippines,0.901088746283944,28.834839881086207
Guatemala,2019.0,93.50680585714285,Guatemala,0.8990795363496688,28.7705451631894
Ukraine,2019.0,93.49960714285714,Ukraine,0.8989676503398843,28.7669648108763
South Africa,2019.0,93.37115785714286,South Africa,0.8969712274415949,28.703079278131035
Peru,2019.0,92.99623871428571,Peru,0.8911440470283692,28.516609504907816
Bolivia,2019.0,92.54908157142857,Bolivia,0.8841941075703997,28.29421144225279
Lebanon,2019.0,92.29734714285713,Lebanon,0.8802815254591552,28.169008814692965
Poland,2019.0,91.92991657142856,Poland,0.8745707361600752,27.986263557122406
Indonesia,2019.0,91.803897,Indonesia,0.8726120770937085,27.92358646699867
Oman,2019.0,91.73305628571428,Oman,0.8715110353608195,27.888353131546225
India,2019.0,91.5539162857143,India,0.8687267520850442,27.799256066721416
Botswana,2019.0,91.54359142857142,Botswana,0.8685662780029426,27.794120896094164
Saint Pierre and Miquelon,2018.0,91.4,St. Pierre and Miquelon,0.8663345083640228,27.72270426764873
Jamaica,2019.0,90.90140928571428,Jamaica,0.8585851626721467,27.474725205508694
Moldova,2019.0,90.699325,Moldova,0.8554442678579718,27.374216571455097
Nepal,2019.0,90.20218357142858,Nepal,0.8477174476879007,27.126958326012822
Pakistan,2019.0,90.18792142857144,Pakistan,0.8474957783464145,27.119864907085265
Micronesia (country),2018.0,90.11429,"Micronesia, Fed. Sts.",0.8463513619394538,27.083243582062522
Vanuatu,2019.0,90.06666371428571,Vanuatu,0.845611130440059,27.059556174081887
Kyrgyzstan,2019.0,89.87148414285716,Kyrgyz Republic,0.8425775521409546,26.96248166851055
Cape Verde,2019.0,88.39646471428571,Cabo Verde,0.819652064106929,26.22886605142173
Sri Lanka,2019.0,88.39489485714286,Sri Lanka,0.8196276646038131,26.22808526732202
Gabon,2019.0,85.95800557142857,Gabon,0.7817523152506216,25.01607408801989
Marshall Islands,2019.0,85.72328428571429,Marshall Islands,0.778104159895688,24.899333116662017
Ghana,2019.0,85.22991228571428,Ghana,0.7704359260655222,24.653949634096712
Namibia,2019.0,84.81418357142857,Namibia,0.763974462928058,24.447182813697857
Morocco,2019.0,84.55382071428572,Morocco,0.759927773474134,24.317688751172287
Gambia,2019.0,83.89216042857142,Gambia,0.7496439191269243,23.988605412061577
Laos,2019.0,83.63678514285714,Laos,0.7456747489970781,23.8615919679065
Senegal,2019.0,82.68821142857142,Senegal,0.7309315429653379,23.389809374890813
East Timor,2019.0,82.10391285714286,Timor-Leste,0.7218500829871753,23.09920265558961
Nicaragua,2018.0,81.5387462,Nicaragua,0.7130659807681915,22.818111384582128
Mongolia,2019.0,81.44427885714286,Mongolia,0.7115977221837095,22.771127109878705
Tajikistan,2019.0,80.64998942857143,Tajikistan,0.6992524795126328,22.37607934440425
Comoros,2017.5,80.178715,Comoros,0.6919276971649043,22.14168630927694
Mali,2019.0,79.25811357142857,Mali,0.6776192503566737,21.68381601141356
Myanmar,2019.0,78.603592,Myanmar,0.6674463494693074,21.358283183017836
Sao Tome and Principe,2019.0,77.10068142857143,Sao Tome and Principe,0.6440873633745506,20.61079562798562
Djibouti,2019.0,75.99597485714285,Djibouti,0.6269174625625162,20.06135880200052
Cambodia,2019.0,75.27328128571428,Cambodia,0.615684998431451,19.70191994980643
Nigeria,2019.0,74.72599228571428,Nigeria,0.6071787596812229,19.429720309799134
Liberia,2019.0,74.14495357142857,Liberia,0.5981479660295327,19.140734912945046
Afghanistan,2019.0,73.77661771428572,Afghanistan,0.5924231063281189,18.957539402499805
Kiribati,2019.0,73.76658142857143,Kiribati,0.5922671173671654,18.952547755749293
Congo,2018.5,73.3606575,Congo Republic,0.5859580451021297,18.75065744326815
Lesotho,2019.0,72.85619071428572,Lesotho,0.57811737057579,18.49975585842528
Cote d'Ivoire,2019.0,72.55191657142858,Cote d'Ivoire,0.5733881900063581,18.34842208020346
Mauritania,2019.0,72.55172714285713,Mauritania,0.5733852458129706,18.348327866015058
Eswatini,2019.0,70.42797142857144,Eswatini,0.5403767746891667,17.292056790053334
Malawi,2019.0,69.45935714285714,Malawi,0.5253220880954885,16.810306819055633
Cameroon,2019.0,67.998398,Cameroon,0.5026151320385028,16.08368422523209
Togo,2019.0,67.78477871428571,Togo,0.4992949544980463,15.977438543937481
Guinea,2019.0,67.70194928571428,Guinea,0.4980075781850315,15.936242501921008
Solomon Islands,2018.5,67.538241,Solomon Islands,0.49546314231353356,15.854820554033074
Benin,2019.0,66.67464628571429,Benin,0.48204072230664624,15.42530311381268
Zambia,2019.0,66.51602785714286,Zambia,0.47957539553484085,15.346412657114907
Haiti,2019.0,66.26939185714285,Haiti,0.47574205574470924,15.223745783830696
Equatorial Guinea,2016.5,64.54567,Equatorial Guinea,0.4489511104564908,14.366435534607705
Zimbabwe,2019.0,63.18754571428571,Zimbabwe,0.4278424650666348,13.690958882132314
Rwanda,2019.0,62.38008885714286,Rwanda,0.4152925676497929,13.289362164793372
Sierra Leone,2019.0,61.92857842857143,Sierra Leone,0.40827496725284274,13.064798952090968
Burundi,2019.0,61.651471,Burundi,0.4039680253137752,12.926976810040806
Sudan,2019.0,61.59123014285715,Sudan,0.4030317318502203,12.89701541920705
Guinea-Bissau,2019.0,61.33626771428572,Guinea-Bissau,0.3990689785521153,12.77020731366769
Kenya,2019.0,60.85327985714286,Kenya,0.3915621402522074,12.529988488070638
Yemen,2019.0,59.578758428571426,Yemen,0.3717528921881855,11.896092550021937
Mozambique,2019.0,57.40962271428572,Mozambique,0.3380391024585162,10.817251278672519
Angola,2019.0,56.676570285714284,Angola,0.3266456358003827,10.452660345612246
Tanzania,2019.0,56.54854842857143,Tanzania,0.32465585621024895,10.388987398727966
Somalia,2019.0,54.73980857142857,Somalia,0.29654351873971546,9.489392599670895
Uganda,2019.0,54.348816285714285,Uganda,0.29046652151926494,9.294928688616478
Eritrea,2016.0,51.849716,Eritrea,0.2516242577590776,8.051976248290483
Madagascar,2019.0,51.16690428571428,Madagascar,0.2410116573538677,7.7123730353237665
Chad,2019.0,50.42434542857143,Chad,0.22947043703890851,7.3430539852450725
Burkina Faso,2019.0,49.416748,Burkina Faso,0.21380985498528682,6.841915359529178
Niger,2019.0,47.412132,Niger,0.18265311275489773,5.8448996081567275
Ethiopia,2019.0,47.239523857142856,Ethiopia,0.17997035086241248,5.759051227597199
Papua New Guinea,2019.0,47.092529285714285,Papua New Guinea,0.17768568787894506,5.685942012126242
South Sudan,2019.0,41.04435528571429,South Sudan,0.08368194936616191,2.677822379717181
Central African Republic,2019.0,38.380015428571426,Central African Republic,0.042271449727751396,1.3526863912880447
Democratic Republic of Congo,2019.0,35.66028228571428,DR Congo,0.0,0.0
