Entity,Code,Year,Legal equality index,norm_lgbt,lgbt_log8
Rwanda,RWA,2025,39,0.387119461,3.096955692
Niger,NER,2025,38.97,0.386818045,3.094544358
Paraguay,PRY,2025,38.57,0.382799156,3.062393248
Kazakhstan,KAZ,2025,38.52,0.382296795,3.058374359
Belarus,BLR,2025,37.73,0.37435949,2.994875917
Djibouti,DJI,2025,37.3,0.370039184,2.960313473
Central African Republic,CAF,2025,35.9,0.355973073,2.847784588
North Korea,PRK,2025,35.88,0.355772129,2.846177032
Eswatini,SWZ,2025,35.86,0.355571185,2.844569477
Turkey,TUR,2025,35.46,0.351552296,2.812418366
Indonesia,IDN,2025,35.39,0.35084899,2.806791922
Jordan,JOR,2025,35.12,0.34813624,2.785089923
Tajikistan,TJK,2025,35.12,0.34813624,2.785089923
Kyrgyzstan,KGZ,2025,33.85,0.335376268,2.683010148
Cote d'Ivoire,CIV,2025,33.33,0.330151713,2.641213704
Russia,RUS,2025,31.55,0.312267658,2.498141264
Bahrain,BHR,2025,31.11,0.30784688,2.462775043
Pakistan,PAK,2025,30.93,0.30603838,2.448307043
Democratic Republic of Congo,COD,2025,30.53,0.302019492,2.416155933
Azerbaijan,AZE,2025,29.76,0.294283131,2.354265046
Burkina Faso,BFA,2025,29.47,0.291369436,2.330955491
Trinidad and Tobago,TTO,2025,29.29,0.289560936,2.316487491
Kiribati,KIR,2025,28.33,0.279915603,2.239324827
Liberia,LBR,2025,27.18,0.268361298,2.146890385
Saint Lucia,LCA,2025,26.71,0.263639104,2.10911283
Tuvalu,TUV,2025,26.52,0.261730132,2.093841053
Sri Lanka,LKA,2025,25.64,0.252888576,2.02310861
Jamaica,JAM,2025,25,0.246458354,1.971666834
Uzbekistan,UZB,2025,23.21,0.228473827,1.827790616
Sierra Leone,SLE,2025,22.44,0.220737466,1.765899729
Grenada,GRD,2025,22.35,0.219833216,1.758665729
Papua New Guinea,PNG,2025,22.27,0.219029438,1.752235507
Guyana,GUY,2025,22.26,0.218928966,1.751431729
Samoa,WSM,2025,21.47,0.210991661,1.687933286
Kenya,KEN,2025,20.79,0.20415955,1.633276399
Tonga,TON,2025,20.59,0.202150105,1.617200844
Turkmenistan,TKM,2025,19.87,0.194916106,1.559328846
Ghana,GHA,2025,19.51,0.191299106,1.530392846
Lebanon,LBN,2025,18.92,0.185371245,1.482969959
Solomon Islands,SLB,2025,18.75,0.183663217,1.469305737
Guinea,GIN,2025,16.92,0.165276801,1.322214408
Malawi,MWI,2025,15.79,0.15392344,1.231387521
Maldives,MDV,2025,15.79,0.15392344,1.231387521
Zimbabwe,ZWE,2025,15.26,0.148598413,1.1887873
Chad,TCD,2025,15,0.145986135,1.167889079
Bangladesh,BGD,2025,14.72,0.143172913,1.145383302
Saint Vincent and the Grenadines,VCT,2025,14.71,0.14307244,1.144579524
Comoros,COM,2025,13.51,0.131015774,1.048126193
Gambia,GMB,2025,11.84,0.114236913,0.913895308
Myanmar,MMR,2025,11.71,0.112930775,0.903446197
Tunisia,TUN,2025,10.53,0.101075053,0.808600422
Syria,SYR,2025,10.24,0.098161358,0.785290867
Togo,TGO,2025,8.89,0.084597609,0.67678087
Egypt,EGY,2025,8.84,0.084095248,0.672761981
Malaysia,MYS,2025,8.21,0.077765498,0.622123983
South Sudan,SSD,2025,7.37,0.069325831,0.554606651
Qatar,QAT,2025,6.83,0.063900332,0.511202652
Mali,MLI,2025,6.67,0.062292776,0.498342208
Ethiopia,ETH,2025,6.51,0.060685221,0.485481764
Morocco,MAR,2025,6.51,0.060685221,0.485481764
Burundi,BDI,2025,6.32,0.058776248,0.470209987
Tanzania,TZA,2025,6.22,0.057771526,0.462172209
Iran,IRN,2025,6.05,0.056063498,0.448507988
Sudan,SDN,2025,6.05,0.056063498,0.448507988
Kuwait,KWT,2025,5.64,0.051944137,0.4155531
Zambia,ZMB,2025,5.5,0.050537526,0.404300211
Eritrea,ERI,2025,4.87,0.044207777,0.353662212
Nigeria,NGA,2025,4.6,0.041495027,0.331960213
Libya,LBY,2025,4.29,0.038380388,0.307043103
Brunei,BRN,2025,3.78,0.033256305,0.266050437
Algeria,DZA,2025,3.72,0.032653471,0.261227771
Senegal,SEN,2025,3.24,0.027830805,0.222646438
Yemen,YEM,2025,3.16,0.027027027,0.216216216
Cameroon,CMR,2025,3.16,0.027027027,0.216216216
Iraq,IRQ,2025,3.08,0.026223249,0.209785994
Oman,OMN,2025,2.93,0.024716166,0.197729328
Saudi Arabia,SAU,2025,2.93,0.024716166,0.197729328
Mauritania,MRT,2025,2.79,0.023309555,0.186476439
Somalia,SOM,2025,1,0.005325028,0.042600221
Uganda,UGA,2025,0.59,0.001205667,0.009645333
Afghanistan,AFG,2025,0.51,0.000401889,0.003215111
United Arab Emirates,ARE,2025,0.47,0,0
