country,year,equal_rights,country_c,norm_equal_rights,equal_rights_log8
Democratic Republic of Congo,2021.5,0.516,DR Congo,0.49755744526868106,3.9804595621494485
Equatorial Guinea,2021.5,0.47900000000000004,Equatorial Guinea,0.4573909896869912,3.6591279174959297
Gaza,2021.5,0.4785,Palestine,0.45684819974669805,3.6547855979735844
Mauritania,2021.5,0.4768333333333334,Mauritania,0.45503889994572105,3.6403111995657684
Iraq,2021.5,0.47100000000000003,Iraq,0.44870635064230147,3.5896508051384117
Uzbekistan,2021.5,0.46349999999999997,Uzbekistan,0.44056450153790483,3.5245160123032386
Laos,2021.5,0.46166666666666667,Laos,0.4385742717568301,3.508594174054641
Uganda,2021.5,0.4443333333333333,Uganda,0.41975755382666907,3.3580604306133526
Libya,2021.5,0.44250000000000006,Libya,0.4177673240455944,3.3421385923647553
Dominican Republic,2021.5,0.4411666666666667,Dominican Republic,0.4163198842048128,3.3305590736385025
Eritrea,2021.5,0.4366666666666667,Eritrea,0.4114347747421748,3.2914781979373986
Ecuador,2021.5,0.43533333333333335,Ecuador,0.4099873349013932,3.2798986792111458
Namibia,2021.5,0.4275,Namibia,0.40148362583680114,3.211869006694409
Indonesia,2021.5,0.41733333333333333,Indonesia,0.39044689705084135,3.1235751764067308
Russia,2021.5,0.4051666666666667,Russia,0.3772390085037091,3.017912068029673
Mexico,2021.5,0.3553333333333333,Mexico,0.3231409444544961,2.5851275556359687
Syria,2021.5,0.3526666666666667,Syria,0.32024606477293294,2.5619685181834635
Honduras,2021.5,0.3518333333333333,Honduras,0.31934141487244433,2.5547313189795546
Myanmar,2021.5,0.347,Myanmar,0.314094445449611,2.512755563596888
Madagascar,2021.5,0.3431666666666667,Madagascar,0.30993305590736386,2.479464447258911
China,2021.5,0.34149999999999997,China,0.3081237561063868,2.4649900488510945
Saudi Arabia,2021.5,0.336,Saudi Arabia,0.30215306676316267,2.4172245341053014
Paraguay,2021.5,0.3155,Paraguay,0.2798986792111453,2.2391894336891625
Venezuela,2021.5,0.30216666666666664,Venezuela,0.2654242808033291,2.1233942464266327
Somaliland,2021.5,0.2851666666666666,Somalia,0.24696942283336343,1.9757553826669074
Nicaragua,2021.5,0.27266666666666667,Nicaragua,0.2333996743260358,1.8671973946082865
Congo,2021.5,0.2648333333333333,Congo Republic,0.2248959652614438,1.7991677220915503
Burundi,2021.5,0.26333333333333336,Burundi,0.22326759544056451,1.7861407635245161
Bahrain,2021.5,0.25966666666666666,Bahrain,0.21928713587841503,1.7542970870273202
Thailand,2021.5,0.25966666666666666,Thailand,0.21928713587841503,1.7542970870273202
Philippines,2021.5,0.25766666666666665,Philippines,0.2171159761172426,1.7369278089379407
United Arab Emirates,2021.5,0.25466666666666665,United Arab Emirates,0.21385923647548397,1.7108738918038717
Afghanistan,2021.5,0.24916666666666668,Afghanistan,0.20788854713225982,1.6631083770580786
Somalia,2021.5,0.23316666666666666,Somalia,0.19051926904288038,1.524154152343043
Qatar,2021.5,0.2285,Qatar,0.18545322960014474,1.483625836801158
Chad,2021.5,0.2215,Chad,0.17785417043604124,1.42283336348833
Egypt,2021.5,0.21983333333333333,Egypt,0.17604487063506422,1.4083589650805137
Bangladesh,2021.5,0.20750000000000002,Bangladesh,0.16265605210783426,1.3012484168626741
El Salvador,2021.5,0.2011666666666667,El Salvador,0.1557807128641216,1.2462457029129728
Sudan,2021.5,0.19983333333333334,Sudan,0.15433327302333996,1.2346661841867197
Turkmenistan,2021.5,0.19533333333333336,Turkmenistan,0.14944816356070204,1.1955853084856163
Central African Republic,2021.5,0.19166666666666668,Central African Republic,0.14546770399855258,1.1637416319884206
Eswatini,2021.5,0.17600000000000002,Eswatini,0.12846028586936856,1.0276822869549485
Guatemala,2021.5,0.16716666666666669,Guatemala,0.11887099692419036,0.9509679753935228
Tajikistan,2021.5,0.13983333333333334,Tajikistan,0.08919848018816717,0.7135878415053374
Pakistan,2021.5,0.10916666666666668,Pakistan,0.05590736385018999,0.4472589108015199
Cambodia,2021.5,0.09733333333333333,Cambodia,0.04306133526325311,0.3444906821060249
Angola,2021.5,0.08900000000000001,Angola,0.03401483625836802,0.27211869006694417
North Korea,2021.5,0.08266666666666667,North Korea,0.027139497014655328,0.21711597611724262
South Sudan,2021.5,0.07533333333333334,South Sudan,0.019178577890356437,0.1534286231228515
Haiti,2021.5,0.06949999999999999,Haiti,0.012846028586936849,0.10276822869549479
Yemen,2021.5,0.057666666666666665,Yemen,0.0,0.0
