year,male_unemploy,female_unemploy,m_f_unemploy,norm_unemploy,unemploy_norm_withpts,unemploy_norm_withpts_log5,unemploy_log16_n
2021.0,0.2088,0.264,0.4728,1.0,5.0,16.0,16.0
2021.0,0.0696,0.42860000000000004,0.49820000000000003,0.9996344808332686,4.9981724041663425,15.994151693332297,15.994151693332297
2021.0,0.6586000000000001,0.5588,1.2174,0.9892848200177867,4.946424100088934,15.828557120284588,15.828557120284588
2021.0,0.9308,1.0304,1.9611999999999998,0.9785811524502736,4.892905762251368,15.657298439204377,15.657298439204377
2021.0,1.0988,0.9212,2.02,0.9777349899698087,4.888674949849044,15.643759839516939,15.643759839516939
2021.0,1.0908,1.1458,2.2366,0.974618003689729,4.873090018448645,15.593888059035663,15.593888059035663
2021.0,1.546,0.8981999999999999,2.4442,0.9716305320750264,4.858152660375132,15.546088513200422,15.546088513200422
2021.0,1.592,0.8602000000000001,2.4522000000000004,0.9715154079280244,4.857577039640121,15.54424652684839,15.54424652684839
2021.0,1.2369999999999999,1.3448,2.5818,0.9696503967465916,4.848251983732958,15.514406347945465,15.514406347945465
2021.0,1.2968,1.782,3.0788,0.9624983091140908,4.812491545570454,15.399972945825454,15.399972945825454
2021.0,2.2122,1.4302,3.6424000000000003,0.9543878129577984,4.771939064788992,15.270205007324774,15.270205007324774
2021.0,1.875,1.8474,3.7224,0.9532365714877781,4.76618285743889,15.25178514380445,15.25178514380445
2021.0,2.3914,1.8564,4.2478,0.9456757931334202,4.728378965667101,15.130812690134723,15.130812690134723
2021.0,2.6026,1.9148,4.5174,0.941796109379452,4.70898054689726,15.068737750071232,15.068737750071232
2021.0,1.875,2.7384,4.6134,0.9404146196154278,4.702073098077139,15.046633913846845,15.046633913846845
2021.0,1.8334,3.0263999999999998,4.8598,0.9368687958877655,4.684343979438827,14.989900734204248,14.989900734204248
2021.0,0.6038,4.3488,4.9525999999999994,0.935533355782542,4.677666778912711,14.968533692520673,14.968533692520673
2021.0,2.0632,2.898,4.9612,0.9354095973245148,4.677047986622574,14.966553557192237,14.966553557192237
2021.0,2.0554,2.9152,4.9706,0.9352743264517874,4.676371632258937,14.964389223228599,14.964389223228599
2021.0,2.0126,3.0884,5.101,0.9333978028556544,4.666989014278272,14.934364845690471,14.934364845690471
2021.0,2.8245999999999998,2.3948,5.2194,0.9316939654800245,4.658469827400122,14.907103447680392,14.907103447680392
2021.0,2.4088000000000003,2.896,5.3048,0.930465015210778,4.65232507605389,14.887440243372447,14.887440243372447
2021.0,1.7974,3.5753999999999997,5.3728,0.9294864599612607,4.647432299806304,14.87178335938017,14.87178335938017
2021.0,3.2805999999999997,2.1298000000000004,5.4104,0.9289453764703512,4.6447268823517565,14.86312602352562,14.86312602352562
2021.0,2.8926,2.8226,5.715199999999999,0.9245591464695742,4.622795732347871,14.792946343513186,14.792946343513186
2021.0,2.0742000000000003,3.6792000000000002,5.753400000000001,0.9240094286676395,4.620047143338198,14.784150858682231,14.784150858682231
2021.0,2.8652,3.1358,6.001,0.9204463363179268,4.602231681589634,14.72714138108683,14.72714138108683
2021.0,2.8908,3.2658,6.1566,0.9182071716587374,4.591035858293687,14.691314746539799,14.691314746539799
2021.0,3.036,3.2206,6.256600000000001,0.9167681198212122,4.583840599106061,14.668289917139395,14.668289917139395
2021.0,3.001,3.2746000000000004,6.275600000000001,0.9164946999720823,4.582473499860412,14.663915199553317,14.663915199553317
2021.0,2.9352,3.4638,6.399,0.9147189100045762,4.5735945500228805,14.635502560073219,14.635502560073219
2021.0,2.7082,3.8167999999999997,6.525,0.9129057046892943,4.564528523446471,14.60649127502871,14.60649127502871
2021.0,4.3408,2.2036000000000002,6.5443999999999996,0.9126265286328143,4.563132643164072,14.60202445812503,14.60202445812503
2021.0,3.8049999999999997,2.8381999999999996,6.643199999999999,0.9112047454173394,4.556023727086697,14.57927592667743,14.57927592667743
2021.0,3.66,3.0216000000000003,6.6816,0.9106521495117297,4.553260747558649,14.570434392187675,14.570434392187675
2021.0,4.1415999999999995,2.5438,6.6854,0.9105974655419038,4.552987327709519,14.56955944867046,14.56955944867046
2021.0,3.3293999999999997,3.4067999999999996,6.736199999999999,0.9098664272084409,4.549332136042205,14.557862835335055,14.557862835335055
2021.0,3.5204,3.4466,6.9670000000000005,0.9065450955674326,4.532725477837163,14.504721529078921,14.504721529078921
2021.0,3.618,3.5713999999999997,7.189399999999999,0.9033446442807763,4.516723221403882,14.453514308492421,14.453514308492421
2021.0,3.9707999999999997,3.3094,7.2802,0.9020379852123033,4.510189926061516,14.432607763396852,14.432607763396852
2021.0,2.555,4.7498,7.3048,0.901683978460272,4.50841989230136,14.426943655364353,14.426943655364353
2021.0,3.5433999999999997,3.8724,7.415799999999999,0.900086630920619,4.500433154603095,14.401386094729904,14.401386094729904
2021.0,3.4682000000000004,3.9763999999999995,7.444599999999999,0.8996721839914117,4.498360919957058,14.394754943862587,14.394754943862587
2021.0,3.2948,4.2772,7.571999999999999,0.8978388319504045,4.489194159752023,14.365421311206472,14.365421311206472
2021.0,3.5782,4.0542,7.6324,0.8969696446405392,4.484848223202696,14.351514314248627,14.351514314248627
2021.0,4.0476,3.6445999999999996,7.6922,0.8961090916416992,4.480545458208496,14.337745466267187,14.337745466267187
2021.0,4.63,3.0818,7.7118,0.8958270374815441,4.479135187407721,14.333232599704706,14.333232599704706
2021.0,3.8236000000000003,3.9701999999999997,7.7938,0.8946470149747734,4.473235074873867,14.314352239596374,14.314352239596374
2021.0,3.6189999999999998,4.1872,7.8062,0.8944685725469202,4.472342862734601,14.311497160750724,14.311497160750724
2021.0,3.6735999999999995,4.1566,7.8302,0.8941232001059142,4.470616000529571,14.305971201694627,14.305971201694627
2021.0,4.019,3.8936,7.9126,0.8929374213917933,4.464687106958967,14.286998742268693,14.286998742268693
2021.0,1.2278,6.7776,8.0054,0.8916019812865699,4.458009906432849,14.265631700585118,14.265631700585118
2021.0,1.0548,6.9888,8.0436,0.8910522634846352,4.455261317423176,14.256836215754163,14.256836215754163
2021.0,3.9463999999999997,4.199800000000001,8.1462,0.8895757962993343,4.447878981496672,14.233212740789348,14.233212740789348
2021.0,4.3698,3.9376000000000007,8.307400000000001,0.8872560447372435,4.436280223686218,14.196096715795896,14.196096715795896
2021.0,3.6754,4.7824,8.457799999999999,0.8850917107736055,4.425458553868028,14.161467372377688,14.161467372377688
2021.0,4.0206,4.479,8.499600000000001,0.8844901871055199,4.422450935527599,14.151842993688318,14.151842993688318
2021.0,6.0664,2.6117999999999997,8.6782,0.8819200405236998,4.409600202618499,14.110720648379196,14.110720648379196
2021.0,4.0085999999999995,4.7756,8.784199999999998,0.880394645575923,4.401973227879615,14.086314329214767,14.086314329214767
2021.0,4.4054,4.3906,8.796,0.880224837459095,4.4011241872954745,14.08359739934552,14.08359739934552
2021.0,5.2582,3.5914,8.8496,0.8794535056741813,4.397267528370906,14.071256090786902,14.071256090786902
2021.0,4.6536,4.2608,8.9144,0.878521000083465,4.392605000417325,14.05633600133544,14.05633600133544
2021.0,4.997400000000001,3.9192,8.9166,0.8784893409430394,4.392446704715197,14.055829455088631,14.055829455088631
2021.0,3.6692,5.262600000000001,8.9318,0.8782706050637356,4.391353025318677,14.052329681019769,14.052329681019769
2021.0,4.321,4.771800000000001,9.0928,0.8759537316053199,4.379768658026599,14.015259705685118,14.015259705685118
2021.0,2.1934,6.9218,9.1152,0.8756313839937142,4.378156919968571,14.010102143899427,14.010102143899427
2021.0,4.858,4.3793999999999995,9.2374,0.8738728626482584,4.369364313241292,13.981965802372134,13.981965802372134
2021.0,5.265,4.1296,9.3946,0.8716106731596686,4.358053365798343,13.945770770554697,13.945770770554697
2021.0,3.9936,5.4756,9.4692,0.8705371404888747,4.352685702444373,13.928594247821994,13.928594247821994
2021.0,4.0548,5.4806,9.5354,0.869584488172433,4.347922440862165,13.913351810758927,13.913351810758927
2021.0,3.8704,5.736400000000001,9.6068,0.8685570051604399,4.3427850258022,13.896912082567038,13.896912082567038
2021.0,4.8984000000000005,4.7316,9.63,0.868223145134134,4.3411157256706705,13.891570322146144,13.891570322146144
2021.0,5.799,3.9018,9.700800000000001,0.8672042964331661,4.3360214821658305,13.875268742930658,13.875268742930658
2021.0,4.89,4.8468,9.736799999999999,0.866686237771657,4.333431188858285,13.866979804346512,13.866979804346512
2021.0,4.509,5.2756,9.784600000000001,0.8659983709933199,4.329991854966599,13.855973935893118,13.855973935893118
2021.0,3.7477999999999994,6.2432,9.991,0.8630281680006677,4.315140840003338,13.808450688010684,13.808450688010684
2021.0,4.4374,5.562,9.999400000000001,0.8629072876463155,4.314536438231578,13.806516602341048,13.806516602341048
2021.0,4.144,5.8566,10.0006,0.8628900190242652,4.314450095121326,13.806240304388243,13.806240304388243
2021.0,4.8932,5.236,10.1292,0.8610393983612077,4.305196991806039,13.776630373779323,13.776630373779323
2021.0,5.5154,4.6579999999999995,10.173399999999999,0.8604033374490215,4.302016687245108,13.766453399184345,13.766453399184345
2021.0,4.8978,5.3186,10.2164,0.8597845451588857,4.298922725794428,13.756552722542171,13.756552722542171
2021.0,5.156000000000001,5.072,10.228000000000002,0.8596176151457328,4.298088075728664,13.753881842331724,13.753881842331724
2021.0,4.063,6.2082,10.2712,0.8589959447519218,4.294979723759608,13.743935116030748,13.743935116030748
2021.0,5.4388,5.1240000000000006,10.5628,0.8547996695936981,4.27399834796849,13.67679471349917,13.67679471349917
2021.0,4.388,6.187399999999999,10.575399999999998,0.8546183490621699,4.2730917453108495,13.673893584994719,13.673893584994719
2021.0,3.8177999999999996,6.9033999999999995,10.7212,0.852520211483058,4.26260105741529,13.640323383728928,13.640323383728928
2021.0,5.4708,5.4942,10.965,0.8490118031031714,4.2450590155158565,13.584188849650742,13.584188849650742
