index,country_c,pm25,norm_pol2,pol_log32_n,safe,atleast_basicsan,norm_basicsan,basicsan_log32_n,basicw,norm_water,water_log32_n,calorie,norm_calorie,calorie_log32_n,avg_life,norm_life_expect,lifeexpect_log32_n,category_a_pts
4,Norway,6.42853,0.984438442606648,31.502030163412734,77.87696483333333,100.00000218333334,0.9999999968333336,31.999999898666672,99.99999857142858,0.9999999777964302,31.999999289485768,1.2,0.9847715736040608,31.512690355329948,82.64,0.926060606,29.633939392,156.6486590988951
0,Finland,5.52591,0.9995424715179232,31.985359088573546,89.6093725,99.99995586833334,0.9999995336833452,31.999985077867045,100.0,1.0,32.0,0.4,0.9949238578680204,31.83756345177665,81.49,0.898181818,28.741818176,156.56472579421725
6,Australia,7.241084,0.9708415368124352,31.066929177997924,95.56239916666668,99.99982628333336,0.9999982378333776,31.999943610668083,99.969854,0.9995314558243192,31.985006586378216,2.5,0.9682741116751268,30.98477157360406,83.06,0.936242424,29.959757568,155.99640851664827
2,Sweden,6.046158,0.9908368802026044,31.70678016648334,95.50211233333332,99.58959759833331,0.9958959510859344,31.868670434749905,99.71543285714286,0.995577115458902,31.85846769468486,2.7,0.9657360406091372,30.903553299492387,82.59,0.924848485,29.59515152,155.93262311541048
16,Switzerland,9.935088,0.92576131002476,29.62436192079232,99.699506,99.99999986866666,0.9999999736866674,31.99999915797336,100.0,1.0,32.0,1.1,0.9860406091370558,31.553299492385783,83.34,0.943030303,30.176969696,155.35463026715144
5,Canada,6.768582,0.9787481684720876,31.3199413911068,83.81780333333333,98.72907716666666,0.987290746984398,31.593303903500733,99.22345557142856,0.9879305589741654,31.61377788717329,2.2,0.9720812182741116,31.106598984771573,81.93,0.908848485,29.08315152,154.7167736865524
15,Luxembourg,9.726578,0.9292504206895912,29.73601346206692,94.97776833333334,99.97194881666668,0.9997194631736802,31.991022821557767,99.88505657142856,0.9982134918732182,31.94283173994298,1.0,0.9873096446700508,31.593908629441625,81.53,0.899151515,28.77284848,154.0366251330093
17,Denmark,10.029042,0.9241891268997128,29.57405206079081,98.52203933333334,100.000000805,0.9999999830500004,31.999999457600016,100.0,1.0,32.0,0.6,0.9923857868020304,31.756345177664976,81.12,0.889212121,28.454787872,153.7851845680558
25,France,11.28572,0.903160453876554,28.90113452404973,89.482839,100.00000163333334,0.9999999913333336,31.99999972266668,100.0,1.0,32.0,1.9,0.9758883248730964,31.228426395939085,82.46,0.92169697,29.49430304,153.6238636826555
26,Netherlands,11.607704,0.897772521363461,28.72872068363075,97.49564166666666,99.99944988666664,0.9999944738668048,31.99982316373775,100.0,1.0,32.0,0.9,0.9885786802030456,31.634517766497463,81.67,0.902545455,28.88145456,153.24451617386597
29,Japan,11.777876,0.8949249411991731,28.63759811837354,99.00366983333332,99.945054235,0.9994505173637372,31.98241655563959,99.05699942857144,0.985343414535697,31.530989265142303,5.0,0.9365482233502538,29.96954314720812,84.17,0.963151515,30.82084848,152.94139556636355
19,United Kingdom,10.188522,0.9215204617573826,29.48865477623624,98.08293516666669,99.82735911666668,0.9982735662098275,31.944754118714485,100.0,1.0,32.0,2.2,0.9720812182741116,31.106598984771573,81.02,0.886787879,28.377212128,152.9172200077223
32,Belgium,12.278078,0.8865547904497129,28.36975329439081,92.98662666666668,99.99991249833332,0.999999099983356,31.99997119946739,100.0,1.0,32.0,0.5,0.9936548223350252,31.79695431472081,81.28,0.893090909,28.578909088,152.745587896579
41,Malta,13.289534,0.8696295498540216,27.82814559532869,88.17641733333333,99.96448533333331,0.9996448283422128,31.98863450695081,100.0,1.0,32.0,1.9,0.9758883248730964,31.228426395939085,82.58,0.924606061,29.587393952,152.63260045021858
18,Spain,10.15503,0.9220809015175212,29.50658884856068,90.010565,99.99999993766669,0.9999999743766674,31.99999918005336,99.92583328571428,0.9988472639153462,31.96311244529108,7.1,0.9098984771573604,29.11675126903553,82.9,0.932363636,29.835636352,152.42208809494065
28,Germany,11.701302,0.8962062953790627,28.678601452130007,96.8654345,100.0000004,0.9999999790000004,31.999999328000012,100.0,1.0,32.0,1.5,0.980964467005076,31.39086294416244,80.89,0.883636364,28.276363648,152.34582737229243
3,Estonia,6.378954,0.985268024642616,31.528576788563708,90.421816,99.77044845833332,0.997704459640722,31.926542708503103,99.97212,0.9995666751271152,31.98613360406769,3.3,0.9581218274111676,30.65989847715736,78.06,0.815030303,26.080969696,152.18212127429186
34,Austria,12.481904,0.8831440596916202,28.260609910131848,99.667801,99.97264983833333,0.9997264733901716,31.99124714848549,100.0,1.0,32.0,2.6,0.967005076142132,30.944162436548226,81.58,0.900363636,28.811636352,152.00765584716555
8,United States,7.824882,0.961072528957142,30.75432092662854,97.10263233333332,99.67607904999998,0.9967607655809808,31.896344498591382,99.74156014285714,0.9959831987717056,31.87146236069458,2.2,0.9720812182741116,31.106598984771573,78.38,0.822787879,26.329212128,151.95793889868608
11,Ireland,8.37472,0.9518717921592448,30.45989734909584,79.484438,96.08231183333332,0.960823094312756,30.74633901800819,96.03188928571429,0.9383256430824432,30.026420578638184,0.9,0.9885786802030456,31.634517766497463,81.91,0.908363636,29.067636352,151.93481106423968
10,Portugal,8.274288,0.9535523751638506,30.51367600524322,91.174845,99.96299433666668,0.999629918375919,31.988157388029407,99.22192371428572,0.9879067500860124,31.613016002752392,9.3,0.881979695431472,28.223350253807105,81.49,0.898181818,28.741818176,151.08001782583213
