country_c,pm25,pol_log32_n,atleast_basicsan,basicsan_log32_n,basicw,norm_water,water_log32_n,calorie,calorie_log32_n,avg_life,lifeexpect_log32_n,pswcl_pts
Philippines,22.30978,22.99804455184849,93.08121508333336,29.78598808201697,93.63607785714284,0.901088746283944,28.834839881086207,18.1,24.6497461928934,69.37,19.339636352,125.60825505984508
Iceland,5.909562,31.779923679657507,1.21920995,0.3901471742463206,100.0,1.0,32.0,0.4,31.83756345177665,82.32,29.38569696,125.39333126568049
Peru,29.082422,19.371475476978716,86.39954650000001,27.64785418880365,92.99623871428572,0.8911440470283692,28.516609504907816,16.5,25.2994923857868,75.44,24.048484864,124.88391642047698
Iraq,39.137866,13.98705352695022,97.86227215,31.315926305101847,97.27894157142858,0.9577079520203234,30.64665446465035,9.7,28.06091370558376,70.39,20.130909088,124.14145709028617
Romania,14.896364,26.967731005782543,87.09175590833334,27.86936119393264,100.0,1.0,32.0,46.2,13.238578680203045,74.81,23.559757568,123.63542844791823
Armenia,37.919374,14.639523479618065,94.250471245,30.160150044396254,99.8244957142857,0.9972722248099744,31.91271119391918,20.4,23.715736040609137,73.92,22.869333344,123.29745410254263
Uzbekistan,45.526694,10.566006607673792,98.05701981666668,31.3782455568772,95.56222357142858,0.931025864174936,29.792827653597957,5.6,29.725888324873097,71.64,21.100606048,122.56357419102204
Kyrgyz Republic,41.763552,12.581068735798034,99.97505881666666,31.99201802153288,89.87148414285716,0.8425775521409546,26.96248166851055,2.2,31.106598984771573,70.01,19.836121216,122.47828862661304
Maldives,12.775734,28.10327178547252,0.3756424483333333,0.1202055804615271,99.45917342857142,0.991594203539558,31.73101451326586,0.0,32.0,79.14,26.918787872,118.8732797511999
Nepal,38.300384,14.43550279120486,85.64873316666666,27.407593928143484,90.20218357142858,0.8477174476879007,27.126958326012826,8.3,28.629441624365484,68.75,18.858666656,116.45816332572664
Mauritius,10.552956,29.29351009352142,3.960664,1.267412448314689,99.94805685714286,0.9991926737526609,31.974165560085144,5.0,29.96954314720812,74.39,23.233939392,115.73857064112937
St. Lucia,9.537672,29.83716758444004,10.376733333333332,3.320554583652802,96.69932271428571,0.9486992264968952,30.358375247900643,4.7,30.091370558375637,72.28,21.597090912,115.20455888636911
Bangladesh,48.248418,9.108596030128002,80.15081616666667,25.648260532126823,97.80159842857142,0.9658313457141506,30.90660306285282,9.3,28.223350253807105,71.72,21.162666656,115.04947653491476
Egypt,62.186678,1.6450297182670717,99.04757285,31.69522251961944,98.75609071428572,0.9806665411365632,31.381329316370024,6.3,29.441624365482237,70.4,20.138666656,114.30187257573877
Laos,20.832206,23.789246002365388,81.0035018,25.921119927972,83.63678514285714,0.7456747489970781,23.8615919679065,22.8,22.741116751269036,67.5,17.888969696,114.20204434551292
Mongolia,45.226162,10.726933474501948,90.36343731666666,28.91629921842585,81.44427885714286,0.7115977221837095,22.771127109878705,0.6,31.756345177664976,69.92,19.76630304,113.93700802047147
Grenada,10.628222,29.25320715886325,2.2129571,0.7081462542963437,95.62865,0.9320582968764036,29.825865500044912,9.6,28.101522842639596,74.99,23.699393952,111.58813570784412
South Africa,19.372512,24.57087318997887,89.77141285,28.72685139382872,93.37115785714286,0.8969712274415949,28.703079278131035,48.5,12.304568527918782,64.58,15.623757568,109.92912995785741
Jamaica,15.718328,26.52759121645716,12.397923666666664,3.967335474149946,90.90140928571428,0.8585851626721467,27.47472520550869,5.6,29.725888324873097,71.6,21.069575744,108.7651159649889
Moldova,12.751932,28.116017121357697,5.05072095,1.6162306635942334,90.699325,0.8554442678579718,27.374216571455097,2.0,31.18781725888325,70.3,20.061090912,108.35537252729029
Uruguay,9.243172,29.994864476221583,1.3043902,0.4174048535648787,99.44830514285717,0.991425283219414,31.725609063021253,30.7,19.532994923857867,77.26,25.460363648,107.13123696466558
Djibouti,20.425962,24.006778824453335,72.98874673333334,23.35639837075671,75.99597485714285,0.6269174625625162,20.06135880200052,20.7,23.593908629441625,63.86,15.065212128,106.0836567546522
Sri Lanka,23.706522,22.25012648047077,4.8717791833333335,1.5589692996924345,88.39489485714286,0.8196276646038131,26.22808526732202,3.3,30.65989847715736,76.44,24.824242432,105.52132195664257
India,53.086028,6.518184958306875,81.81386016666667,26.180434598822472,91.5539162857143,0.8687267520850442,27.799256066721416,19.0,24.284263959390863,69.89,19.743030304,104.52516988724162
Trinidad and Tobago,10.829534,29.145409954522584,5.935482333333333,1.8993542991828087,98.82430142857142,0.9817267060970096,31.415254595104308,30.3,19.695431472081214,72.78,21.984969696,104.14042001689091
Senegal,39.150736,13.980161985363704,74.1221425,23.71908500702288,82.68821142857142,0.7309315429653379,23.389809374890813,16.9,25.13705583756345,67.07,17.555393952,103.78150615684085
Kazakhstan,29.099528,19.362315670422465,2.0384138333333333,0.6522924103593565,95.39357833333334,0.9284046957258584,29.70895026322747,1.1,31.553299492385783,72.36,21.65915152,102.93600935639506
Bolivia,25.38945,21.34896344246692,17.53629116666667,5.6116130330430085,92.54908157142856,0.8841941075703997,28.29421144225279,3.9,30.41624365482233,66.52,17.128727264,102.79975883658506
Indonesia,19.267956,24.62686013808451,7.534468866666667,2.4110299770575843,91.803897,0.8726120770937085,27.92358646699867,13.2,26.639593908629443,69.67,19.572363648,101.1734341387702
Panama,13.288772,27.82855362599605,2.8364915333333336,0.9076772679747352,94.07778385714286,0.907953961359358,29.05452676349946,36.9,17.01522842639594,77.89,25.949090912,100.75507699586619
Nicaragua,18.370062,25.107658416350382,7.2339096,2.314851014128725,81.5387462,0.7130659807681915,22.818111384582128,9.6,28.101522842639596,73.01,22.163393952,100.50553760970084
Cabo Verde,32.014792,17.801269587153755,6.50944285,2.083021659924458,88.39646471428571,0.819652064106929,26.22886605142173,6.4,29.401015228426395,74.63,23.420121216,98.93429374292633
Gambia,39.652928,13.711251569480655,62.00733183333333,19.842345690608024,83.89216042857142,0.7496439191269243,23.988605412061577,14.6,26.07106598984772,63.85,15.05745456,98.67072322199797
Seychelles,16.894536,25.897763217514584,0.0,0.0,96.2396377142857,0.9415545728314666,30.12974633060693,28.9,20.263959390862944,72.3,21.612606048,97.90407498698445
Syria,24.856114,21.63455063932669,5.092845400000001,1.629710487257238,93.83011,0.9041044906755932,28.93134370161898,12.5,26.923857868020303,68.4,18.58715152,97.70661421622322
Gabon,26.248054,20.88920391081598,28.790054,9.212817049679574,85.95800557142857,0.7817523152506216,25.01607408801989,17.4,24.934010152284262,66.92,17.439030304,97.4911355047997
Belize,10.994232,29.05721857020124,9.044347916666666,2.894191260978552,98.22680857142858,0.9724401739459652,31.118085566270885,51.1,11.248730964467004,71.95,21.341090912,95.65931727391768
Guatemala,23.338614,22.447131397487965,10.670023833333332,3.4144075413064776,93.50680585714284,0.8990795363496688,28.7705451631894,31.3,19.289340101522843,70.94,20.557575744,94.4789999475067
Sao Tome and Principe,33.931024,16.775178482459918,51.2303697,16.393717894157056,77.10068142857143,0.6440873633745506,20.61079562798562,22.9,22.7005076142132,67.33,17.757090912,94.23729053081578
Mali,39.912562,13.57222449036076,63.12477616666666,20.199927868335138,79.25811357142857,0.6776192503566737,21.68381601141356,11.8,27.20812182741117,58.71,11.070060608,93.73415080552064
Malawi,18.608276,24.980101175675173,67.35706948333333,21.554261695810126,69.45935714285714,0.5253220880954885,16.810306819055633,46.4,13.157360406091373,64.07,15.228121216,91.73015131263232
Ghana,48.42508,9.013998243045112,71.4553935,22.865725348356868,85.22991228571428,0.7704359260655222,24.653949634096712,33.0,18.598984771573605,63.97,15.15054544,90.2832034370723
Comoros,14.354852,27.257696232480026,13.183519333333331,4.218726081198514,80.178715,0.6919276971649043,22.14168630927694,31.4,19.248730964467008,65.24,16.135757568,89.00259715542248
Botswana,12.89058,28.04177481693757,5.56002835,1.7792090275197745,91.54359142857142,0.8685662780029426,27.794120896094164,43.1,14.497461928934008,65.34,16.213333344,88.32590001348552
Lesotho,17.644478,25.49618928740784,68.56325491666666,21.94024102482731,72.85619071428572,0.57811737057579,18.49975585842528,44.0,14.131979695431472,53.85,7.299878784,87.36804465009189
Cote d'Ivoire,42.161868,12.36778114616524,61.2779225,19.608934709776637,72.55191657142858,0.5733881900063581,18.34842208020346,23.4,22.49746192893401,59.57,11.737212128,84.55981199307935
Namibia,11.890274,28.57741198851798,12.730423166666666,4.07373531148995,84.81418357142857,0.763974462928058,24.447182813697857,45.0,13.725888324873097,62.08,13.684363648,84.50858208657888
Kenya,12.528406,28.23570932995655,59.19232598333333,18.941543841128077,60.85327985714286,0.3915621402522074,12.529988488070638,53.4,10.314720812182742,62.46,13.97915152,84.00111399133802
Sudan,22.201662,23.05593885590838,8.34336075,2.669875373253116,61.59123014285715,0.4030317318502203,12.89701541920705,8.5,28.548223350253807,64.96,15.91854544,83.08959843862235
Togo,37.102518,15.076928071241507,45.261523366666665,14.483687115241157,67.78477871428571,0.4992949544980463,15.97743854393748,17.0,25.096446700507613,60.48,12.44315152,83.07765195092776
Pakistan,53.631344,6.2261827911124925,10.128144,3.2410059989748503,90.18792142857144,0.8474957783464145,27.119864907085265,9.8,28.02030456852792,66.19,16.872727264,81.48008552970053
Guinea-Bissau,35.679162,15.8390972294711,42.10428525,13.473370943165728,61.33626771428572,0.3990689785521153,12.77020731366769,15.1,25.868020304568528,61.34,13.11030304,81.06099883087305
Benin,32.469812,17.557618518568223,38.39484131666667,12.286348914174612,66.67464628571429,0.4820407223066462,15.42530311381268,20.2,23.79695431472081,59.67,11.814787872,80.88101273327632
Guinea,38.52676,14.314284483653283,27.78244583333333,8.890382444407106,67.70194928571428,0.4980075781850315,15.936242501921008,6.6,29.31979695431472,58.95,11.256242432,79.71694881629611
Liberia,36.170508,15.57599455718147,25.7583005,8.242655953933602,74.14495357142857,0.5981479660295327,19.14073491294505,22.5,22.86294416243655,60.77,12.668121216,78.49045080249667
Tanzania,15.43374,26.67998049672312,47.08683358333333,15.067786369972008,56.54854842857143,0.3246558562102489,10.388987398727966,53.8,10.152284263959393,65.25,16.143515136,78.43255366538249
Sierra Leone,40.456978,13.280704249151448,54.32681663333333,17.384580888052145,61.92857842857143,0.4082749672528427,13.064798952090968,20.7,23.593908629441625,58.2,10.674424256,77.99841697473619
Mauritania,42.818526,12.016158308937785,10.053337166666669,3.2170678129066386,72.55172714285713,0.5733852458129706,18.348327866015055,13.8,26.395939086294412,67.08,17.56315152,77.54064459415389
Eswatini,14.840616,26.99758257224447,21.73581,6.955459026113525,70.42797142857144,0.5403767746891667,17.292056790053334,41.3,15.228426395939088,58.01,10.527030304,77.00055508835041
Ethiopia,22.111556,23.104188214587047,16.691720633333333,5.341350469132905,47.239523857142856,0.1799703508624124,5.759051227597199,12.6,26.883248730964468,64.92,15.887515136,76.97535377828162
Burkina Faso,42.387888,12.246753467114427,53.78516333333334,17.211251836385372,49.416748,0.2138098549852868,6.841915359529178,11.1,27.492385786802032,59.66,11.807030304,75.59933675383101
Tajikistan,59.523014,3.071350715042616,2.623739683333333,0.8395966776767498,80.64998942857143,0.6992524795126328,22.37607934440425,7.4,28.99492385786802,70.25,20.02230304,75.30425363499164
Congo Republic,29.308614,19.250355696517417,34.0572148,10.898308463542287,73.3606575,0.5859580451021297,18.75065744326815,57.3,8.730964467005077,64.1,15.251393952,72.88168002233293
Uganda,31.611022,18.01747764825608,37.12900916666666,11.881282636301266,54.348816285714285,0.2904665215192649,9.294928688616478,38.5,16.36548223350254,65.44,16.290909088,71.85008029467636
Rwanda,34.990162,16.20803834470874,13.391745166666666,4.285358346199375,62.38008885714286,0.4152925676497929,13.289362164793372,35.7,17.502538071065988,66.29,16.95030304,68.23559996676747
Zambia,17.124224,25.774771422337945,20.75509733333333,6.6416309806258935,66.51602785714286,0.4795753955348408,15.346412657114907,66.3,5.076142131979697,62.31,13.862787872,66.70174506405844
Burundi,28.069692,19.913765369046367,12.400660833333331,3.968211367461383,61.651471,0.4039680253137752,12.926976810040806,45.6,13.482233502538069,61.49,13.226666656,63.517853705086615
Angola,25.914212,21.06796739382493,20.8653905,6.67692479307688,56.67657028571429,0.3266456358003827,10.452660345612246,59.1,8.0,62.32,13.87054544,60.06809797251405
Madagascar,16.193868,26.272952235412006,33.397676016666665,10.687256058151933,51.16690428571428,0.2410116573538677,7.7123730353237665,78.8,0.0,63.23,14.576484864,59.2490661928877
Mozambique,16.499078,26.10952042440812,4.727668116666666,1.5128537595119893,57.40962271428572,0.3380391024585162,10.81725127867252,60.0,7.63451776649746,60.35,12.34230304,58.41644626909009
Nigeria,56.813564,4.522188893098676,61.5867575,19.707761907305954,74.72599228571428,0.6071787596812229,19.429720309799134,60.7,7.350253807106597,52.82,6.50084848,57.51077339731036
Cameroon,58.351032,3.6989158037486254,17.119519166666667,5.478245996377184,67.998398,0.5026151320385028,16.08368422523209,31.4,19.248730964467008,60.95,12.807757568,57.31733455782491
Niger,51.736746,7.24068946607186,24.34929748333333,7.791774999872291,47.412132,0.1826531127548977,5.844899608156728,22.9,22.7005076142132,59.59,11.752727264,55.330598952314084
Chad,43.42019,11.693983291291428,17.803307933333336,5.697058396240208,50.42434542857143,0.2294704370389085,7.343053985245072,19.6,24.04060913705584,52.57,6.306909088,55.08161389783254
DR Congo,31.912296,17.8561534602269,34.4875488,11.036015340099617,35.66028228571428,0.0,0.0,62.1,6.781725888324871,59.71,11.845818176,47.51971286465139
Central African Republic,28.319962,19.77975246206448,29.90092690833333,9.568296371459258,38.38001542857143,0.0422714497277513,1.352686391288045,54.1,10.030456852791875,44.44,0.0,40.73119207760366
