country,year,death_traffic,norm_traffic,traffic_pts
Micronesia (country),2014.666667,1.333333333,1.0,32.0
Antigua and Barbuda,2014.666667,1.8,0.9884583676762322,31.63066776563943
Maldives,2014.666667,2.4,0.9736191261277015,31.15581203608645
Norway,2014.666667,3.033333333,0.9579554822791632,30.65457543293322
Sweden,2014.666667,3.1,0.9563066776544157,30.601813684941302
Iceland,2014.666667,3.133333333,0.955482275354408,30.575432811341056
Switzerland,2014.666667,3.2,0.9538334707296606,30.52267106334914
United Kingdom,2014.666667,3.266666667,0.9521846661049131,30.46990931535722
Singapore,2014.666667,3.4,0.9488870568801504,30.364385820164813
Malta,2014.666667,3.6,0.9439406430306402,30.206100576980486
Kiribati,2014.666667,3.766666667,0.9398186314811376,30.074196207396405
Ireland,2014.666667,3.833333333,0.9381698268811223,30.021434460195913
Netherlands,2014.666667,3.933333333,0.9356966199563672,29.94229183860375
Denmark,2014.666667,4.066666667,0.9323990107068723,29.836768342619912
Germany,2014.666667,4.333333333,0.9258037922573468,29.625721352235097
Israel,2014.666667,4.333333333,0.9258037922573468,29.625721352235097
Japan,2014.666667,4.366666667,0.924979389932607,29.599340477843423
Spain,2014.666667,4.5,0.9216817807078441,29.493816982651012
Finland,2014.666667,4.733333333,0.9159109645583263,29.309150865866442
Australia,2014.666667,5.533333333,0.8961253091602854,28.676009893129134
Luxembourg,2014.666667,5.7,0.8920032976107829,28.544105523545053
France,2014.666667,5.7,0.8920032976107829,28.544105523545053
Austria,2014.666667,5.8,0.8895300906860277,28.464962901952887
Saint Vincent and the Grenadines,2014.666667,5.833333333,0.88870568838602,28.43858202835264
Estonia,2014.666667,5.9,0.8870568837612727,28.385820280360726
Slovenia,2014.666667,6.1,0.8821104699117625,28.2275350371764
Canada,2014.666667,6.133333333,0.8812860676117548,28.201154163576152
Italy,2014.666667,6.166666667,0.880461665287015,28.17477328918448
North Macedonia,2014.666667,6.866666667,0.8631492168137292,27.620774938039336
Belgium,2014.666667,6.866666667,0.8631492168137292,27.620774938039336
Cyprus,2014.666667,6.9,0.8623248145137216,27.59439406443909
Czechia,2014.666667,6.966666667,0.8606760098889741,27.54163231644717
Slovakia,2014.666667,7.166666667,0.855729596039464,27.383347073262847
Grenada,2014.666667,7.266666667,0.8532563891147088,27.30420445167068
Serbia,2014.666667,7.733333333,0.841714756815673,26.934872218101535
Turkey,2014.666667,7.8,0.8400659521909256,26.88211047010962
Bahrain,2014.666667,7.833333333,0.8392415498909179,26.855729596509374
Brunei,2014.666667,8.033333333,0.8342951360414077,26.697444353325047
Hungary,2014.666667,8.233333333,0.8293487221918975,26.53915911014072
Cuba,2014.666667,8.733333333,0.816982687568122,26.143446002179903
New Zealand,2014.666667,8.866666667,0.813685078318627,26.037922506196065
Portugal,2014.666667,9.233333333,0.8046166529443464,25.747732894219084
Croatia,2014.666667,9.233333333,0.8046166529443464,25.747732894219084
Azerbaijan,2014.666667,9.466666667,0.7988458367700965,25.563066776643087
Bahamas,2014.666667,9.566666667,0.7963726298453413,25.48392415505092
Bulgaria,2014.666667,10.03333333,0.7848309976205018,25.114591923856057
Barbados,2014.666667,10.13333333,0.7823577906957466,25.035449302263892
Greece,2014.666667,10.23333333,0.7798845837709916,24.95630668067173
Poland,2014.666667,10.23333333,0.7798845837709916,24.95630668067173
Lithuania,2014.666667,10.23333333,0.7798845837709916,24.95630668067173
Moldova,2014.666667,10.3,0.7782357790720479,24.903544930305532
Latvia,2014.666667,10.36666667,0.7765869743731042,24.850783179939334
Montenegro,2014.666667,10.6,0.7708161582977826,24.666117065529043
Romania,2014.666667,10.76666667,0.7666941466740839,24.534212693570684
South Korea,2014.666667,10.96666667,0.7617477328245736,24.375927450386357
Fiji,2014.666667,11.33333333,0.7526793075986853,24.08573784315793
Qatar,2014.666667,11.43333333,0.7502061006739302,24.006595221565767
Uzbekistan,2014.666667,11.63333333,0.74525968682442,23.84830997838144
Egypt,2014.666667,11.83333333,0.7403132729749098,23.690024735197113
Philippines,2014.666667,12.0,0.736191261351211,23.558120363238753
United States,2014.666667,12.16666667,0.7320692497275123,23.426215991280394
Samoa,2014.666667,12.43333333,0.7254740314263791,23.21516900564413
Indonesia,2014.666667,12.43333333,0.7254740314263791,23.21516900564413
Ukraine,2014.666667,12.83333333,0.7155812037273587,22.898598519275478
Seychelles,2014.666667,13.06666667,0.7098103874047164,22.713932396950923
Mauritius,2014.666667,13.1,0.7089859851789049,22.687551525724956
Belarus,2014.666667,13.2,0.7065127782541498,22.608408904132794
Chile,2014.666667,13.23333333,0.7056883760283382,22.582028032906823
Jamaica,2014.666667,13.26666667,0.704863973555206,22.555647153766593
East Timor,2014.666667,13.43333333,0.700741962178828,22.423742789722496
Peru,2014.666667,13.56666667,0.6974443527809407,22.318219288990104
Argentina,2014.666667,13.6,0.6966199505551294,22.29183841776414
Mexico,2014.666667,13.63333333,0.6957955483293179,22.265457546538173
Pakistan,2014.666667,13.73333333,0.6933223414045626,22.186314924946004
Panama,2014.666667,13.76666667,0.6924979389314305,22.159934045805777
Trinidad and Tobago,2014.666667,14.2,0.6817807090065986,21.816982688211155
Papua New Guinea,2014.666667,14.6,0.6718878813075781,21.5004122018425
Vanuatu,2014.666667,14.63333333,0.6710634790817667,21.474031330616533
Afghanistan,2014.666667,14.9,0.6644682605333129,21.262984337066012
Bhutan,2014.666667,14.96666667,0.6628194558343692,21.210222586699814
Costa Rica,2014.666667,15.1,0.6595218466838026,21.104699093881685
Georgia,2014.666667,15.13333333,0.6586974444579912,21.078318222655717
Tonga,2014.666667,15.23333333,0.6562242375332361,20.999175601063556
Bosnia and Herzegovina,2014.666667,15.4,0.6521022259095373,20.867271229105192
Suriname,2014.666667,15.4,0.6521022259095373,20.867271229105192
United Arab Emirates,2014.666667,15.46666667,0.6504534212105937,20.814509478738998
Turkmenistan,2014.666667,15.6,0.6471558120600271,20.70898598592087
Uruguay,2014.666667,15.73333333,0.6438582029094605,20.603462493102736
Lebanon,2014.666667,15.73333333,0.6438582029094605,20.603462493102736
Laos,2014.666667,15.8,0.6422093982105168,20.550700742736538
Nicaragua,2014.666667,15.83333333,0.6413849959847053,20.52431987151057
Sri Lanka,2014.666667,15.93333333,0.6389117890599503,20.44517724991841
Bangladesh,2014.666667,16.0,0.6372629843610067,20.392415499552214
Kyrgyzstan,2014.666667,16.06666667,0.635614179662063,20.339653749186017
India,2014.666667,16.13333333,0.6339653752104402,20.286892006734085
Nepal,2014.666667,16.13333333,0.6339653752104402,20.286892006734085
Honduras,2014.666667,16.16666667,0.6331409727373078,20.26051112759385
Colombia,2014.666667,16.53333333,0.6240725475114196,19.970321520365427
Russia,2014.666667,16.66666667,0.6207749381135323,19.864798019633035
Guatemala,2014.666667,16.76666667,0.6183017311887773,19.785655398040873
Solomon Islands,2014.666667,17.06666667,0.6108821104145119,19.54822753326438
Tajikistan,2014.666667,17.6,0.5976916735649249,19.126133554077597
Kuwait,2014.666667,18.1,0.5853256389411493,18.730420446116778
Armenia,2014.666667,18.23333333,0.5820280297905828,18.62489695329865
Oman,2014.666667,18.23333333,0.5820280297905828,18.62489695329865
Cambodia,2014.666667,18.36666667,0.5787304203926955,18.519373452566256
Haiti,2014.666667,18.5,0.575432811242129,18.413849959748127
China,2014.666667,18.66666667,0.5713107996184301,18.281945587789764
Kazakhstan,2014.666667,19.0,0.5630667766183534,18.018136851787308
Bolivia,2014.666667,19.06666667,0.5614179719194097,17.96537510142111
Saint Lucia,2014.666667,19.5,0.5507007419945777,17.622423743826488
Mongolia,2014.666667,19.66666667,0.546578730370879,17.490519371868128
Myanmar,2014.666667,19.73333333,0.5449299259192562,17.437757629416197
Morocco,2014.666667,20.03333333,0.5375103051449908,17.200329764639704
Brazil,2014.666667,20.36666667,0.5292662818975933,16.936521020722985
Belize,2014.666667,20.7,0.5210222588975165,16.67271228472053
Tunisia,2014.666667,21.1,0.511129431198496,16.35614179835187
Syria,2014.666667,21.1,0.511129431198496,16.35614179835187
Jordan,2014.666667,21.13333333,0.5103050289726846,16.329760927125907
El Salvador,2014.666667,21.33333333,0.5053586151231744,16.17147568394158
Algeria,2014.666667,21.46666667,0.5020610057252872,16.06595218320919
Guyana,2014.666667,21.56666667,0.49958779880053195,15.986809561617022
Zambia,2014.666667,21.66666667,0.4971145918757769,15.90766694002486
Nigeria,2014.666667,22.4,0.4789777411766797,15.32728771765375
Libya,2014.666667,22.53333333,0.47568013202611303,15.221764224835617
Ecuador,2014.666667,22.7,0.4715581204024143,15.089859852877257
Iraq,2014.666667,22.9,0.4666117065529042,14.931574609692934
Paraguay,2014.666667,22.96666667,0.4649629018539605,14.878812859326736
Mali,2014.666667,23.36666667,0.45507007415494005,14.562242372958082
