index,pm25,atleast_basicsan,basicw,calorie,avg_life,pswcl_pts,rank_x,cat_a_ptsa,ineq,crime_rate,gov,terror,unem,uhc,cat_b_pts,cat_b_rank,dep_rate,school,equal_rights,lgbt_eindex,sui_rate,cat_c_pts,cat_c_rank,hdi,happiness,freedom,renew,research,cat_d_pts,rank_y,hap_420,res_420,renew_420,freedom_420,hdi_420,abcd_pts_0421,all_rank,press_edit
pm25,1.0,-0.1535444142403013,-0.27659466838965796,0.2025455997132157,-0.515949180234956,-0.5148075784088179,0.5620803700965804,-0.5254932445051111,0.27085385731480305,0.10880478600357435,-0.5057109431212368,0.43484187581478434,-0.03323304781245961,-0.5764095910477979,-0.4692210229197096,0.4837556723094059,-0.5326506045718978,-0.5467017433674809,-0.4756123944308378,-0.5661003620040954,-0.3207622863044453,-0.5342907447892423,0.5338647205708758,-0.6090032123170618,-0.5318694679465594,-0.4974502994282192,-0.22970139979799437,0.04326453617601762,-0.6098697117027956,0.6035474691751296,-0.5318694679465598,0.04326453617601764,-0.22970139979799442,-0.4974502994282192,-0.6090032123170617,-0.5682951855536651,0.5760611698054063,-0.5757155886622233
atleast_basicsan,-0.1535444142403013,1.0,0.5752798763084757,-0.49531641180630664,0.5816580639399986,0.8044041100537718,-0.7805187576190521,0.8069502908537566,-0.5430311737834546,-0.347795080728602,0.26368952958676745,-0.002506146361575865,0.003463436107767989,0.5705465866370166,0.4946501128006471,-0.48977721559752185,0.3464773433660521,0.552577132036889,0.35483616628476206,0.3791313166641044,0.05839957393783585,0.4801378477575509,-0.47635462500605663,0.48435295763853,0.408935471262205,0.16833762597944144,-0.20188265607631725,0.17920964073795687,0.2806965050172093,-0.25681547449076214,0.4089354712622055,0.17920964073795684,-0.2018826560763172,0.1683376259794411,0.4843529576385295,0.7290504116019544,-0.7046756344461,0.153869948690501
basicw,-0.27659466838965796,0.5752798763084757,1.0,-0.6402730127794898,0.7384072153899635,0.8163372748627041,-0.7689584088636096,0.8185966396703791,-0.622703237575394,-0.33897322042846467,0.4590341391763637,-0.06848370701869472,0.08923454418086776,0.7819439464068005,0.6230214927353027,-0.6381638742985559,0.3781275035622936,0.6717626985801697,0.2620524887161284,0.5535260723378465,0.21733173110713022,0.5507832744081651,-0.5673269773454117,0.6141626429597256,0.6023093538545492,0.2367764717990203,-0.3178769127311471,0.1400351185392871,0.34277354731368037,-0.3211909431395885,0.6023093538545496,0.14003511853928713,-0.31787691273114715,0.23677647179902006,0.6141626429597249,0.78410414097324,-0.6873152370629707,0.24196429144840995
calorie,0.2025455997132157,-0.49531641180630664,-0.6402730127794898,1.0,-0.7049034335196258,-0.7657908644925207,0.7415372060837998,-0.7705505275810371,0.7338572313870576,0.4509049553880936,-0.2338009016897102,0.13482107929928006,0.19310691370264177,-0.5929037093566848,-0.6366337859236701,0.620543860346113,-0.31310984915672885,-0.6298183139927908,-0.23177667228688184,-0.27307895744423666,-0.12949318218100367,-0.39821733788837527,0.3967638294215675,-0.43644948373097003,-0.4534829971209948,0.05777380404243399,0.2945138356129425,-0.15953249544918954,-0.1515330310134691,0.11314361726539288,-0.45348299712099505,-0.15953249544918952,0.2945138356129426,0.05777380404243431,-0.4364494837309696,-0.7279793386855906,0.6588626772305923,-0.0763892538780824
avg_life,-0.515949180234956,0.5816580639399986,0.7384072153899635,-0.7049034335196258,1.0,0.8835375553118552,-0.8893591232458553,0.8918323819561447,-0.6816860979333029,-0.5227555282054593,0.6012458159805003,-0.2918427353423823,-0.09946289724327953,0.8927312072937452,0.8333925435359313,-0.8284697205160907,0.49513927592529317,0.8240187545537762,0.5004796712580076,0.6325600613916473,0.19476651366975725,0.7307993423750716,-0.7255560574611938,0.8061495338453605,0.7028591971415497,0.3028370427757695,-0.08469430632381834,0.18513676293755102,0.5637164433636396,-0.5384438696956405,0.7028591971415499,0.18513676293755096,-0.0846943063238184,0.3028370427757691,0.8061495338453599,0.9241781086700067,-0.886960139675991,0.41090460806361184
pswcl_pts,-0.5148075784088179,0.8044041100537718,0.8163372748627041,-0.7657908644925207,0.8835375553118552,1.0,-0.9689222881838727,0.9930000631340383,-0.7248825289208282,-0.43781072638903334,0.492424882403775,-0.21241630180187018,-0.030237934225473984,0.8547616087119707,0.7547588345879503,-0.7556315627228911,0.5456033115091334,0.8169083127367154,0.4668151866029161,0.5930959685266952,0.2178085078198727,0.6707670650227573,-0.6750847988511758,0.7310981098173595,0.6613242286214482,0.2827489316303007,-0.2060201016726963,0.17236923230549064,0.4672661347812709,-0.44354000480386513,0.6613242286214484,0.17236923230549064,-0.20602010167269624,0.2827489316303004,0.7310981098173589,0.9547166480113484,-0.8988857099660067,0.3474633838400194
rank_x,0.5620803700965804,-0.7805187576190521,-0.7689584088636096,0.7415372060837998,-0.8893591232458553,-0.9689222881838727,1.0,-0.9802724779698235,0.7356636214990887,0.4664531909038436,-0.571496224860046,0.22340813064140638,0.07559970012010093,-0.8624182724546857,-0.803204041536515,0.8078208534616367,-0.5398252431132778,-0.8498066232437136,-0.5459129444581191,-0.6439676920039679,-0.2811075787398092,-0.7402620732369362,0.7332426637531928,-0.8154000543472657,-0.7163509118466832,-0.36403318138872914,0.12485111019580437,-0.16500257681350125,-0.5718065304138511,0.5351230012120743,-0.7163509118466834,-0.16500257681350122,0.12485111019580437,-0.36403318138872887,-0.8154000543472651,-0.9744292634578406,0.9584898108805726,-0.453101500385274
cat_a_ptsa,-0.5254932445051111,0.8069502908537566,0.8185966396703791,-0.7705505275810371,0.8918323819561447,0.9930000631340383,-0.9802724779698235,1.0,-0.7349545462395801,-0.4531349373016636,0.5076578467339877,-0.21502015507889533,-0.03677400417541764,0.8644065442841511,0.7709364820733005,-0.7710324641834908,0.5305397862129675,0.8216894384246533,0.475852296111006,0.6065610772498037,0.22110433719639314,0.6886996621392787,-0.6892167901360106,0.7467098241059216,0.6777555306633447,0.29098024035088305,-0.18049057946342043,0.16700660309711757,0.48930505311644157,-0.45906392449455335,0.6777555306633453,0.16700660309711762,-0.18049057946342045,0.2909802403508827,0.746709824105921,0.967141552865509,-0.9144651263886809,0.35922385679037067
ineq,0.27085385731480305,-0.5430311737834546,-0.622703237575394,0.7338572313870576,-0.6816860979333029,-0.7248825289208282,0.7356636214990887,-0.7349545462395801,1.0,0.6053942569704108,-0.31657448011814365,0.08254678248410532,0.2860832654790268,-0.6237525638414366,-0.8049139244436391,0.7991526901804499,-0.39271048839177397,-0.7335592566259734,-0.387014799368552,-0.3263407440568187,-0.19495581354260716,-0.5047229922701855,0.49880746288778854,-0.5708182601499265,-0.5534333136430433,-0.07731988719485479,0.3149497261032482,-0.032191860223280036,-0.2394147916893278,0.19844106870847486,-0.5534333136430436,-0.03219186022327999,0.31494972610324823,-0.07731988719485451,-0.5708182601499261,-0.7691343376537678,0.7437993226764397,-0.20463263831775635
crime_rate,0.10880478600357435,-0.347795080728602,-0.33897322042846467,0.4509049553880936,-0.5227555282054593,-0.43781072638903334,0.4664531909038436,-0.4531349373016636,0.6053942569704108,1.0,-0.28164940331338173,0.10667450158289865,0.23717574874508324,-0.41311762418220827,-0.7133609366096716,0.7089465876202612,-0.22449644799446974,-0.5465602924217606,-0.35316029813075944,-0.19367102315807705,-0.2438398280682131,-0.3841723850654176,0.38027135943232954,-0.44549729917001324,-0.3070340168942078,0.037637437411732415,0.12952719887747552,-0.13616527584104457,-0.1901900561264082,0.15785182097135578,-0.3070340168942079,-0.1361652758410446,0.12952719887747555,0.03763743741173271,-0.44549729917001285,-0.5454923042931028,0.562845778027733,-0.13347868213317635
gov,-0.5057109431212368,0.26368952958676745,0.4590341391763637,-0.2338009016897102,0.6012458159805003,0.492424882403775,-0.571496224860046,0.5076578467339877,-0.31657448011814365,-0.28164940331338173,1.0,-0.2671945289904741,-0.057005985717130364,0.5767887198865002,0.6778408121661654,-0.6718231899655479,0.33898621867702966,0.6105352111856349,0.5917230112760671,0.700262538687043,0.33272074606875535,0.748847965655872,-0.7480977803043903,0.820363794621303,0.6265854238893565,0.6761256384597825,0.1474434650711421,0.07619350850270863,0.7597940254809034,-0.7492386373095775,0.6265854238893568,0.07619350850270869,0.14744346507114195,0.6761256384597822,0.8203637946213033,0.6476047315010109,-0.6839492576977342,0.7283736084629823
terror,0.43484187581478434,-0.002506146361575865,-0.06848370701869472,0.13482107929928006,-0.2918427353423823,-0.21241630180187018,0.22340813064140638,-0.21502015507889533,0.08254678248410532,0.10667450158289865,-0.2671945289904741,1.0,0.07983100367045295,-0.3052350191202349,-0.3559344073968068,0.3240121705681002,-0.31890196942728327,-0.3303322829093096,-0.2654380015221456,-0.20736541578382514,-0.15633974168529405,-0.24478201402235042,0.25631659886934843,-0.2539784872265939,-0.21356746537512292,-0.10487494202110134,-0.15501848228536946,0.03001865616370166,-0.23783911800241664,0.25352131736396966,-0.213567465375123,0.030018656163701692,-0.15501848228536952,-0.10487494202110118,-0.25397848722659383,-0.28036008529406126,0.2719765878506124,-0.28204839428046097
unem,-0.03323304781245961,0.003463436107767989,0.08923454418086776,0.19310691370264177,-0.09946289724327953,-0.030237934225473984,0.07559970012010093,-0.03677400417541764,0.2860832654790268,0.23717574874508324,-0.057005985717130364,0.07983100367045295,1.0,-0.06205639663973643,-0.4233022158006188,0.3969233942754338,0.02268266961616337,-0.28714778200260443,0.06956904451925028,0.05559530214547767,-0.05647911017871151,-0.057066960230192816,0.04695458789578925,-0.08972816008602505,-0.30849853493430535,0.09307349935017419,0.014129155681697338,-0.10657337371453904,-0.08762916009502203,0.09192788792637499,-0.3084985349343053,-0.10657337371453912,0.014129155681697264,0.0930734993501743,-0.08972816008602491,-0.1543650385725483,0.2011809696026402,0.06584676419874401
uhc,-0.5764095910477979,0.5705465866370166,0.7819439464068005,-0.5929037093566848,0.8927312072937452,0.8547616087119707,-0.8624182724546857,0.8644065442841511,-0.6237525638414366,-0.41311762418220827,0.5767887198865002,-0.3052350191202349,-0.06205639663973643,1.0,0.8038688584944681,-0.8190292829027288,0.5720382990836421,0.8448427345177456,0.46838977417367816,0.6711869787148049,0.36327283932800647,0.6953857941608703,-0.6932983530122453,0.7905772276897424,0.7613648114180499,0.31900757740208546,-0.11602288008953433,0.24196439468280073,0.5759656568537418,-0.5536874454919825,0.7613648114180499,0.24196439468280076,-0.11602288008953433,0.31900757740208513,0.7905772276897421,0.895391911829524,-0.8578161397788385,0.42829998128063235
cat_b_pts,-0.4692210229197096,0.4946501128006471,0.6230214927353027,-0.6366337859236701,0.8333925435359313,0.7547588345879503,-0.803204041536515,0.7709364820733005,-0.8049139244436391,-0.7133609366096716,0.6778408121661654,-0.3559344073968068,-0.4233022158006188,0.8038688584944681,1.0,-0.989852973702423,0.4733464870062416,0.8919883688566969,0.5343349548247064,0.5617870444532322,0.35757859103776257,0.7166625048204778,-0.7120651847267361,0.8098387436384343,0.7477468537069958,0.29793502252388393,-0.10134396896346162,0.15928266449942421,0.5624774872766868,-0.5351236156568812,0.747746853706996,0.15928266449942416,-0.10134396896346168,0.29793502252388365,0.8098387436384343,0.8911821159733024,-0.8982521605869749,0.454800248524804
cat_b_rank,0.4837556723094059,-0.48977721559752185,-0.6381638742985559,0.620543860346113,-0.8284697205160907,-0.7556315627228911,0.8078208534616367,-0.7710324641834908,0.7991526901804499,0.7089465876202612,-0.6718231899655479,0.3240121705681002,0.3969233942754338,-0.8190292829027288,-0.989852973702423,1.0,-0.49015476661004415,-0.9021619882053827,-0.5565100785669422,-0.5820829705799052,-0.40542713089487636,-0.7292097368121617,0.7253067844431258,-0.8263629128764892,-0.7717488210262444,-0.30835677183428173,0.11508129990948467,-0.16429428642386656,-0.5731403546064684,0.546710833985517,-0.7717488210262449,-0.16429428642386656,0.1150812999094847,-0.3083567718342815,-0.826362912876489,-0.8904230727478326,0.9045752081813022,-0.4652762645998316
dep_rate,-0.5326506045718978,0.3464773433660521,0.3781275035622936,-0.31310984915672885,0.49513927592529317,0.5456033115091334,-0.5398252431132778,0.5305397862129675,-0.39271048839177397,-0.22449644799446974,0.33898621867702966,-0.31890196942728327,0.02268266961616337,0.5720382990836421,0.4733464870062416,-0.49015476661004415,1.0,0.549742879278019,0.4686829130604312,0.4622378335141351,0.3721012602971115,0.31461552906376095,-0.32690801963617533,0.5350134245443605,0.4370951463927556,0.2933780043437777,-0.027826935931253398,0.12669115353363086,0.4125640322193771,-0.413424054926034,0.43709514639275565,0.12669115353363086,-0.02782693593125336,0.29337800434377737,0.5350134245443606,0.5365501326363709,-0.5383164528934942,0.46373096195057056
school,-0.5467017433674809,0.552577132036889,0.6717626985801697,-0.6298183139927908,0.8240187545537762,0.8169083127367154,-0.8498066232437136,0.8216894384246533,-0.7335592566259734,-0.5465602924217606,0.6105352111856349,-0.3303322829093096,-0.28714778200260443,0.8448427345177456,0.8919883688566969,-0.9021619882053827,0.549742879278019,1.0,0.5667452747536346,0.6525811096138163,0.4680969089299618,0.7849895256779409,-0.786926392676587,0.8153764038688078,0.7712035924299173,0.30085158481731106,-0.09183655303772062,0.20768247675023607,0.5841987959781685,-0.5675282143831701,0.7712035924299179,0.207682476750236,-0.09183655303772062,0.30085158481731067,0.8153764038688074,0.9022181867652279,-0.9024865182219847,0.4236980315826152
equal_rights,-0.4756123944308378,0.35483616628476206,0.2620524887161284,-0.23177667228688184,0.5004796712580076,0.4668151866029161,-0.5459129444581191,0.475852296111006,-0.387014799368552,-0.35316029813075944,0.5917230112760671,-0.2654380015221456,0.06956904451925028,0.46838977417367816,0.5343349548247064,-0.5565100785669422,0.4686829130604312,0.5667452747536346,1.0,0.507980227318786,0.3535821658158366,0.7603117396417295,-0.7478143543966616,0.743414476823677,0.4509482235058743,0.6028194700803,0.023084601663622178,-0.03986625271155733,0.5902625297942903,-0.5813680571821601,0.4509482235058744,-0.039866252711557325,0.023084601663622185,0.6028194700802999,0.7434144768236769,0.5762294254639955,-0.6315251036750489,0.695577144099882
lgbt_eindex,-0.5661003620040954,0.3791313166641044,0.5535260723378465,-0.27307895744423666,0.6325600613916473,0.5930959685266952,-0.6439676920039679,0.6065610772498037,-0.3263407440568187,-0.19367102315807705,0.700262538687043,-0.20736541578382514,0.05559530214547767,0.6711869787148049,0.5617870444532322,-0.5820829705799052,0.4622378335141351,0.6525811096138163,0.507980227318786,1.0,0.3507636044511182,0.8532353644148083,-0.859216190335763,0.74374301305913,0.6994609889102018,0.5568447899227779,0.2017945099353761,0.13050399555564787,0.7405036268631343,-0.7363262899501862,0.6994609889102021,0.13050399555564787,0.20179450993537576,0.556844789922778,0.7437430130591302,0.6883682366467638,-0.7012670078388493,0.5725165771932772
