level_0,index,pm25,pol_log32_n,atleast_basicsan,basicw,calorie,avg_life_x,pswcl_pts,rank_x,cat_a_ptsa,ineq_x,crime_rate_x,gov_x,norm_gov,terror,norm_terror,unem_x,norm_unemploy,uhc,cat_b_pts,cat_b_rank,dep_rate,school,equal_rights,lgbt_eindex,sui_rate,norm_sui_420,sui_log8_420,cat_c_pts,cat_c_rank,hdi,happiness_x,freedom,renew_x,research,cat_d_pts,rank_y,hap_420,res_420,renew_420,freedom_420,hdi_420,abcd_pts_0421,rank,all_rank,elect_dem_i,free_press,urb_pop,year_y,trust_sci,gdp,access_electricity,maternal_mortality,pct_slums,homicide_rate,under_5yo_deaths,trust_nat_gov
0,pm25,1.0,-1.0,-0.4715538078574263,-0.4735019300840579,0.46700818932861937,-0.49990980915617445,-0.47523359428550815,0.48764385439590174,-0.47530574696056854,0.47508928893538727,0.4865615642699953,-0.9988455571990331,-0.9989177098740936,0.9971138929975829,-0.9971138929975829,0.5159998556946499,-0.5159998556946499,-0.5048161910602835,-0.5516432771745012,0.5533749413759516,-0.6838269778852051,-0.5311519174573397,-0.9994227785995166,-0.9892492514159963,-0.9697680291496807,0.9697680291496807,0.9698401818247412,-0.9442981348533497,0.942999386702262,-0.9396803636494823,-0.7869331505465565,-0.9906201522421444,0.42833435549623,-0.4579891049460659,-0.9916302896929904,0.9909809156174465,-0.787005303221617,-0.4580612576211263,0.42840650817129045,-0.9906923049172048,-0.9396082109744219,-0.5165770770951333,0.5535913994011328,0.5535913994011328,-0.995959450196616,0.9916302896929904,-0.490890724773621,,-0.5266062989285327,-0.763411378476857,-0.4710487391320033,0.4751614416104477,0.4826653198167322,0.5115985425159638,0.476893105811898,-0.8115372127421624
1,pol_log32_n,-1.0,1.0,0.4715538078574263,0.4735019300840579,-0.46700818932861937,0.49990980915617445,0.47523359428550815,-0.48764385439590174,0.47530574696056854,-0.47508928893538727,-0.4865615642699953,0.9988455571990331,0.9989177098740936,-0.9971138929975829,0.9971138929975829,-0.5159998556946499,0.5159998556946499,0.5048161910602835,0.5516432771745012,-0.5533749413759516,0.6838269778852051,0.5311519174573397,0.9994227785995166,0.9892492514159963,0.9697680291496807,-0.9697680291496807,-0.9698401818247412,0.9442981348533497,-0.942999386702262,0.9396803636494823,0.7869331505465565,0.9906201522421444,-0.42833435549623,0.4579891049460659,0.9916302896929904,-0.9909809156174465,0.787005303221617,0.4580612576211263,-0.42840650817129045,0.9906923049172048,0.9396082109744219,0.5165770770951333,-0.5535913994011328,-0.5535913994011328,0.995959450196616,-0.9916302896929904,0.490890724773621,,0.5266062989285327,0.763411378476857,0.4710487391320033,-0.4751614416104477,-0.4826653198167322,-0.5115985425159638,-0.476893105811898,0.8115372127421624
2,atleast_basicsan,-0.4715538078574263,0.4715538078574263,1.0,0.9995670839496374,-0.9986290991738519,0.977921281431509,0.9978354197481871,-0.9875897398896064,0.9977632670731268,-0.996464518922039,-0.9861466863883979,0.4740069988094809,0.47393484613442044,-0.47429560950972255,0.47429560950972255,-0.9427829286770807,0.9427829286770807,0.9754680904794545,0.9372993253724882,-0.9354233558209171,0.8147119304448213,0.9545438147119304,0.471842418557668,0.48966412929759373,0.5068364659619755,-0.5068364659619755,-0.506908618637036,0.5324506656084275,-0.5334608030592735,0.5375735055377178,0.7134817273350409,0.46231826544969157,-0.9587286698654353,0.9873011291893647,0.4626790288249937,-0.4621018074245103,0.7134095746599806,0.9873732818644251,-0.9588008225404957,0.46239041812475196,0.5376456582127782,0.9670983801724449,-0.9367221039720047,-0.9367221039720047,0.4663588152530755,-0.4624625707998124,0.9886720300155128,,0.9582957538150727,0.7328186442512357,0.9996392366246979,-0.9976911143980663,-0.9920632057433529,-0.9661603953966593,-0.9965366715970995,0.673869908726866
3,basicw,-0.4735019300840579,0.4735019300840579,0.9995670839496374,1.0,-0.9979075724232476,0.9788592662072947,0.9980518777733685,-0.9877340452397273,0.997979725098308,-0.996464518922039,-0.9862909917385188,0.4759551210361124,0.475882968361052,-0.47624373173635415,0.47624373173635415,-0.944514592878531,0.944514592878531,0.9765503806053609,0.9401854323749053,-0.9383094628233342,0.8185360222230239,0.9569248529889246,0.47379054078429955,0.4916122515242253,0.5087845881886071,-0.5087845881886071,-0.5088567408636675,0.534398787835059,-0.535408925285905,0.5398102384645911,0.7170172084130019,0.4642663876763231,-0.9567805476388037,0.9853530069627331,0.4646271510516252,-0.46404992965114183,0.7169450557379415,0.9854251596377935,-0.9568527003138642,0.46433854035138356,0.5398823911396515,0.9689021970489556,-0.9396803636494823,-0.9396803636494823,0.4683069374797071,-0.46441069302644394,0.989032793390815,,0.9604603340668856,0.7363541253291965,0.9996392366246979,-0.9981240304484289,-0.9922796637685343,-0.967459143547747,-0.9967531296222808,0.6771889317796457
4,calorie,0.46700818932861937,-0.46700818932861937,-0.9986290991738519,-0.9979075724232476,1.0,-0.9752516324542733,-0.9963923662469786,0.9863631444135791,-0.9963202135719181,0.9962480608968578,0.9865796024387604,-0.4696778383058552,-0.46960568563079474,0.4704715177315199,-0.4704715177315199,0.9411234171506908,-0.9411234171506908,-0.9716439987012518,-0.9316714167177748,0.9297954471662037,-0.806919441538295,-0.9494931274577005,-0.4671524946787402,-0.48497420541866587,-0.5031566795338938,0.5031566795338938,0.5032288322089542,-0.5281936577798622,0.5292037952307082,-0.533388650384213,-0.7064829178541795,-0.45791695227100543,0.9627692196688192,-0.9918467477181716,-0.45820556297124715,0.45770049424582415,-0.706410765179119,-0.991918900393232,0.9628413723438797,-0.4579891049460659,-0.5334608030592735,-0.9628413723438797,0.9303005158916267,0.9303005158916267,-0.4616688913741477,0.4580612576211263,-0.9860745337133374,,-0.9533172192359032,-0.7256033767451928,-0.9985569464987915,0.9963202135719181,0.9907644575922653,0.9637072044446048,0.9948771600707096,-0.6677369313467297
5,avg_life_x,-0.49990980915617445,0.49990980915617445,0.977921281431509,0.9788592662072947,-0.9752516324542733,1.0,0.984487174862008,-0.9968252822973411,0.9845593275370684,-0.9845593275370684,-0.9935784119196219,0.502868068833652,0.5027959161585915,-0.5036617482593168,0.5036617482593168,-0.9658717846964177,0.9658717846964177,0.9984126411486706,0.9733035102276417,-0.9713553880010102,0.856488329304809,0.9821782892600743,0.5000541145062953,0.517875825246221,0.5369962841372344,-0.5369962841372344,-0.5370684368122948,0.5624661784335654,-0.5636927739095927,0.5685991558137018,0.7634835311519175,0.49103503012374183,-0.9314549586925935,0.9620476929182149,0.4911071827988023,-0.4906021140733793,0.763411378476857,0.9621198455932753,-0.931527111367654,0.4911071827988023,0.5686713084887622,0.9953822287961326,-0.9718604567264332,-0.9718604567264332,0.4945705112017028,-0.4909628774486814,0.9926404271438364,,0.9834048847361015,0.7822432266676287,0.9778491287564487,-0.9844150221869475,-0.9932898012193803,-0.9915581370179299,-0.9867960604639417,0.7193260940149356
6,pswcl_pts,-0.47523359428550815,0.47523359428550815,0.9978354197481871,0.9980518777733685,-0.9963923662469786,0.984487174862008,1.0,-0.9914859843428695,0.9999278473249396,-0.9985569464987915,-0.9893935567661171,0.47790324326274397,0.4778310905876835,-0.4786969226884087,0.4786969226884087,-0.9474728525560085,0.9474728525560085,0.980446625058624,0.944009524153108,-0.9417006385511743,0.8216385872506223,0.9595945019661604,0.475377899635629,0.49319961037555465,0.5113820844907825,-0.5113820844907825,-0.5114542371658429,0.536419062736751,-0.537429200187597,0.5419026660413435,0.7201197734406003,0.4662866625780151,-0.9546159673869908,0.9836213427612829,0.46643096792813593,-0.46592589920271293,0.7200476207655399,0.9836934954363433,-0.9546881200620513,0.4663588152530755,0.541974818716404,0.972509830801977,-0.9427829286770807,-0.9427829286770807,0.46989429633103647,-0.4662866625780151,0.9914859843428695,,0.9627692196688192,0.7390237743064324,0.9977632670731268,-0.9999278473249396,-0.9967531296222808,-0.9705617085753454,-0.9993506259244561,0.6800750387820629
7,rank_x,0.48764385439590174,-0.48764385439590174,-0.9875897398896064,-0.9877340452397273,0.9863631444135791,-0.9968252822973411,-0.9914859843428695,1.0,-0.9915581370179299,0.9913416789927486,0.9956708394963744,-0.49052996139831884,-0.4904578087232584,0.49132364082398355,-0.49132364082398355,0.9556982575128973,-0.9556982575128973,-0.9945163966954075,-0.9594501966160396,0.957502074389408,-0.8376564811140373,-0.9714275406760705,-0.4877881597460226,-0.5056098704859483,-0.5242252606515386,0.5242252606515386,0.5242974133265991,-0.549406544247628,0.5504888343735344,-0.5549623002272809,-0.7422706446841517,-0.4787690753634691,0.9442259821782892,-0.9745301057036689,-0.4788412280385295,0.4783361593131065,-0.7421984920090913,-0.9746022583787294,0.9442981348533497,-0.4788412280385295,-0.5550344529023413,-0.9882391139651503,0.9582957538150727,0.9582957538150727,-0.48230455644143005,0.4786969226884087,-0.996969587647462,,-0.9733756629027022,-0.7611024928749234,-0.9873732818644251,0.9913416789927486,0.9977632670731268,0.9840542588116454,0.9930011905191385,-0.6966701540459612
8,cat_a_ptsa,-0.47530574696056854,0.47530574696056854,0.9977632670731268,0.997979725098308,-0.9963202135719181,0.9845593275370684,0.9999278473249396,-0.9915581370179299,1.0,-0.9986290991738519,-0.9894657094411775,0.4779753959378044,0.47790324326274397,-0.4787690753634691,0.4787690753634691,-0.947545005231069,0.947545005231069,0.9805187777336845,0.9440816768281685,-0.9417727912262347,0.8217107399256828,0.9596666546412208,0.47545005231068943,0.4932717630506151,0.5114542371658429,-0.5114542371658429,-0.5115263898409034,0.5364912154118114,-0.5375013528626574,0.541974818716404,0.7201919261156607,0.4663588152530755,-0.9545438147119304,0.9835491900862224,0.4665031206031964,-0.4659980518777734,0.7201197734406003,0.9836213427612829,-0.9546159673869908,0.46643096792813593,0.5420469713914643,0.9725819834770374,-0.9428550813521411,-0.9428550813521411,0.4699664490060969,-0.4663588152530755,0.9915581370179299,,0.9628413723438797,0.7390959269814928,0.9976911143980663,-0.9998556946498791,-0.9968252822973411,-0.9706338612504058,-0.9994227785995166,0.6801471914571233
9,ineq_x,0.47508928893538727,-0.47508928893538727,-0.996464518922039,-0.996464518922039,0.9962480608968578,-0.9845593275370684,-0.9985569464987915,0.9913416789927486,-0.9986290991738519,1.0,0.9924961217937155,-0.4778310905876835,-0.4777589379126231,0.47862477001334824,-0.47862477001334824,0.9506475702586673,-0.9506475702586673,-0.9803023197085032,-0.945019661603954,0.9427107760020202,-0.8214942819005014,-0.9603881813918251,-0.47523359428550815,-0.4930553050254338,-0.511309931815722,0.511309931815722,0.5113820844907825,-0.5363469100616906,0.5373570475125365,-0.5418305133662831,-0.7201197734406003,-0.4659980518777734,0.9546881200620513,-0.984487174862008,-0.4662866625780151,0.4657815938525921,-0.7200476207655399,-0.9845593275370684,0.9547602727371117,-0.4660702045528338,-0.5419026660413435,-0.972509830801977,0.9427829286770807,0.9427829286770807,-0.46974999098091563,0.4661423572278942,-0.9897543201414193,,-0.9637072044446048,-0.739456690356795,-0.9962480608968578,0.9984126411486706,0.9956708394963744,0.9736642736029438,0.9981961831234893,-0.6813737869331505
