country_c_x,gdp,country,year_x,access_electricity,norm_access_electricity,norm_with_pts,norm_pts_log5,country_c_y,renew,year_y,happiness,norm_hap,happiness_log4_n,country_c
Japan,44819.3024,Japan,2017,100.0,1.0,5.0,32.0,Japan,19.4724824,2022.0,6.063,0.7031954046710004,2.8127816186840016,Japan
Estonia,43512.4084,Estonia,2017,100.0,1.0,5.0,32.0,Estonia,32.931766800000005,2022.0,6.37,0.7559935335190725,3.02397413407629,Estonia
Poland,41457.7104,Poland,2017,100.0,1.0,5.0,32.0,Poland,16.899269800000003,2022.0,6.332800000000001,0.7495958449420426,2.9983833797681703,Poland
Portugal,39870.7054,Portugal,2017,100.0,1.0,5.0,32.0,Portugal,57.1628132,2022.0,5.9912,0.6908471777938292,2.763388711175317,Portugal
Hungary,38678.7592,Hungary,2017,100.0,1.0,5.0,32.0,Hungary,16.3685814,2022.0,6.0102,0.694114814432635,2.77645925773054,Hungary
Oman,38650.0638,Oman,2017,100.0,1.0,5.0,32.0,Oman,0.3812798944,2024.0,6.197,0.7262408420183674,2.904963368073469,Oman
Russia,38280.1796,Russia,2017,99.50909091,0.9947966853054538,4.973983426527269,31.833493929774523,Russia,18.2785176,2022.0,5.6654,0.6348158084820967,2.539263233928387,Russia
Romania,38247.4614,Romania,2017,99.27272727272728,0.9922913856234342,4.961456928117171,31.75332433994989,Romania,43.0932928,2022.0,6.452,0.7700959653286554,3.0803838613146217,Romania
Slovakia,37999.9678,Slovakia,2017,100.0,1.0,5.0,32.0,Slovakia,22.8233166,2022.0,6.3338,0.749767825817769,2.999071303271076,Slovakia
Croatia,37092.4576,Croatia,2017,100.0,1.0,5.0,32.0,Croatia,67.2988508,2022.0,5.9888,0.6904344236920853,2.761737694768341,Croatia
Latvia,35186.69,Latvia,2017,100.0,1.0,5.0,32.0,Latvia,60.88925959999999,2022.0,6.1732,0.722147697176074,2.888590788704296,Latvia
Greece,34103.5078,Greece,2017,100.0,1.0,5.0,32.0,Greece,37.0949802,2022.0,5.8624,0.6686960410002407,2.674784164000963,Greece
Kazakhstan,33293.0206,Kazakhstan,2017,100.0,1.0,5.0,32.0,Kazakhstan,10.861779,2022.0,6.2192,0.7300588174594983,2.920235269837993,Kazakhstan
Panama,32135.0394,Panama,2017,92.74545454545456,0.9231065715937562,4.615532857968781,29.5394102910002,Panama,72.5572236,2022.0,6.3038,0.7446083995459702,2.978433598183881,Panama
Trinidad and Tobago,31874.5592,Trinidad and Tobago,2017,100.0,1.0,5.0,32.0,Trinidad and Tobago,0.1078824707999999,2024.0,5.905,0.6760224263061947,2.7040897052247788,Trinidad and Tobago
Malaysia,31043.052600000003,Malaysia,2017,99.9,0.9989400655232222,4.994700327616111,31.96608209674311,Malaysia,17.9441962,2022.0,5.8074,0.6592370928352765,2.636948371341106,Malaysia
Bulgaria,29970.631200000003,Bulgaria,2017,97.75454545454544,0.9761996531123528,4.8809982655617645,31.238388899595293,Bulgaria,19.3598874,2022.0,5.424,0.5932996250816909,2.3731985003267635,Bulgaria
Uruguay,29864.0782,Uruguay,2017,99.8,0.9978801310464444,4.989400655232222,31.93216419348622,Uruguay,93.0829728,2022.0,6.5342,0.7842327933133836,3.1369311732535343,Uruguay
Chile,28522.2934,Chile,2017,99.90909091,0.999036423212565,4.995182116062825,31.96916554280208,Chile,44.794945600000005,2022.0,6.2798,0.7404808585285316,2.9619234341141265,Chile
Belarus,27079.4652,Belarus,2017,98.36363636363636,0.9826556176527268,4.913278088263635,31.44497976488726,Belarus,2.9571513,2020.5,5.6775,0.6368967770783889,2.5475871083135555,Belarus
Argentina,26307.9726,Argentina,2017,99.8181818181818,0.9980728464058584,4.990364232029291,31.938331084987468,Argentina,25.430562,2022.0,6.101,0.709730677948612,2.838922711794448,Argentina
Montenegro,25127.511,Montenegro,2017,99.59090909,0.995663904403546,4.978319522017729,31.86124494091347,Montenegro,56.533411,2022.0,5.6868,0.6384961992226463,2.5539847968905853,Montenegro
Mauritius,24378.678,Mauritius,2017,99.64545454545454,0.996242050491424,4.981210252457121,31.87974561572557,Mauritius,21.4200958,2022.0,5.934,0.6810098717022667,2.7240394868090667,Mauritius
Costa Rica,24338.0456,Costa Rica,2017,99.66363636363636,0.9964347658508382,4.982173829254191,31.885912507226823,Costa Rica,99.511202,2022.0,6.897799999999999,0.846765039727582,3.387060158910328,Costa Rica
