country,year,school,norm_school,school_log8_n
Singapore,2018.3333333333333,12.883721,1.0,8.0
Japan,2018.3333333333333,12.106581,0.9269105135982428,7.415284108785943
South Korea,2018.3333333333333,12.057239000000001,0.9222699321868685,7.378159457494948
Hong Kong,2018.3333333333333,12.000000333333332,0.9168866746670031,7.335093397336025
Finland,2018.3333333333333,11.945445999999999,0.9117558768643889,7.294047014915111
Ireland,2018.3333333333333,11.784788333333333,0.8966461330046323,7.173169064037058
Canada,2018.3333333333333,11.749544666666665,0.8933314902175135,7.146651921740108
Netherlands,2018.3333333333333,11.669952,0.8858458542600118,7.086766834080095
Sweden,2018.3333333333333,11.653310666666668,0.8842807482220088,7.07424598577607
Estonia,2018.3333333333333,11.590773166666665,0.878399139044962,7.027193112359696
Slovenia,2018.3333333333333,11.531996333333334,0.872871218000292,6.982969744002336
Russia,2018.3333333333333,11.524789333333333,0.872193404570926,6.977547236567408
United Kingdom,2018.3333333333333,11.491760999999999,0.8690871123712716,6.9526968989701725
Portugal,2018.3333333333333,11.444579666666668,0.8646497401846858,6.917197921477486
Poland,2018.3333333333333,11.410675666666668,0.8614610921328996,6.8916887370631965
Australia,2018.3333333333333,11.393908333333334,0.8598841358809238,6.879073087047391
Czechia,2018.3333333333333,11.367434666666668,0.857394305606021,6.859154444848168
Germany,2018.3333333333333,11.346022666666665,0.8553805216252265,6.843044173001812
New Zealand,2018.3333333333333,11.324592666666668,0.8533650447567221,6.826920358053777
Denmark,2018.3333333333333,11.297682666666667,0.8508341776297291,6.806673421037833
Austria,2018.3333333333333,11.283931,0.8495408427687842,6.796326742150273
Latvia,2018.3333333333333,11.268725333333334,0.8481107602005686,6.784886081604549
France,2018.3333333333333,11.247191166666667,0.8460854865281846,6.768683892225477
Norway,2018.3333333333333,11.227795333333333,0.8442613216458372,6.754090573166698
Macao,2018.3333333333333,11.215466666666666,0.843101818963328,6.744814551706624
Belgium,2018.3333333333333,11.187880666666667,0.8405073744978794,6.724058995983035
Lithuania,2018.3333333333333,11.170959666666667,0.8389159660008207,6.711327728006566
Switzerland,2018.3333333333333,11.058734000000001,0.8283612186737479,6.626889749389983
Israel,2018.3333333333333,10.917979,0.8151233070252941,6.520986456202353
Cyprus,2018.3333333333333,10.901393333333333,0.813563436399284,6.508507491194272
Italy,2018.3333333333333,10.834244333333332,0.8072481187957742,6.4579849503661935
United States,2018.3333333333333,10.825505,0.8064261904626205,6.451409523700964
Kazakhstan,2018.3333333333333,10.798302999999999,0.8038678609349927,6.430942887479942
Belarus,2020.0,10.784273,0.802548349014082,6.420386792112656
Serbia,2018.3333333333333,10.704317333333334,0.7950285731544212,6.36022858523537
Iceland,2018.3333333333333,10.691128333333333,0.7937881567093112,6.35030525367449
Croatia,2018.3333333333333,10.668617,0.7916709811790952,6.333367849432761
Spain,2018.3333333333333,10.652553666666668,0.7901602356464582,6.321281885171666
Hungary,2018.3333333333333,10.5679995,0.7822079740014583,6.257663792011666
Vietnam,2018.3333333333333,10.511194666666666,0.77686551821039,6.21492414568312
Malta,2018.3333333333333,10.155582666666666,0.7434204524071862,5.94736361925749
Slovakia,2018.3333333333333,10.093926333333334,0.7376217163535167,5.900973730828134
Ukraine,2018.3333333333333,10.065183,0.7349184254782459,5.879347403825967
Greece,2018.3333333333333,9.935779333333334,0.7227480989795833,5.781984791836666
Luxembourg,2018.3333333333333,9.878471,0.7173582893572833,5.738866314858266
Seychelles,2018.3333333333333,9.838298666666667,0.7135801088352494,5.708640870681995
United Arab Emirates,2018.3333333333333,9.617687,0.6928317322095419,5.542653857676335
Bulgaria,2018.3333333333333,9.592576333333334,0.6904700911540405,5.523760729232324
Chile,2018.3333333333333,9.555414,0.6869749990769061,5.4957999926152485
Bahrain,2018.3333333333333,9.46856,0.6788064396771347,5.430451517417078
Mauritius,2018.3333333333333,9.437786666666668,0.675912228687862,5.407297829502896
China,2018.3333333333333,9.370473,0.6695814242967797,5.3566513943742375
Mongolia,2018.3333333333333,9.265464666666666,0.6597054622420174,5.277643697936139
Brunei,2020.0,9.218924,0.6553283443180115,5.242626754544092
Uzbekistan,2020.0,9.133364,0.6472814847347519,5.178251877878015
Trinidad and Tobago,2018.3333333333333,9.120538666666667,0.6460752708913458,5.168602167130766
Malaysia,2018.3333333333333,9.111733333333333,0.645247135303254,5.161977082426032
Turkey,2018.3333333333333,8.997456999999999,0.6344995241762892,5.0759961934103135
Albania,2018.3333333333333,8.908138,0.6260991332095155,5.008793065676124
Azerbaijan,2018.3333333333333,8.801667333333333,0.6160856397031725,4.92868511762538
Ecuador,2018.3333333333333,8.770248333333333,0.6131307042047337,4.90504563363787
Georgia,2018.3333333333333,8.769062333333332,0.6130191617144841,4.904153293715873
Oman,2018.3333333333333,8.759368333333333,0.6121074476331363,4.89685958106509
Mexico,2018.3333333333333,8.759,0.6120728061346188,4.89658244907695
Thailand,2018.3333333333333,8.726287000000001,0.6089961708196683,4.871969366557346
Montenegro,2018.3333333333333,8.724674166666667,0.6088444849458424,4.870755879566739
Costa Rica,2018.3333333333333,8.691248,0.6057007767928119,4.845606214342495
Argentina,2018.3333333333333,8.673481333333333,0.6040298339231386,4.832238671385109
Qatar,2018.3333333333333,8.670971999999999,0.6037938328364049,4.830350662691239
Romania,2018.3333333333333,8.597487000000001,0.5968826187588474,4.775060950070779
Kyrgyzstan,2018.3333333333333,8.576515333333333,0.5949102478274122,4.759281982619298
Colombia,2018.3333333333333,8.534304333333333,0.5909403320972934,4.727522656778347
Uruguay,2018.3333333333333,8.527279333333333,0.5902796356436654,4.722237085149323
Palau,2019.0,8.4708445,0.5849719780999769,4.679775824799815
Peru,2018.3333333333333,8.453317333333333,0.5833235600417832,4.666588480334266
Sri Lanka,2018.3333333333333,8.378769333333333,0.5763123715399969,4.610498972319975
Bosnia and Herzegovina,2018.3333333333333,8.36014,0.5745602954593159,4.596482363674527
Saint Lucia,2019.0,8.34110525,0.5727700902179361,4.582160721743489
Saint Kitts and Nevis,2019.0,8.332255499999999,0.5719377772726701,4.575502218181361
Antigua and Barbuda,2019.0,8.268953,0.5659842203679333,4.527873762943466
Moldova,2018.3333333333333,8.249787333333334,0.564181702503438,4.513453620027504
