country,year,sanitation_value,norm_sanitize,norm_sanitize_withpts5,norm_sanitize_withpts_log5
 Gibraltar,2018.0,100.0,1.0,5.0,32.0
 Kuwait,2018.0,100.0,1.0,5.0,32.0
 New Caledonia,2018.0,100.0,1.0,5.0,32.0
 Puerto Rico,2018.0,100.0,1.0,5.0,32.0
 Isle of Man,2018.0,100.0,1.0,5.0,32.0
 Singapore,2018.0,100.0,1.0,5.0,32.0
 Monaco,2018.0,100.0,1.0,5.0,32.0
 San Marino,2018.0,100.0,1.0,5.0,32.0
 Bahrain,2018.0,100.0,1.0,5.0,32.0
" China, Macao Special Administrative Region",2018.0,100.0,1.0,5.0,32.0
 Iceland,2018.0,99.99999982777778,0.9999999979530632,4.999999989765316,31.99999993449802
 Hungary,2018.0,99.99999976777778,0.9999999972399367,4.9999999861996836,31.999999911677975
 Germany,2018.0,99.99999947444445,0.9999999937535409,4.999999968767704,31.999999800113308
 New Zealand,2018.0,99.99999936666667,0.9999999924725546,4.999999962362772,31.999999759121746
 Falkland Islands (Malvinas),2018.0,99.99999929777778,0.9999999916537797,4.999999958268899,31.99999973292095
 France,2018.0,99.99999913333333,0.999999989699285,4.999999948496425,31.99999967037712
 Denmark,2018.0,99.99999903222222,0.999999988497535,4.999999942487675,31.99999963192112
 Norway,2018.0,99.99999883444444,0.999999986146859,4.999999930734295,31.99999955669949
 Andorra,2018.0,99.99999854333333,0.9999999826868754,4.999999913434377,31.999999445980013
 Finland,2018.0,99.99995634555555,0.9999994811477081,4.99999740573854,31.99998339672666
 Belgium,2018.0,99.99989551333334,0.9999987581299649,4.999993790649825,31.999960260158876
 Bulgaria,2018.0,99.99974206222221,0.9999969342959498,4.99998467147975,31.999901897470394
 Netherlands (Kingdom of the),2018.0,99.99942649111111,0.9999931835943593,4.999965917971797,31.999781875019497
 Australia,2018.0,99.99929409222221,0.999991609975274,4.99995804987637,31.99973151920877
 Switzerland,2018.0,99.99852088111112,0.9999824200208004,4.999912100104002,31.999437440665613
 Spain,2018.0,99.99738450111111,0.9999689136441912,4.999844568220956,31.999005236614117
 Czechia,2018.0,99.99330457444444,0.999920421919506,4.9996021095975305,31.997453501424193
 Greece,2018.0,99.99313928222222,0.9999184573486724,4.999592286743361,31.997390635157515
 Italy,2018.0,99.98591099333333,0.9998325459528604,4.999162729764302,31.994641470491533
 Austria,2018.0,99.97400050888888,0.9996909846014604,4.998454923007302,31.990111507246734
 Luxembourg,2018.0,99.97258872111111,0.99967420488216,4.9983710244108,31.98957455622912
 Oman,2018.0,99.96942444777778,0.9996365961004724,4.998182980502362,31.988371075215117
 Malta,2018.0,99.96452158444444,0.9995783234111931,4.9978916170559655,31.98650634915818
" Saint Helena, Ascension and Tristan da Cunha",2018.0,99.9625,0.9995542959900368,4.997771479950184,31.985737471681176
 Liechtenstein,2018.0,99.95,0.9994057279867156,4.9970286399335775,31.980983295574898
 Saint Barthélemy,2018.0,99.94996518222223,0.9994053141620977,4.997026570810489,31.980970053187125
 Japan,2018.0,99.94947400111111,0.9993994762583419,4.99699738129171,31.98078324026694
 Slovakia,2018.0,99.94880384222222,0.9993915111248994,4.996957555624498,31.980528355996782
 Israel,2018.0,99.94873377111111,0.9993906782988939,4.99695339149447,31.980501705564606
 Bermuda,2018.0,99.94396666222222,0.9993340191109551,4.996670095554776,31.978688611550563
 Qatar,2018.0,99.93654612777777,0.9992458227920761,4.99622911396038,31.975866329346434
 Saint Pierre and Miquelon,2018.0,99.92781382555556,0.999142035535632,4.99571017767816,31.972545137140223
" Bonaire, Sint Eustatius and Saba",2018.0,99.91255616777778,0.9989606915555198,4.994803457777599,31.966742129776634
 Saint Martin (French part),2018.0,99.9095045,0.9989244211404363,4.994622105702182,31.965581476493963
 Thailand,2018.0,99.87663298222222,0.998533728679446,4.99266864339723,31.953079317742272
 Kyrgyzstan,2018.0,99.8723365311111,0.9984826634664103,4.992413317332051,31.95144523092513
 Republic of Korea,2018.0,99.86642007777778,0.9984123438137323,4.992061719068662,31.949195002039435
 Kazakhstan,2018.0,99.86637766999999,0.9984118397786227,4.992059198893114,31.949178872915926
 Portugal,2018.0,99.85567734333333,0.9982846616852027,4.991423308426014,31.945109173926486
 United Kingdom,2018.0,99.82711893,0.9979452323694465,4.989726161847233,31.93424743582229
 Ukraine,2018.0,99.82473112888889,0.9979168523019741,4.9895842615098704,31.933339273663172
 United Arab Emirates,2018.0,99.79391334,0.9975505693130147,4.987752846565074,31.92161821801647
 Chile,2018.0,99.77515533444445,0.9973276221584807,4.986638110792404,31.914483909071382
 Estonia,2018.0,99.76560013444444,0.9972140543996538,4.986070271998269,31.910849740788922
 Trinidad and Tobago,2018.0,99.71655534555556,0.9966311354909717,4.983155677454858,31.892196335711095
 Malaysia,2018.0,99.70917731666667,0.9965434443693343,4.982717221846672,31.889390219818697
 United States,2018.0,99.70487956555556,0.9964923637052264,4.982461818526132,31.887755638567246
 Saudi Arabia,2018.0,99.69999939333333,0.9964343607097927,4.9821718035489635,31.885899542713368
 Turkmenistan,2018.0,99.67594011666667,0.9961484056141355,4.980742028070678,31.876748979652337
 Sweden,2018.0,99.61331989777779,0.9954041367431073,4.977020683715537,31.852932375779435
 State of Palestine,2018.0,99.57368122999999,0.9949330137250229,4.974665068625114,31.83785643920073
 Poland,2018.0,99.55657330444444,0.9947296784977625,4.973648392488813,31.8313497119284
 Albania,2018.5,99.53435481125,0.9944656019241063,4.972328009620531,31.8228992615714
 Belarus,2018.0,99.50486238666667,0.9941150714734309,4.970575357367155,31.81168228714979
 Seychelles,2018.0,99.48557634666666,0.9938858483970491,4.969429241985245,31.80434714870557
 Mauritius,2015.5,99.426977,0.9931893693626339,4.96594684681317,31.782059819604285
 Cyprus,2018.0,99.42050104444445,0.9931123997797153,4.965561998898576,31.77959679295089
 Réunion,2018.0,99.39500678666667,0.9928093893017794,4.964046946508897,31.76990045765694
 Slovenia,2018.0,99.35982906,0.9923912865328,4.9619564326639995,31.7565211690496
 Guadeloupe,2018.0,99.26365243666666,0.9912481850212159,4.95624092510608,31.71994192067891
 Tokelau,2018.0,99.23085093777779,0.9908583247655471,4.954291623827736,31.70746639249751
 Barbados,2018.0,99.2259950088889,0.9908006099128038,4.954003049564019,31.705619517209723
