country,year,maternal_mortality,norm_maternal_mortality,norm_with_pts,norm_withpts_log5
Eswatini,2015.0,397.5497636,0.33552638,1.677631899,10.73684416
Ethiopia,2015.0,427.5193218,0.36092195,1.804609752,11.5495024
Malawi,2015.0,438.0572745,0.369851589,1.849257945,11.835250848
Zimbabwe,2015.0,447.8974764,0.378189968,1.890949841,12.102078976
Madagascar,2015.0,449.3847655,0.379450266,1.897251328,12.142408512
Togo,2015.0,462.0342218,0.390169148,1.950845739,12.485412736
Cameroon,2015.0,466.2929845,0.393777933,1.968889667,12.600893856
Mali,2015.0,494.1829155,0.417411272,2.087056359,13.357160704
Niger,2015.0,495.7380845,0.418729089,2.093645446,13.399330848
Kenya,2015.0,497.3024782,0.420054723,2.100273616,13.441751136
Mauritania,2015.0,507.55066,0.428738816,2.143694081,13.719642112
Burundi,2015.0,531.0626018,0.448662339,2.243311695,14.357194848
Gambia,2015.0,537.2967564,0.45394503,2.26972515,14.52624096
Cote d'Ivoire,2015.0,544.1788509,0.459776772,2.298883858,14.712856704
Democratic Republic of Congo,2015.0,571.0071891,0.482510539,2.412552693,15.440337248
Benin,2015.0,581.3707164,0.491292373,2.456461864,15.721355936
Sierra Leone,2015.0,584.8540018,0.494244035,2.471220177,15.81580912
Guinea,2015.0,638.6611727,0.539839096,2.699195478,17.274851072
Liberia,2015.0,664.2864809,0.561553441,2.807767203,17.969710112
Guinea-Bissau,2015.0,724.3903718,0.612484208,3.062421042,19.599494656
Afghanistan,2015.0,759.7566645,0.642452858,3.212264289,20.558491456
Somalia,2015.0,765.3897218,0.647226192,3.236130958,20.711238144
Lesotho,2015.0,771.7372045,0.652604914,3.263024572,20.883357248
Central African Republic,2015.0,926.1239509,0.783428983,3.917144913,25.069727456
Nigeria,2015.0,1108.942782,0.938345799,4.691728994,30.027065568
Chad,2015.0,1157.823127,0.979765971,4.898829856,31.352511072
South Sudan,2015.0,1181.7015,1.0,5.0,32.0
