country,year,clean_fuel_cooking,norm_clean_cooking,norm_with_points,norm_with_points_log5
Bhutan,2016,78.77727273,0.7877727273,3.9388636365000003,25.2087272736
Peru,2016,76.95454545,0.7695454545,3.8477272725000002,24.625454544
Albania,2016,76.91818182,0.7691818182,3.845909091,24.6138181824
Cape Verde,2016,76.41818182,0.7641818182,3.820909091,24.4538181824
Kyrgyzstan,2016,76.22727273,0.7622727273,3.8113636365,24.3927272736
Tonga,2016,75.18181818,0.7518181817999999,3.7590909089999998,24.058181817599998
Serbia,2016,74.43636364,0.7443636363999999,3.721818182,23.819636364799997
North Macedonia,2016,74.25454545,0.7425454545,3.7127272725,23.761454544
Guyana,2016,74.0,0.74,3.7,23.68
China,2016,72.58181818,0.7258181818,3.6290909090000003,23.2261818176
Indonesia,2016,69.23636364,0.6923636364,3.461818182,22.1556363648
Tuvalu,2016,65.91818182,0.6591818182,3.295909091,21.0938181824
Paraguay,2016,65.47727273,0.6547727272999999,3.2738636365,20.952727273599997
Marshall Islands,2016,63.44545455,0.6344545455,3.1722727275000002,20.302545456
Botswana,2016,62.89090909,0.6289090909,3.1445454545000002,20.1250909088
Montenegro,2016,62.02727273,0.6202727273,3.1013636365000004,19.8487272736
Yemen,2016,60.94545455,0.6094545455,3.0472727275000002,19.502545456
India,2016,53.04090909,0.5304090909,2.6520454545,16.9730909088
Nicaragua,2016,51.71818182,0.5171818182,2.585909091,16.5498181824
Sudan,2016,49.72272727,0.4972272727,2.4861363635,15.9112727264
Eswatini,2016,49.5,0.495,2.475,15.84
Angola,2016,47.72727273,0.47727272730000003,2.3863636365,15.272727273600001
Palau,2016,46.93181818,0.4693181818,2.346590909,15.0181818176
Honduras,2016,46.51818182,0.46518181820000004,2.325909091,14.885818182400001
Mauritania,2016,45.21818182,0.4521818182,2.260909091,14.4698181824
Mongolia,2016,45.15,0.4515,2.2575000000000003,14.448
Namibia,2016,44.57272727,0.4457272727,2.2286363635,14.2632727264
Philippines,2016,44.06363636,0.44063636359999997,2.203181818,14.100363635199999
Guatemala,2016,43.39090909,0.4339090909,2.1695454545,13.8850909088
Pakistan,2016,43.36363636,0.4336363636,2.168181818,13.8763636352
Bosnia and Herzegovina,2016,42.53636364,0.42536363639999997,2.126818182,13.611636364799999
Fiji,2016,42.48181818,0.42481818179999997,2.124090909,13.594181817599999
Lesotho,2016,37.04545455,0.3704545455,1.8522727275,11.854545456
Samoa,2016,32.42272727,0.3242272727,1.6211363635,10.3752727264
Zimbabwe,2016,30.1,0.301,1.505,9.632
Senegal,2016,29.25454545,0.29254545449999997,1.4627272724999998,9.361454543999999
Nepal,2016,29.25,0.2925,1.4625,9.36
Afghanistan,2016,28.40909091,0.2840909091,1.4204545455000002,9.0909090912
Sri Lanka,2016,27.19090909,0.27190909090000004,1.3595454545,8.701090908800001
Congo,2016,27.0,0.27,1.35,8.64
Cambodia,2016,25.65454545,0.2565454545,1.2827272724999998,8.209454544
Myanmar,2016,25.56363636,0.2556363636,1.2781818180000002,8.1803636352
Cote d'Ivoire,2016,24.82727273,0.2482727273,1.2413636365,7.9447272736
Equatorial Guinea,2016,23.87272727,0.2387272727,1.1936363635,7.6392727264
Ghana,2016,23.07272727,0.2307272727,1.1536363635,7.3832727264
Cameroon,2016,21.91818182,0.21918181820000002,1.095909091,7.0138181824000005
Bangladesh,2016,19.64545455,0.1964545455,0.9822727274999999,6.286545456
Kenya,2016,14.64090909,0.14640909089999998,0.7320454544999999,4.6850909087999995
Zambia,2016,13.28181818,0.1328181818,0.664090909,4.2501818176
Micronesia (country),2016,12.61363636,0.1261363636,0.630681818,4.0363636352
Eritrea,2016,10.11818182,0.1011818182,0.5059090909999999,3.2378181824
East Timor,2016,9.840909091,0.09840909091,0.49204545455,3.14909090912
North Korea,2016,9.254545455,0.09254545455,0.46272727275000003,2.9614545456
Vanuatu,2016,8.981818182,0.08981818182,0.4490909091,2.87418181824
Papua New Guinea,2016,8.872727273,0.08872727273,0.44363636365000003,2.83927272736
Burkina Faso,2016,8.809090909,0.08809090909,0.44045454545,2.81890909088
Solomon Islands,2016,8.6,0.086,0.42999999999999994,2.752
Djibouti,2016,8.322727273,0.08322727273,0.41613636364999995,2.66327272736
Nigeria,2016,8.172727273,0.08172727273,0.40863636365,2.61527272736
Kiribati,2016,7.481818182,0.07481818182,0.3740909091,2.39418181824
Togo,2016,7.463636364,0.07463636364,0.37318181819999996,2.38836363648
Comoros,2016,7.254545455,0.07254545455,0.36272727275,2.3214545456
Laos,2016,6.345454545,0.06345454545,0.31727272725,2.0305454544
Chad,2016,5.018181818,0.050181818180000004,0.2509090909,1.6058181817600001
Benin,2016,4.854545455,0.048545454550000006,0.24272727275000003,1.5534545456000002
Ethiopia,2016,4.845454545,0.04845454545,0.24227272725,1.5505454544
Mozambique,2016,4.245454545,0.042454545450000006,0.21227272725000002,1.3585454544000002
Tanzania,2016,3.981818182,0.03981818182,0.1990909091,1.27418181824
Haiti,2016,3.972727273,0.03972727273,0.19863636364999998,1.27127272736
Democratic Republic of Congo,2016,3.918181818,0.03918181818,0.1959090909,1.25381818176
Sao Tome and Principe,2016,2.4,0.024,0.12,0.768
Somalia,2016,2.318181818,0.023181818179999997,0.11590909089999998,0.7418181817599999
Niger,2016,2.081818182,0.02081818182,0.1040909091,0.66618181824
Malawi,2016,2.072727273,0.02072727273,0.10363636365,0.66327272736
Gambia,2016,2.036363636,0.02036363636,0.10181818179999999,0.65163636352
Rwanda,2016,1.936363636,0.019363636360000002,0.09681818180000001,0.6196363635200001
Madagascar,2016,1.109090909,0.01109090909,0.05545454545,0.35490909088
Guinea-Bissau,2016,1.072727273,0.01072727273,0.05363636365,0.34327272736
Mali,2016,0.9,0.009000000000000001,0.045000000000000005,0.28800000000000003
Guinea,2016,0.854545455,0.00854545455,0.042727272749999996,0.2734545456
Uganda,2016,0.827272727,0.00827272727,0.04136363635,0.26472727264
Central African Republic,2016,0.681818182,0.00681818182,0.0340909091,0.21818181824
Sierra Leone,2016,0.609090909,0.00609090909,0.03045454545,0.19490909088
Liberia,2016,0.372727273,0.0037272727300000003,0.01863636365,0.11927272736000001
Burundi,2016,0.2,0.002,0.01,0.064
South Sudan,2016,0.0,0.0,0.0,0.0
