country,year,under_5yo_deaths,norm_deaths_pct,norm_with_pts,norm_pts_log5
Sao Tome and Principe,2014,3.394545455,0.776599144,3.882995719,24.8511726
Bolivia,2014,3.722727273,0.753530577,3.767652885,24.11297847
East Timor,2014,3.789090909,0.748865742,3.744328711,23.96370375
Tajikistan,2014,3.798181818,0.748226724,3.741133619,23.94325516
Bhutan,2014,4.000909091,0.733976612,3.66988306,23.48725158
Nepal,2014,4.018181818,0.732762477,3.663812384,23.44839926
Cambodia,2014,4.036363636,0.73148444,3.6574222,23.40750208
Kiribati,2014,4.037272727,0.731420538,3.65710269,23.40545722
Gabon,2014,4.067272727,0.729311777,3.646558886,23.33797687
Bangladesh,2014,4.147272727,0.723688415,3.618442073,23.15802927
Namibia,2014,4.296363636,0.713208512,3.566042559,22.82267238
South Africa,2014,4.56,0.694676976,3.473384881,22.22966324
World,2014,4.567272727,0.694165761,3.470828807,22.21330436
Botswana,2014,4.665454545,0.687264362,3.43632181,21.99245958
India,2014,4.821818182,0.676273244,3.381366221,21.64074382
Gambia,2014,4.973636364,0.665601636,3.328008179,21.29925235
Kenya,2014,5.018181818,0.662470445,3.312352227,21.19905425
Congo,2014,5.240909091,0.646814493,3.234072465,20.69806377
Equatorial Guinea,2014,5.254545455,0.645855965,3.229279826,20.66739089
Yemen,2014,5.300909091,0.642596971,3.212984855,20.56310307
Myanmar,2014,5.38,0.63703751,3.185187552,20.38520033
Laos,2014,5.480909091,0.629944405,3.149722027,20.15822097
Mauritania,2014,5.538181818,0.625918589,3.129592945,20.02939485
Sudan,2014,5.58,0.622979104,3.11489552,19.93533133
Djibouti,2014,5.916363636,0.599335421,2.996677104,19.17873347
Eswatini,2014,5.932727273,0.598185188,2.990925938,19.141926
Rwanda,2014,5.962727273,0.596076427,2.980382133,19.07444565
Eritrea,2014,6.011818182,0.592625727,2.963128634,18.96402326
Papua New Guinea,2014,6.027272727,0.591539395,2.957696977,18.92926066
Senegal,2014,6.153636364,0.582657039,2.913285194,18.64502524
Zimbabwe,2014,6.211818182,0.578567321,2.892836603,18.51415426
Comoros,2014,6.346363636,0.569109847,2.845549236,18.21151511
Ghana,2014,6.594545455,0.551664643,2.758323216,17.65326858
Zambia,2014,6.664545455,0.546744201,2.733721005,17.49581443
Afghanistan,2014,6.682727273,0.545466164,2.72733082,17.45491725
Madagascar,2014,6.941818182,0.527254138,2.636270688,16.8721324
Tanzania,2014,6.990909091,0.523803438,2.61901719,16.76171001
Ethiopia,2014,7.118181818,0.514857179,2.574285897,16.47542974
Pakistan,2014,7.286363636,0.503035338,2.515176689,16.09713081
Uganda,2014,7.431818182,0.492811042,2.464055211,15.76995335
Angola,2014,7.69,0.474662918,2.373314589,15.18921337
Liberia,2014,7.72,0.472554157,2.362770784,15.12173302
Lesotho,2014,7.751818182,0.470317592,2.351587961,15.05016295
Malawi,2014,7.763636364,0.469486868,2.347434341,15.02357978
Togo,2014,7.973636364,0.454725542,2.273627708,14.55121733
Burundi,2014,8.277272727,0.433382325,2.166911624,13.86823439
Democratic Republic of Congo,2014,8.398181818,0.424883379,2.124416896,13.59626813
Haiti,2014,8.612727273,0.409802543,2.049012716,13.11368139
Cameroon,2014,8.873636364,0.391462713,1.957313566,12.52680682
Guinea-Bissau,2014,8.955454545,0.385711547,1.928557735,12.34276951
Mozambique,2014,9.011818182,0.381749633,1.908748163,12.21598824
Cote d'Ivoire,2014,9.268181818,0.363729312,1.818646559,11.63933798
Benin,2014,10.19545455,0.298549428,1.49274714,9.553581699
South Sudan,2014,10.82545455,0.254265448,1.271327241,8.136494345
Somalia,2014,11.46727273,0.209150744,1.045753722,6.692823823
Guinea,2014,11.76454545,0.188254841,0.941274203,6.024154898
Nigeria,2014,12.64545455,0.126333951,0.631669755,4.042686434
Burkina Faso,2014,12.64909091,0.126078344,0.630391718,4.034506997
Sierra Leone,2014,12.95272727,0.104735127,0.523675634,3.351524059
Niger,2014,13.06727273,0.096683494,0.483417471,3.093871813
Chad,2014,13.18,0.088759665,0.443798326,2.840309285
Mali,2014,13.79272727,0.04568982,0.228449102,1.462074254
Central African Republic,2014,14.44272727,0,0,0
