country,year,water_pct,norm_water,norm_water_withpts,norm_water_withpts_log5
 Barbados,2017.25,96.19134016,0.94640396,4.732019801,30.28492673
 Belarus,2018,96.13284829,0.945580854,4.727904268,30.25858731
 Seychelles,2018,96.12614105,0.945486468,4.727432341,30.25556699
 Ireland,2018,95.8411995,0.941476728,4.707383638,30.12725528
 Niue,2018,95.77068011,0.940484368,4.70242184,30.09549978
 Lithuania,2018,95.73115622,0.939928182,4.699640909,30.07770182
 Cayman Islands,2018,95.64877301,0.938768873,4.693844364,30.04060393
 Panama,2018,95.62642217,0.938454348,4.692271741,30.03053915
 Malaysia,2018,95.58355825,0.937851161,4.689255804,30.01123715
 Saint Lucia,2017.25,95.48677399,0.936489198,4.68244599,29.96765433
 Dominica,2015.5,95.42065606,0.935558776,4.677793882,29.93788084
 Oman,2017.846154,95.34812263,0.934538075,4.672690375,29.9052184
 Andorra,2018,95.31999908,0.934142316,4.67071158,29.89255411
 Sint Maarten,2015.5,95.31117933,0.934018203,4.670091016,29.8885825
 Northern Mariana Islands,2018,95.07352689,0.930673922,4.65336961,29.7815655
 Falkland Islands (Malvinas),2017,95.01859789,0.929900953,4.649504764,29.75683049
 El Salvador,2017.285714,94.89391492,0.928146395,4.640731976,29.70068464
 Egypt,2017.5625,94.7038702,0.925472057,4.627360284,29.61510582
 Bosnia and Herzegovina,2017.571429,94.60757888,0.924117031,4.620585154,29.57174498
 Venezuela ,2018,94.5125532,0.922779815,4.613899075,29.52895408
 Mayotte,2018,94.49034546,0.922467304,4.612336522,29.51895374
 Montenegro,2018,94.47485256,0.922249286,4.611246429,29.51197715
 Kazakhstan,2017.227273,94.37659615,0.920866607,4.604333033,29.46773141
 American Samoa,2017.5,94.36839439,0.92075119,4.603755951,29.46403809
 Belize,2018,94.24368722,0.918996292,4.594981461,29.40788135
" Saint Helena, Ascension and Tristan da Cunha",2018,94.11203111,0.917143607,4.585718037,29.34859543
 Ukraine,2018,93.70842021,0.911463933,4.557319667,29.16684587
 Gabon,2018,93.51510287,0.908743542,4.543717712,29.07979336
 Cuba,2018,93.41611267,0.907350537,4.536752686,29.03521719
 Grenada,2015.5,93.35390602,0.906475156,4.532375779,29.00720499
 North Macedonia,2018,93.15576429,0.903686875,4.518434377,28.91798001
 Channel Islands,2015.5,93.0625,0.902374446,4.51187223,28.87598227
 French Polynesia,2018,92.6092457,0.895996183,4.479980914,28.67187785
 French Guiana,2018,92.53456926,0.894945324,4.474726622,28.63825038
 Palau,2018,92.52710244,0.89484025,4.474201251,28.63488801
 Thailand,2018,92.27633039,0.891311348,4.456556739,28.52196313
 Armenia,2018,92.1241595,0.889169976,4.44584988,28.45343923
