country,year,pct_slums,norm_pct_slums,norm_with_pts,norm_log5
Sri Lanka,2017,50.39333333,0.465038924,2.325194622,14.88124558
Iran,2017,50.39333333,0.465038924,2.325194622,14.88124558
Bhutan,2017,50.39333333,0.465038924,2.325194622,14.88124558
Cape Verde,2017,50.68166667,0.461978061,2.309890304,14.78329795
Zambia,2017,50.84666667,0.460226468,2.301132342,14.72724699
Haiti,2017,50.98666667,0.458740269,2.293701344,14.6796886
Malawi,2017,51.32833333,0.455113234,2.275566171,14.5636235
Tanzania,2017,51.425,0.454087049,2.270435244,14.53078556
Bangladesh,2017,52.88333333,0.438605803,2.193029016,14.03538571
Nigeria,2017,53.08833333,0.436429582,2.182147912,13.96574664
Cote d'Ivoire,2017,53.925,0.427547771,2.137738854,13.68152866
Congo,2017,54.04833333,0.4262385,2.131192498,13.63963199
Sierra Leone,2017,54.98166667,0.416330502,2.081652512,13.32257608
Myanmar,2017,55.07,0.415392781,2.076963907,13.292569
Mayotte,2017,55.42333333,0.411641897,2.058209484,13.17254069
Mauritius,2017,55.42333333,0.411641897,2.058209484,13.17254069
Djibouti,2017,55.42333333,0.411641897,2.058209484,13.17254069
Reunion,2017,55.42333333,0.411641897,2.058209484,13.17254069
Seychelles,2017,55.42333333,0.411641897,2.058209484,13.17254069
Eritrea,2017,55.42333333,0.411641897,2.058209484,13.17254069
Somalia,2017,55.42333333,0.411641897,2.058209484,13.17254069
Angola,2017,56.47333333,0.4004954,2.002476999,12.8158528
Mali,2017,57.34833333,0.391206653,1.956033263,12.51861288
Ecuador,2022,57.8,0.38641189,1.932059448,12.36518047
Uganda,2017,58.27166667,0.381404812,1.907024062,12.204954
Pakistan,2017,58.51333333,0.378839349,1.894196745,12.12285917
Sao Tome and Principe,2017,58.555,0.378397028,1.891985138,12.10870488
Mauritania,2017,58.955,0.374150743,1.870753715,11.97282378
Mozambique,2017,60.815,0.35440552,1.772027601,11.34097665
Equatorial Guinea,2017,63.59333333,0.324911536,1.624557679,10.39716914
Liberia,2017,65.10166667,0.308899505,1.544497523,9.884784146
Comoros,2017,65.165,0.308227176,1.541135881,9.863269639
Guinea-Bissau,2017,66.525,0.293789809,1.468949045,9.401273885
Ethiopia,2017,67.40666667,0.28443029,1.422151451,9.101769284
Benin,2017,67.935,0.278821656,1.39410828,8.922292994
Central African Republic,2017,68.91,0.268471338,1.342356688,8.591082803
Niger,2017,70.43166667,0.252317764,1.261588818,8.074168435
Madagascar,2017,71.13833333,0.244815994,1.224079972,7.83411182
Afghanistan,2017,71.21,0.244055202,1.220276008,7.809766454
Sudan,2017,76.22333333,0.190835103,0.954175513,6.106723285
Democratic Republic of Congo,2017,77.13333333,0.181174805,0.905874027,5.797593773
Chad,2017,82.84666667,0.120523708,0.602618542,3.856758668
South Sudan,2017,94.2,0,0,0
