norm_crime_rate_log16,country_c,norm_gini_log16,homicide_norm_withpts_log16,norm_vac_withpts_log16,ihvg_pts,healthgdp_norm_withpts_log5,gini_log16,terror_log16,ineq_terror,ihhuvgtc_pts
13.095168374816984,Switzerland,13.1329460025725,15.85019678208013,13.783205168019624,53.66765200378987,9.012298953848974,13.1329460025725,15.99034444340959,29.123290445982093,104.8984097784379
11.38506588579795,Norway,13.05582340448566,15.818452082922912,15.28117292178664,56.5040321115917,7.954588457002288,13.05582340448566,15.99331538390146,29.04913878838712,104.89282524277907
12.86090775988287,Netherlands,13.756746284947704,15.812411204651449,14.411263430591978,53.17051598650536,8.645222324720752,13.756746284947704,15.95097948193315,29.707725766880856,104.38437183798983
12.743777452415811,Czechia,16.0,15.792009331661047,15.305562907139738,53.31891468670757,5.8997161775928415,16.0,15.988116238040686,31.988116238040686,103.95052455475691
12.158125915080529,Austria,12.339092448217684,15.812784941594147,14.072937065943382,51.10278008189355,8.741721848842783,12.339092448217684,15.991829913655526,28.33092236187321,100.33355020769007
13.352855051244507,Slovenia,13.688635861183718,15.826309940172855,14.301734328639798,49.97640333450573,6.75591296015977,13.688635861183718,16.0,29.68863586118372,99.77380720709372
16.0,Andorra,10.043141738806,15.949114509575432,15.659556449532332,50.4767715569355,5.364238409869789,10.043141738806,16.0,26.043141738806,97.88415170561129
7.683748169838946,Sweden,13.019097692964142,15.753197822224909,14.282538506187205,51.86946174802428,9.0709555328444,13.019097692964142,15.93092563362936,28.950023326593502,97.57418877730112
11.73645680819912,Slovakia,14.250538598567516,15.654653149865558,15.320242065617355,50.22272965968604,5.144749289630299,14.250538598567516,15.998514529754065,30.24905312832158,97.35298888583704
13.516837481698389,Singapore,8.642514328207106,15.932607674002188,15.346777465911424,55.51621816555102,2.1589403967195206,8.642514328207106,16.0,24.642514328207106,95.83451037217603
9.90922401171303,Germany,10.510578673021875,15.769848321132972,14.65855078601676,49.80971536874236,9.68117313358322,10.510578673021875,15.81060254384748,26.321181216869356,95.72129373090796
10.541727672035137,Spain,12.169308172888307,15.818172128978352,15.19095255709784,49.28517036972074,7.491958372436968,12.169308172888307,15.98068888681918,28.149997059707488,95.46885347390032
9.370424597364568,Malta,12.532086533204032,15.661723553454726,15.211842127982116,50.29112362266188,7.2015137178570985,12.532086533204032,15.996286324385162,28.528372857589194,95.39143479547275
10.963396778916543,Luxembourg,10.076241697963685,15.820366894086025,15.781506377974642,54.31322089343633,3.3339640484350173,10.076241697963685,16.0,26.076241697963685,94.68682341875157
8.128843338213763,Ireland,11.381825198558625,15.7680732403348,14.543375854095856,52.717020050391575,6.24976348089375,11.381825198558625,15.864822207717914,27.246647406276537,94.34227427577562
12.111273792093703,Brunei Darussalam,11.781919371965577,15.862272376273078,15.822156353749454,54.42499939790786,0.0,11.781919371965577,16.0,27.78191937196558,94.31819256196714
13.727672035139092,Japan,8.883829492747015,15.923027626213248,15.36450537234858,46.57042546868568,8.915799429726944,8.883829492747015,15.985145297556986,24.868974790304,94.0828717238557
11.71303074670571,Portugal,10.728718242391029,15.761031144261072,15.857725083111353,47.66700177583759,7.836329233448547,10.728718242391029,15.997771794631095,26.726490037022124,93.94285179301397
13.18887262079063,South Korea,10.52817986319441,15.807653288269414,15.715450166781643,48.70492351143575,5.148533585183641,10.52817986319441,15.99702905950813,26.52520892270254,93.56753864011256
11.431918008784772,Cyprus,11.617647364981298,15.715536892101436,14.338432223436504,47.93474849642435,5.1759697248233225,11.617647364981298,15.986630767802922,27.60427813278422,92.14691436281666
12.931185944363104,Croatia,11.313253862405634,15.74559800852462,14.429894669488768,46.47891436289429,5.100283821041265,11.313253862405634,15.997771794631095,27.31102565703673,91.82140978533538
6.067349926793558,France,11.08532580381952,15.683858288372909,14.6229820572138,48.90585822544157,9.698202455247806,11.08532580381952,15.786092284814057,26.871418088633575,91.54282869611652
13.774524158125915,Armenia,10.4377250203127,15.384473673458936,14.20759011321266,42.201191751324,8.65562913645176,10.4377250203127,15.995543589270364,26.433268609583063,91.06461365548473
13.446559297218156,Estonia,10.92472123581446,15.098868440181311,13.798126290399212,45.60268685256814,4.675496687846633,10.92472123581446,15.99702905950813,26.92175029532259,90.64649313295553
7.988286969253293,Australia,9.966133975546452,15.746721630126846,14.794615289939811,48.18195871321191,7.924314095697602,9.966133975546452,15.966576919499133,25.932710895045584,90.02727067320839
7.918008784773059,United Kingdom,10.372851011655628,15.739233115583922,14.432378835569306,47.87061779685853,8.421948914131328,10.372851011655628,15.258750347997168,25.631601359652798,89.84217685541572
7.918008784773059,United Kingdom,10.372851011655628,15.732079133083682,14.432378835569306,47.86346381435829,8.421948914131328,10.372851011655628,15.258750347997168,25.631601359652798,89.83502287291546
7.847730600292824,New Zealand,11.131733231764812,15.711117752781131,14.062915719285977,47.26364397810041,7.582781456351029,11.131733231764812,15.988116238040686,27.119849469805498,89.81400550454977
7.121522693997072,Belarus,14.067700513572465,15.153210892562456,15.67988143797868,48.42446348095337,3.7275307464366265,14.067700513572465,15.995543589270364,30.06324410284283,89.3367610242299
7.472913616398243,United States,5.940344659086136,14.781108276482207,14.381905115313552,44.93693308616642,15.138126772021696,5.940344659086136,15.606350385235604,21.54669504432174,89.0946685189081
11.338213762811128,Lithuania,10.94822226187421,14.603616754455716,14.161717743179702,45.66854385896818,4.692526016795987,10.94822226187421,15.998514529754065,26.946736791628275,88.64602043020356
8.43338213762811,Canada,9.352250585029,15.574842204943316,12.89761640088585,45.33401021220152,9.234626301997556,9.352250585029,15.94429486583461,25.29654545086361,88.29856410269079
