country_c,ccefmlpssuw_pts
Kuwait,276.30771087805374
United Arab Emirates,268.6619216861234
South Korea,262.13445735798086
Italy,259.5676675055358
Israel,257.4149677479794
Japan,257.0999600245555
Egypt,256.3441861838454
Switzerland,256.14756970281013
Malta,255.80056205630126
Austria,255.73753245148856
Poland,255.45793052016808
Czechia,255.4106516822709
Slovenia,255.12580704993792
Netherlands,255.10439391725384
Belgium,255.10120498066857
Germany,255.09906869571108
France,254.91302735369487
Luxembourg,254.78483795901406
Armenia,252.19190042843374
Greece,254.2562721569652
Spain,254.2114489395466
Slovakia,253.7584464738684
United Kingdom,253.49294147133062
Denmark,253.39099609048515
Norway,253.18419946764652
Sweden,252.53784791300592
Kazakhstan,252.05637326405665
Iceland,252.03080554168434
Chile,251.12779734948873
Canada,250.71948557400052
Australia,250.6927518215074
Portugal,250.1128949111164
Finland,250.14731826865534
Ireland,248.42926903181495
New Zealand,248.9457794518807
Estonia,248.035088682608
Hungary,248.00519961748563
United States,247.6526292944536
Latvia,245.25084791847945
Costa Rica,246.80709411277343
Lithuania,244.75775730628266
Thailand,246.38714942826752
North Macedonia,244.89726999396063
Serbia,244.52897928923196
Kyrgyz Republic,245.2737655362668
Romania,239.38802320971783
Tunisia,242.59401412288446
Uruguay,243.1162962459794
Tajikistan,240.59160796555153
Malaysia,240.1331452831909
Bosnia and Herzegovina,237.68610197385917
Ukraine,239.1082741870231
Russia,233.9464336248128
Vietnam,233.27688437409267
Azerbaijan,237.24984935631994
Montenegro,236.41159430312518
Algeria,234.1708163583462
Moldova,228.57201561480963
Brazil,228.52469735863693
Colombia,231.12965594025434
Argentina,231.42179554846902
Georgia,225.75221258318774
Mexico,229.2259100979903
Mongolia,225.5410138746554
St. Vincent and the Grenadines,223.50286666755247
Trinidad and Tobago,225.99711820213486
Seychelles,225.4146433454209
El Salvador,222.70939431175518
Iran,222.73651421734192
Paraguay,218.7459944352932
Jamaica,219.66701412709176
Indonesia,215.13460122929447
Mauritius,218.20269830401702
Suriname,215.9101284491928
Ecuador,215.0388413405626
Belize,213.39425581039097
Cabo Verde,207.4212176545924
Peru,207.90463654258127
Sri Lanka,210.64625035129208
Dominican Republic,209.77523074745352
Guyana,209.18466581134751
South Africa,204.24459215145714
Samoa,208.02459698159836
Fiji,204.7878127031814
Honduras,195.40021070276228
Pakistan,186.19876509862092
Philippines,192.18857949958178
Guatemala,185.8107280441988
Bangladesh,183.71300403306432
Nepal,184.0578168256198
Yemen,170.17435413382077
Vanuatu,174.29941662907748
Ghana,168.9399612277609
Kiribati,162.7414617515859
Laos,168.96199042925528
Senegal,165.0730826792003
Botswana,166.42612765419676
Cambodia,159.4973389190744
Myanmar,163.34904771417735
Timor-Leste,152.03457321642614
Sao Tome and Principe,144.71733914371157
Eswatini,157.44869968914824
Mauritania,147.00796241961447
Cameroon,143.96100824439552
Namibia,134.81039391100578
Cote d'Ivoire,135.9827183733484
Gambia,136.9103523578422
Djibouti,137.14056353741447
Congo Republic,123.47733110981218
Togo,118.15127526813438
Zimbabwe,125.04060467395429
Papua New Guinea,107.92620050882145
Comoros,115.74532741644147
Kenya,118.8673066862993
Burkina Faso,112.4417893768348
Mali,114.86476668688181
Tanzania,107.75451758082322
Uganda,103.49935770313259
Ethiopia,95.1750121619182
Nigeria,101.79628350589817
Niger,85.9774919867333
Haiti,99.88795154417194
Benin,90.16913907379225
Madagascar,87.35753244027711
Guinea-Bissau,87.81825908043201
Malawi,94.62925010331494
Liberia,85.4983952367123
DR Congo,78.83682527351036
Sierra Leone,81.84043709232778
Somalia,77.57069315174478
Chad,41.03828126751072
South Sudan,23.634962163686556
