country_c,pm25,pol_log32_n,avg_life,lifeexpect_log32_n,sanitation_value,santitation_log32_n,water_pct,water_log32_n
Georgia,21.117186,23.636646816559256,73.44,22.496969696,87.91039374,27.401910624,85.64379425,25.53527333557276
Honduras,21.145548,23.62145972234972,71.51,20.999757568,89.58176433,28.037589824,81.04027778,23.462269075812895
Malaysia,21.344178,23.515098657444568,75.52,24.11054544,99.70917732,31.889390208,95.58355825,30.011237144388605
Poland,21.446436,23.460342227020806,77.42,25.584484864,99.5565733,31.831349696,91.5781881,28.207583472901916
South Sudan,21.639148,23.35715009320415,50.48,4.685575744,22.08612437,2.36669712,42.712079,6.202741526026037
Montenegro,21.857828,23.240052788298247,76.25,24.67684848,97.47235841,31.038651744,94.47485256,29.51197714756492
Ethiopia,22.111556,23.104188214587047,64.92,15.887515136,15.86344488,0.0,29.81572587,0.3953994326333787
Sudan,22.201662,23.05593885590838,64.96,15.91854544,44.26490208,10.802042336,51.76087427,10.277494220547156
Philippines,22.30978,22.99804455184849,69.37,19.339636352,92.19711223,29.032295776,74.9226414,20.707443203450623
Chile,22.509624,22.891033422336807,79.97,27.562666656,99.77515533,31.914483904,99.23101771,31.65372046060044
Eritrea,22.783658,22.744295527455776,66.72,17.283878784,21.47893462,2.135762176,69.17346052,18.118536107747342
Algeria,22.858182,22.704389913998632,75.25,23.901090912,96.15065476,30.535962784,85.88565628,25.64418595090314
Guatemala,23.338614,22.447131397487965,70.94,20.557575744,78.22003381,23.716336416,75.15468851,20.811936073331665
Sri Lanka,23.706522,22.25012648047077,76.44,24.824242432,97.07706863,30.888309568,72.84904679,19.773685175743363
Lebanon,24.090224,22.044664297888893,77.56,25.693090912,97.77425055,31.153471616,73.34195804,19.99564747947192
Serbia,24.427786,21.86390885414165,75.43,24.040727264,97.90010231,31.201337312,87.80958981,26.51055026808887
Thailand,24.477594,21.83723799918119,76.69,25.018181824,99.87663298,31.953079328,92.27633039,28.52196313256423
El Salvador,24.814746,21.65670209949382,71.15,20.720484864,97.97210481,31.228722336,94.89391492,29.700684641726447
Syria,24.856114,21.63455063932669,68.4,18.58715152,98.99425375,31.617480416,91.92135284,28.362113596222915
Bolivia,25.38945,21.34896344246692,66.52,17.128727264,79.89318754,24.352693824,59.52066045,13.771794699495084
Jordan,25.44272,21.32043877888389,75.78,24.312242432,98.93359018,31.594408,89.85667697,27.43237175616963
South Korea,25.682276,21.19216293301761,83.14,30.021818176,99.86642008,31.949195008,99.2891603,31.679902584098627
Gabon,26.248054,20.88920391081598,66.92,17.439030304,77.85601398,23.577887264,93.51510287,29.07979335749081
Equatorial Guinea,26.582086,20.710338687876853,61.73,13.41284848,76.05437623,22.892663008,52.89472703,10.788078165828548
Tunisia,26.717788,20.637673887847857,75.09,23.776969696,97.45750396,31.03300208,85.95492561,25.675378544021136
Myanmar,26.98268,20.495831290028512,65.88,16.632242432,83.94587631,25.894069504,69.63011056,18.324169667290032
Azerbaijan,27.517796,20.209290950664936,72.47,21.744484864,98.49231619,31.426576448,83.89854895,24.749373911772967
Bhutan,27.597394,20.166668345598627,71.65,21.108363648,83.38284913,25.679931072,82.96004754,24.326758410471054
Burundi,28.069692,19.913765369046367,61.49,13.226666656,57.62715035,15.884160864,43.38852389,6.507350654200349
Central African Republic,28.319962,19.77975246206448,44.44,0.0,29.82731416,5.310935488,30.02174913,0.4881735322532741
North Macedonia,28.443462,19.71362150744641,75.83,24.351030304,98.51425525,31.43492064,93.15576429,28.91798001069592
Peru,29.082422,19.371475476978716,75.44,24.048484864,85.38296511,26.44064336,71.96986822,19.377783274973236
Kazakhstan,29.099528,19.362315670422465,72.36,21.65915152,99.86637767,31.94917888,94.37659615,29.467731415458584
Turkmenistan,29.54879,19.121747857194755,69.29,19.277575744,99.67594012,31.876748992,97.34614759,30.80494674309182
Libya,29.561068,19.115173315811752,72.19,21.527272736,99.21925314,31.70305536,98.92489097,31.5158688768857
Bosnia and Herzegovina,30.012342,18.87352813027075,76.94,25.212121216,95.93328929,30.453291296,94.60757888,29.571744985593803
Palestine,30.386114,18.67338319772416,73.96,22.900363648,99.57368123,31.837856448,90.70079956,27.81248763850284
Iran,30.704552,18.50286814568636,75.93,24.428606048,99.08616567,31.652437664,96.39998389,30.378880844704764
Uganda,31.611022,18.01747764825608,65.44,16.290909088,36.4987516,7.84831056,40.18591416,5.065187113371664
DR Congo,31.912296,17.8561534602269,59.71,11.845818176,53.31624359,14.244576064,59.71960084,13.861379319990268
DR Congo,31.912296,17.8561534602269,59.71,11.845818176,53.31624359,14.244576064,28.93766313,0.0
DR Congo,31.912296,17.8561534602269,59.71,11.845818176,35.35340891,7.412697696,59.71960084,13.861379319990268
DR Congo,31.912296,17.8561534602269,59.71,11.845818176,35.35340891,7.412697696,28.93766313,0.0
Cabo Verde,32.014792,17.801269587153755,74.63,23.420121216,82.80553878,25.460360256,96.54791497,30.44549552089617
Benin,32.469812,17.557618518568223,59.67,11.814787872,37.36047408,8.176052992,42.56033585,6.134410240933581
Sao Tome and Principe,33.931024,16.775178482459918,67.33,17.757090912,49.29501569,12.715166016,60.50205689,14.21372621291338
Rwanda,34.990162,16.20803834470874,66.29,16.95030304,82.63759743,25.396486432,48.21614841,8.681272754772554
Guinea-Bissau,35.679162,15.8390972294711,61.34,13.11030304,39.25184724,8.895406688,37.21367809,3.726762873060018
Oman,35.786564,15.781586324306002,78.89,26.72484848,99.96942445,31.988371072,95.34812263,29.905218398427827
Liberia,36.170508,15.57599455718147,60.77,12.668121216,45.56296645,11.295740448,42.22297758,5.982494822506672
Togo,37.102518,15.076928071241507,60.48,12.44315152,43.94306437,10.67963648,35.34554017,2.885523813481086
Armenia,37.919374,14.639523479618065,73.92,22.869333344,94.04982802,29.736946752,92.1241595,28.453439232359436
Nepal,38.300384,14.43550279120486,68.75,18.858666656,81.25482817,24.87057216,57.88217608,13.033970668519054
Guinea,38.52676,14.314284483653283,58.95,11.256242432,53.32736832,14.248807168,50.22304824,9.584997532040772
Iraq,39.137866,13.98705352695022,70.39,20.130909088,97.00625252,30.861375776,83.96675773,24.780088929828068
Senegal,39.150736,13.980161985363704,67.07,17.555393952,72.14288654,21.404990144,44.03201802,6.797121763158815
Gambia,39.652928,13.711251569480655,63.85,15.05745456,63.63190673,18.1679744,49.33768462,9.186310448447822
Mali,39.912562,13.57222449036076,58.71,11.070060608,60.64451858,17.031768832,49.61716771,9.312164160469155
Sierra Leone,40.456978,13.280704249151448,58.2,10.674424256,52.62114986,13.980208224,31.10375112,0.9754086163364294
Yemen,41.104182,12.934143776660502,67.19,17.648484864,57.95965373,16.010623232,74.63497101,20.577902677688847
Kyrgyz Republic,41.763552,12.581068735798034,70.01,19.836121216,99.87233653,31.951445216,86.65147664,25.989041645204765
Cote d'Ivoire,42.161868,12.36778114616524,59.57,11.737212128,59.53588649,16.610118272,46.86389146,8.072339467380647
Burkina Faso,42.387888,12.246753467114427,59.66,11.807030304,51.15616098,13.423023008,42.97643941,6.321785361236178
Mauritania,42.818526,12.016158308937785,67.08,17.56315152,57.87615403,15.97886544,64.98904062,16.234254747215154
United Arab Emirates,42.997288,11.920436027889725,81.82,28.997818176,99.79391334,31.921618208,99.97324095,31.987950162664
Chad,43.42019,11.693983291291428,52.57,6.306909088,17.43214085,0.596628544,30.52929526,0.7167260521304614
China,44.994072,10.851211476585403,77.5,25.64654544,92.22106076,29.041404224,96.25994007,30.315817871583032
Mongolia,45.226162,10.726933474501948,69.92,19.76630304,89.47308397,27.996254976,68.37923914,17.76089118246865
Uzbekistan,45.526694,10.566006607673792,71.64,21.100606048,97.87261687,31.19088368,85.55196423,25.49392146382984
Bangladesh,48.248418,9.108596030128002,71.72,21.162666656,76.76108539,23.161448608,69.50549641,18.26805481129684
Ghana,48.42508,9.013998243045112,63.97,15.15054544,70.41833684,20.74908512,56.99414363,12.634081787127698
North Korea,48.55891,8.942335849065064,72.96,22.124606048,84.65293933,26.162989664,80.8643517,23.383048003048312
Niger,51.736746,7.24068946607186,59.59,11.752727264,23.14542926,2.76958688,42.42600928,6.073921796149343
India,53.086028,6.518184958306875,69.89,19.743030304,77.35106158,23.38583664,81.60655093,23.717266893196104
Pakistan,53.631344,6.2261827911124925,66.19,16.872727264,73.25213872,21.826876576,71.24164924,19.049859815284176
Bahrain,54.061184,5.996014940642617,80.12,27.679030304,100.0,32.0,99.61095803,31.82481095347632
Nigeria,56.813564,4.522188893098676,52.82,6.50084848,60.80567936,17.093063776,45.35020741,7.39071412639853
Saudi Arabia,57.632198,4.083832229918048,77.84,25.91030304,99.69999939,31.885899552,99.32836333,31.697556055898957
Cameroon,58.351032,3.6989158037486254,60.95,12.807757568,59.40898271,16.561852448,59.60495012,13.8097510848154
Tajikistan,59.523014,3.071350715042616,70.25,20.02230304,98.83537937,31.557055072,69.62954066,18.323913036269957
Egypt,62.186678,1.6450297182670717,70.4,20.138666656,98.91972616,31.58913504,94.7038702,29.615105820259803
Qatar,62.403326,1.529020495140795,81.83,29.005575744,99.93654613,31.975866336,98.43356106,31.29461866457193
Kuwait,65.258782,0.0,79.18,26.949818176,100.0,32.0,100.0,32.0
