country_x,year_x,sanitation_value,norm_sanitize,norm_sanitize_withpts5,norm_sanitize_withpts_log5,country_c,santitation_log32_n,water_pct,water_log32_n,avg_life,lifeexpect_log32_n,country_y,year_y,modtosev_food_insecure_pct,norm_pct_foodinsecure,norm_withpts,norm_withpts_log5,foodinsecure_log32_n,country,year,pm_value,norm_pm_value,norm_with_pts,norm_with_pts_log5,pollution_log32_n
 Albania,2018.5,99.53435481,0.994465602,4.97232801,31.82289926,Albania,31.822899264,83.81984159,24.71393129011238,78.52,26.437818176,Albania,2018.5,0.3924816504506057,0.6075183495493943,3.037591747746972,19.44058718558062,19.44058718558062,Albania,2014.5,0.234440647,0.765559353,3.827796766,24.4978993,24.497899296
 Algeria,2018.0,96.15065476,0.954248837,4.771244185,30.53596279,Algeria,30.535962784,85.88565628,25.64418595090314,75.25,23.901090912,Algeria,2018.5,0.20814322554222797,0.791856774457772,3.95928387228886,25.339416782648705,25.339416782648705,Algeria,2014.5,0.276542379,0.723457621,3.617288103,23.15064386,23.150643872
 Antigua and Barbuda,2018.0,97.39523239,0.96904119,4.845205951,31.00931808,Antigua and Barbuda,31.00931808,98.36514458,31.263810117366326,77.14,25.367272736,Antigua and Barbuda,2021.0,0.3677841697929861,0.6322158302070139,3.1610791510350693,20.230906566624444,20.230906566624444,Antigua and Barbuda,2014.5,0.05173736200000001,0.948262638,4.741313192,30.34440443,30.344404416
 Argentina,2015.0,96.80236124,0.961994656,4.809973278,30.78382898,Argentina,30.783828992,98.98230999,31.541725170401087,76.18,24.62254544,Argentina,2018.5,0.3603451695949079,0.6396548304050921,3.1982741520254603,20.468954572962947,20.468954572962947,Argentina,2014.5,0.129358297,0.870641703,4.353208514,27.86053449,27.860534496
 Armenia,2018.0,94.04982802,0.929279586,4.646397932,29.73694676,Armenia,29.736946752,92.1241595,28.453439232359433,73.92,22.869333344,Armenia,2019.5,0.10930370953742097,0.890696290462579,4.453481452312895,28.50228129480253,28.50228129480253,Armenia,2014.5,0.572385511,0.427614489,2.138072444,13.68366364,13.683663648
 Australia,2018.0,99.99929409,0.99999161,4.99995805,31.99973152,Australia,31.99973152,99.96893926,31.98601307353826,83.06,29.959757568,Australia,2018.5,0.11947034318113592,0.8805296568188641,4.402648284094321,28.17694901820365,28.17694901820365,Australia,2014.5,0.035226643999999974,0.964773356,4.823866782,30.87274741,30.872747392
 Austria,2018.0,99.97400051,0.999690985,4.998454923,31.99011151,Austria,31.99011152,99.45205888,31.75325725817212,81.58,28.811636352,Austria,2018.5,0.025887720689312,0.974112279310688,4.870561396553439,31.17159293794201,31.171592937942016,Austria,2014.5,0.13316249300000005,0.866837507,4.334187535,27.73880022,27.738800224
 Azerbaijan,2016.5,98.49231619,0.982080514,4.910402571,31.42657645,Azerbaijan,31.426576448,83.89854895,24.749373911772967,72.47,21.744484864,Azerbaijan,2018.5,0.08257290219866797,0.917427097801332,4.58713548900666,29.357667129642625,29.357667129642625,Azerbaijan,2014.5,0.394480002,0.605519998,3.027599988,19.37663992,19.376639936
 Bahamas,2016.5,98.18852059,0.97846977,4.892348848,31.31103263,Bahamas,31.31103264,98.87983311,31.49557892325474,73.46,22.512484864,Bahamas,2021.0,0.1797262447855692,0.8202737552144308,4.101368776072154,26.248760166861786,26.248760166861786,Bahamas,2014.5,0.0,1.0,5.0,32.0,32.0
 Bangladesh,2018.0,76.76108539,0.723795269,3.618976343,23.16144859,Bangladesh,23.161448608,69.50549641,18.26805481129684,71.72,21.162666656,Bangladesh,2018.5,0.35037690932948307,0.6496230906705169,3.2481154533525847,20.787938901456545,20.787938901456542,Bangladesh,2014.5,0.7166535119999999,0.283346488,1.41673244,9.067087614,9.067087616
 Barbados,2018.0,99.22599501,0.99080061,4.95400305,31.70561952,Barbados,31.70561952,96.19134016,30.28492672422299,76.2,24.638060608,Barbados,2021.0,0.3451696091908284,0.6548303908091716,3.274151954045858,20.95457250589349,20.95457250589349,Barbados,2014.5,0.07441704299999996,0.925582957,4.627914785,29.61865462,29.618654624
 Belgium,2018.0,99.99989551,0.999998758,4.999993791,31.99996026,Belgium,31.999960256,99.85309253,31.933846264462144,81.28,28.578909088,Belgium,2020.5,0.039277921045852815,0.9607220789541472,4.803610394770735,30.743106526532703,30.74310652653271,Belgium,2014.5,0.134314661,0.865685339,4.328426693,27.70193084,27.701930848
 Belize,2018.0,96.85503049,0.962620653,4.813103264,30.80386089,Belize,30.803860896,94.24368722,29.407881346528534,71.95,21.341090912,Belize,2020.5,0.48770085298600674,0.5122991470139933,2.5614957350699665,16.393572704447784,16.393572704447784,Belize,2014.5,0.08564038200000001,0.914359618,4.571798091,29.25950778,29.259507776
