country,year,health_pct_gdp,norm_healthgdp,healthgdp_norm_withpts,healthgdp_norm_withpts_log5
Brunei,2016.0,2.174545455,0.0,0.0,0.0
Bangladesh,2016.0,2.320909091,0.009519867525735564,0.047599337628677824,0.15231788041176902
Laos,2016.0,2.337272727,0.010584200520027676,0.05292100260013838,0.1693472083204428
Papua New Guinea,2016.0,2.441818182,0.017384105942012056,0.08692052971006028,0.2781456950721929
Equatorial Guinea,2016.0,2.509090909,0.02175969722026492,0.10879848610132459,0.3481551555242387
Congo,2016.0,2.548181818,0.024302270534995802,0.121511352674979,0.38883632855993283
Pakistan,2016.0,2.596363636,0.027436139964893674,0.13718069982446837,0.4389782394382988
Angola,2016.0,2.688181818,0.03340823079962723,0.16704115399813615,0.5345316927940357
Benin,2016.0,2.753636364,0.03766556290688075,0.18832781453440375,0.602649006510092
Gabon,2016.0,2.776363636,0.039143803162276974,0.19571901581138487,0.6263008505964316
Djibouti,2016.0,2.788181818,0.039912488131506836,0.19956244065753417,0.6385998101041094
Syria,2011.5,2.79,0.04003074736754876,0.2001537368377438,0.6404919578807802
Qatar,2016.0,2.829090909,0.04257332068227964,0.2128666034113982,0.6811731309164742
Indonesia,2016.0,3.040909091,0.05635052031526873,0.28175260157634363,0.9016083250442997
Kazakhstan,2016.0,3.096363636,0.059957426624291696,0.2997871331214585,0.9593188259886671
Cook Islands,2016.0,3.159090909,0.06403736987748235,0.3201868493874117,1.0245979180397176
Venezuela,2019.5,3.185,0.06572256382847319,0.32861281914236595,1.051561021255571
Mauritania,2016.0,3.230909091,0.06870860924583998,0.3435430462291999,1.0993377479334396
India,2016.0,3.310909091,0.07391201511134367,0.3695600755567183,1.1825922417814987
Nigeria,2016.0,3.451818182,0.08307710499399605,0.41538552496998027,1.3292336799039368
Gambia,2016.0,3.522727273,0.08768921474433275,0.4384460737216638,1.403027435909324
Oman,2016.0,3.547272727,0.08928571423577089,0.4464285711788545,1.4285714277723343
Cote d'Ivoire,2016.0,3.557272727,0.08993613996895884,0.4496806998447942,1.4389782395033415
Bhutan,2016.0,3.633636364,0.09490302742742127,0.47451513713710636,1.5184484388387403
Democratic Republic of Congo,2016.0,3.638181818,0.09519867545248348,0.4759933772624174,1.5231788072397356
Sri Lanka,2016.0,3.664545455,0.09691343424500609,0.48456717122503046,1.5506149479200975
Vanuatu,2016.0,3.689090909,0.09850993373644423,0.49254966868222116,1.5761589397831077
Cameroon,2016.0,3.695454545,0.09892384099754838,0.49461920498774187,1.582781455960774
Ethiopia,2016.0,3.746363636,0.10223509928150912,0.5111754964075456,1.6357615885041459
Malaysia,2016.0,3.752727273,0.10264900660765584,0.5132450330382792,1.6423841057224935
Fiji,2016.0,3.752727273,0.10264900660765584,0.5132450330382792,1.6423841057224935
Iraq,2016.0,3.880909091,0.1109862819030574,0.554931409515287,1.7757805104489184
Thailand,2016.0,3.912727273,0.11305581833866318,0.5652790916933159,1.808893093418611
Mali,2016.0,3.933636364,0.11441579942306007,0.5720789971153004,1.8306527907689611
Azerbaijan,2016.0,3.998181818,0.11861400184725006,0.5930700092362503,1.897824029556001
Libya,2011.0,4.02,0.12003311254966786,0.6001655627483393,1.9205298007946858
Tanzania,2016.0,4.07,0.12328524121560772,0.6164262060780386,1.9725638594497235
United Arab Emirates,2016.0,4.094545455,0.12488174077208837,0.6244087038604419,1.998107852353414
Ghana,2016.0,4.113636364,0.12612346262044338,0.6306173131022169,2.017975401927094
Guinea,2016.0,4.194545455,0.131385998103968,0.65692999051984,2.102175969663488
Madagascar,2016.0,4.211818182,0.13250946071628106,0.6625473035814053,2.120151371460497
Kuwait,2016.0,4.212727273,0.132568590334302,0.66284295167151,2.121097445348832
Singapore,2016.0,4.249090909,0.13493377479497004,0.6746688739748502,2.1589403967195206
Monaco,2016.0,4.262727273,0.13582071900024184,0.6791035950012092,2.1731315040038695
Eritrea,2016.0,4.276363636,0.13670766314047103,0.6835383157023551,2.1873226102475365
Philippines,2016.0,4.285454545,0.13729895925563806,0.6864947962781903,2.196783348090209
