country,year,modtosev_food_insecure_pct,norm_pct_foodinsecure,norm_withpts,norm_withpts_log5,foodinsecure_log32_n,country_c
Italy,2021.5,0.0,1.0,5.0,32.0,32.0,Italy
Kazakhstan,2019.5,0.003769093437660409,0.9962309065623396,4.981154532811698,31.879389009994867,31.879389009994867,Kazakhstan
Switzerland,2018.5,0.009968260265424855,0.9900317397345751,4.950158698672876,31.681015671506408,31.681015671506405,Switzerland
Luxembourg,2018.5,0.014431660384271572,0.9855683396157284,4.927841698078642,31.538186867703303,31.53818686770331,Luxembourg
Japan,2018.5,0.017853600475387643,0.9821463995246124,4.910731997623062,31.428684784787595,31.428684784787595,Japan
Germany,2018.5,0.019192620511041758,0.9808073794889582,4.904036897444791,31.385836143646664,31.385836143646664,Germany
Austria,2018.5,0.025887720689312,0.974112279310688,4.870561396553439,31.17159293794201,31.171592937942016,Austria
Singapore,2018.5,0.031690140843813164,0.9683098591561868,4.841549295780935,30.98591549299798,30.98591549299798,Singapore
Norway,2018.5,0.0342194009111596,0.9657805990888404,4.828902995444201,30.90497917084289,30.904979170842893,Norway
United Kingdom,2018.5,0.03466574092304442,0.9653342590769556,4.826671295384778,30.89069629046258,30.89069629046258,United Kingdom
Netherlands,2018.5,0.035112080934929235,0.9648879190650708,4.824439595325354,30.876413410082268,30.876413410082264,Netherlands
South Korea,2018.5,0.03764134100227556,0.9623586589977244,4.811793294988622,30.79547708792718,30.795477087927182,South Korea
Sweden,2018.5,0.03883158103396822,0.9611684189660318,4.805842094830159,30.757389406913017,30.757389406913017,Sweden
Belgium,2020.5,0.039277921045852815,0.9607220789541472,4.803610394770735,30.743106526532703,30.74310652653271,Belgium
Malta,2018.5,0.04314620114885359,0.9568537988511464,4.784268994255732,30.619321563236685,30.619321563236685,Malta
Denmark,2018.5,0.044485221184507595,0.9555147788154924,4.777573894077462,30.57647292209576,30.576472922095757,Denmark
Czechia,2018.5,0.04508034120035398,0.954919658799646,4.77459829399823,30.55742908158868,30.557429081588673,Czechia
Mongolia,2020.5,0.04641936123600798,0.953580638763992,4.76790319381996,30.514580440447745,30.514580440447745,Mongolia
Indonesia,2018.5,0.04731204125977739,0.9526879587402226,4.763439793701113,30.486014679687123,30.486014679687123,Indonesia
Thailand,2020.0,0.04832374528671601,0.951676254713284,4.75838127356642,30.453640150825088,30.453640150825088,Thailand
Poland,2018.5,0.050733981350893353,0.9492660186491066,4.7463300932455335,30.376512596771413,30.376512596771413,Poland
Canada,2019.5,0.05157706803604123,0.9484229319639588,4.742114659819793,30.34953382284668,30.34953382284668,Canada
France,2018.5,0.05177544137862422,0.9482245586213758,4.741122793106879,30.343185875884025,30.343185875884025,France
Slovakia,2018.5,0.05311446141427845,0.9468855385857216,4.734427692928608,30.300337234743093,30.30033723474309,Slovakia
Kyrgyzstan,2019.5,0.05336242808358016,0.9466375719164198,4.733187859582099,30.292402301325435,30.292402301325435,Kyrgyz Republic
Russia,2018.5,0.05385836143408618,0.9461416385659138,4.730708192829569,30.27653243410924,30.276532434109242,Russia
Iceland,2018.5,0.05475104145785559,0.9452489585421444,4.726244792710722,30.24796667334862,30.24796667334862,Iceland
Ireland,2018.5,0.055792501485586454,0.9442074985144135,4.721037492572068,30.214639952461237,30.214639952461233,Ireland
Vietnam,2019.5,0.0668518151173636,0.9331481848826364,4.665740924413182,29.860741916244365,29.860741916244365,Vietnam
Spain,2018.5,0.06873636183024256,0.9312636381697574,4.656318190848787,29.80043642143224,29.800436421432238,Spain
Sri Lanka,2018.5,0.07468756198870519,0.9253124380112948,4.626562190056474,29.60999801636144,29.609998016361434,Sri Lanka
Estonia,2018.5,0.07468756198870519,0.9253124380112948,4.626562190056474,29.60999801636144,29.609998016361434,Estonia
Croatia,2018.5,0.08093632215509083,0.9190636778449092,4.595318389224546,29.410037691037093,29.410037691037093,Croatia
United States,2018.5,0.08138266216697565,0.9186173378330243,4.593086689165123,29.395754810656783,29.39575481065678,United States
Azerbaijan,2018.5,0.08257290219866797,0.917427097801332,4.58713548900666,29.357667129642625,29.357667129642625,Azerbaijan
United Arab Emirates,2021.0,0.08331680221847582,0.9166831977815242,4.583415988907621,29.33386232900877,29.333862329008774,United Arab Emirates
Finland,2018.5,0.08450704225016836,0.9154929577498316,4.577464788749158,29.29577464799461,29.295774647994612,Finland
Slovenia,2018.5,0.088077762345246,0.911922237654754,4.55961118827377,29.18151160495213,29.181511604952128,Slovenia
Latvia,2018.5,0.0903094624046692,0.9096905375953308,4.548452687976654,29.110097203050582,29.110097203050586,Latvia
Hungary,2018.5,0.09878992263047837,0.9012100773695216,4.506050386847607,28.83872247582469,28.838722475824692,Hungary
Bosnia and Herzegovina,2018.5,0.10459234278497942,0.8954076572150206,4.477038286075103,28.65304503088066,28.65304503088066,Bosnia and Herzegovina
Lithuania,2018.5,0.10474112278894099,0.895258877211059,4.476294386055296,28.64828407075389,28.64828407075389,Lithuania
Greece,2018.5,0.10920452290778793,0.8907954770922121,4.4539773854610605,28.505455266950783,28.505455266950786,Greece
Armenia,2019.5,0.10930370953742097,0.890696290462579,4.453481452312895,28.50228129480253,28.50228129480253,Armenia
Kuwait,2018.5,0.1144118230464427,0.8855881769535573,4.427940884767787,28.338821662513837,28.338821662513833,Kuwait
Australia,2018.5,0.11947034318113592,0.8805296568188641,4.402648284094321,28.17694901820365,28.17694901820365,Australia
Portugal,2018.5,0.12080936321678992,0.8791906367832101,4.395953183916051,28.13410037706272,28.134100377062722,Portugal
