year,hdi,norm_hdi,hdi_log4
2015.0,0.8430641799999999,1.0,4.0
2015.0,0.8308712733333333,0.9834608818720226,3.9338435274880905
2015.0,0.8239046733333334,0.9740110088023499,3.8960440352093997
2015.0,0.8063815999999999,0.9502417642941868,3.8009670571767473
2015.0,0.7951527533333334,0.9350103492970838,3.7400413971883353
2015.0,0.7936381200000001,0.9329558187158685,3.731823274863474
2015.0,0.7809003099999999,0.9156775642322451,3.6627102569289804
2015.0,0.7790862666666666,0.9132168977316729,3.6528675909266917
2015.0,0.77723392,0.9107042745179058,3.6428170980716232
2015.0,0.7761698200000001,0.9092608717197779,3.6370434868791115
2015.0,0.7713556233333333,0.9027306349568743,3.6109225398274973
2015.0,0.7674067666666667,0.8973741921769918,3.589496768707967
2015.0,0.7562045033333332,0.8821788362511382,3.528715345004553
2015.0,0.7433566633333334,0.8647513311238935,3.459005324495574
2015.0,0.7431282266666667,0.8644414672728815,3.457765869091526
2015.0,0.7417037000000001,0.8625091622482837,3.4500366489931347
2015.0,0.73617637,0.8550115928580222,3.420046371432089
2015.0,0.7308087,0.8477305949279141,3.3909223797116566
2015.0,0.7162485133333334,0.8279803701596281,3.3119214806385124
2015.0,0.71396551,0.8248835809485867,3.299534323794347
2015.0,0.7109890666666666,0.8208461722127509,3.2833846888510037
2015.0,0.7081440866666666,0.8169870874532186,3.2679483498128743
2015.0,0.6998808,0.8057783184499288,3.223113273799715
2015.0,0.6844413066666667,0.7848353545564859,3.1393414182259436
2015.0,0.6802463233333333,0.7791450522527232,3.116580209010893
2015.0,0.6772250933333334,0.7750468924596696,3.1001875698386785
2015.0,0.6727203933333333,0.7689364737163866,3.0757458948655465
2015.0,0.6698099666666666,0.7649886135581183,3.0599544542324733
2015.0,0.6597646199999999,0.7513625619775969,3.0054502479103875
2015.0,0.6570370799999999,0.7476627791865,2.990651116746
2015.0,0.6538668666666666,0.7433625303414703,2.973450121365881
2015.0,0.6398265933333334,0.7243175441410984,2.8972701765643936
2015.0,0.63022,0.7112866413144734,2.8451465652578936
2015.0,0.6203070166666667,0.6978401345189373,2.7913605380757494
2015.0,0.6160147366666666,0.6920178537536436,2.768071415014574
2015.0,0.6144061333333334,0.6898358571815062,2.759343428726025
2015.0,0.61408928,0.6894060601812905,2.757624240725162
2015.0,0.59526201,0.6638677327692878,2.655470931077151
2015.0,0.59056065,0.6574905537644882,2.6299622150579527
2015.0,0.57968223,0.6427344764529459,2.5709379058117836
2015.0,0.5774347833333333,0.6396859182278635,2.558743672911454
2015.0,0.5725401833333333,0.6330466180345382,2.532186472138153
2015.0,0.56002316,0.6160678505281314,2.4642714021125256
2015.0,0.5554544666666666,0.609870627766058,2.439482511064232
2015.0,0.5520379533333334,0.6052362842784395,2.420945137113758
2015.0,0.5452822433333333,0.5960724738119967,2.3842898952479867
2015.0,0.5361283,0.5836555699296183,2.3346222797184732
2015.0,0.5326597333333334,0.5789506184850546,2.3158024739402183
2015.0,0.52613454,0.5700994932941329,2.2803979731765316
2015.0,0.5258819133333333,0.5697568168186621,2.2790272672746483
2015.0,0.5214897000000001,0.5637989810745511,2.2551959242982043
2015.0,0.5153860633333333,0.5555196781486759,2.2220787125947035
2015.0,0.5130370766666666,0.5523333855752034,2.2093335423008136
2015.0,0.5017465566666667,0.5370183135328008,2.1480732541312033
2015.0,0.49236655,0.5242947651171196,2.0971790604684784
2015.0,0.49069176000000003,0.5220229893702191,2.0880919574808763
2015.0,0.4858976766666667,0.5155200354205975,2.06208014168239
2015.0,0.4847485999999999,0.5139613656753381,2.0558454627013525
2015.0,0.47921336,0.5064530667332179,2.0258122669328715
2015.0,0.47668413000000004,0.5030222823528877,2.012089129411551
2015.0,0.4761284866666667,0.5022685776803056,2.0090743107212226
2015.0,0.46818592666666664,0.4914948596760768,1.9659794387043072
2015.0,0.46456811666666664,0.4865874665014733,1.946349866005893
2015.0,0.46447598,0.4864624873430513,1.9458499493722052
2015.0,0.45361066666666666,0.47172418862312715,1.8868967544925086
2015.0,0.4534953933333334,0.4715678256385554,1.8862713025542217
2015.0,0.44606250666666664,0.4614854561123498,1.8459418244493992
2015.0,0.44105558999999994,0.45469380351704797,1.8187752140681919
2015.0,0.43720523333333333,0.4494709714651191,1.7978838858604764
2015.0,0.4316423866666667,0.44192522534706263,1.7677009013882505
2015.0,0.4277746466666667,0.43667881360152017,1.7467152544060807
2015.0,0.42493089333333334,0.432821392759006,1.731285571036024
2015.0,0.42067806,0.4270526195860847,1.7082104783443388
2015.0,0.4191336866666666,0.42495774806020575,1.699830992240823
2015.0,0.41859536,0.42422753265096463,1.6969101306038585
2015.0,0.40841632999999994,0.41042014576605773,1.641680583064231
2015.0,0.40570478,0.4067420526758745,1.626968210703498
2015.0,0.40396911333333335,0.40438770052543355,1.6175508021017342
2015.0,0.40216418000000004,0.4019393913216295,1.607757565286518
2015.0,0.40183887,0.4014981232413184,1.6059924929652736
2015.0,0.39795951,0.3962359494992396,1.5849437979969585
2015.0,0.39268415333333334,0.3890801703677763,1.5563206814711052
2015.0,0.39081718,0.3865477067521727,1.5461908270086908
2015.0,0.38364025999999996,0.3768125442581015,1.507250177032406
2015.0,0.3785780066666667,0.369945830014923,1.479783320059692
2015.0,0.3744720766666667,0.36437632446946877,1.457505297877875
2015.0,0.3743919233333333,0.3642676001525693,1.4570704006102773
2015.0,0.37386213999999995,0.363548973382778,1.454195893531112
2015.0,0.3731100133333333,0.36252874808890206,1.4501149923556083
2015.0,0.36907408666666663,0.3570541988513245,1.428216795405298
